,time,Open,High,Low,Close,Volume
0,1620172800000,1.7265,3.7227,1.71,3.0112,106850207.96
1,1620259200000,3.0052,3.4628,2.4298,2.4582,68034412.73
2,1620345600000,2.4616,2.6079,2.2032,2.2878,17960687.5
3,1620432000000,2.2832,2.6802,2.2334,2.6408,18836530.75
4,1620518400000,2.6374,2.958,2.2883,2.3774,25478422.6
5,1620604800000,2.3771,2.498,2.0115,2.0983,10948418.95
6,1620691200000,2.0964,2.356,2.0,2.2372,8956163.27
7,1620777600000,2.2396,2.3,1.75,1.7725,9123714.86
8,1620864000000,1.7713,2.1758,1.682,1.8555,6774646.88
9,1620950400000,1.8549,2.0578,1.8398,1.9533,5575648.85
10,1621036800000,1.9533,2.0498,1.7152,1.7328,4045573.73
11,1621123200000,1.7344,1.9625,1.6129,1.7661,4817996.74
12,1621209600000,1.7662,1.94,1.5302,1.7196,6415331.96
13,1621296000000,1.7203,1.82,1.655,1.7076,3233325.1
14,1621382400000,1.7074,1.7351,0.8697,1.1142,7117971.49
15,1621468800000,1.1141,1.4101,1.0005,1.3193,5711836.31
16,1621555200000,1.3193,1.3711,0.9238,1.0906,4883589.96
17,1621641600000,1.0911,1.113,0.925,1.0032,2973253.54
18,1621728000000,1.0048,1.0548,0.6641,0.8193,4946161.59
19,1621814400000,0.8193,1.0965,0.7921,1.029,2800092.89
20,1621900800000,1.0273,1.0587,0.8867,1.0146,2740447.74
21,1621987200000,1.015,1.2484,0.9853,1.175,5367709.15
22,1622073600000,1.1765,1.25,1.0089,1.1183,4126641.26
23,1622160000000,1.1186,1.1449,0.9124,0.952,3434944.0
24,1622246400000,0.9536,1.02,0.8307,0.8917,2614535.57
25,1622332800000,0.8916,0.99,0.833,0.9466,1774340.31
26,1622419200000,0.9449,1.385,0.9042,1.2737,16889041.82
27,1622505600000,1.2737,1.2998,1.0896,1.1409,7753146.95
28,1622592000000,1.1409,1.206,1.1027,1.1529,4363096.84
29,1622678400000,1.1502,1.2136,1.121,1.1688,2991254.53
30,1622764800000,1.1688,1.1739,0.9975,1.0669,2949928.27
31,1622851200000,1.067,1.1552,0.9999,1.0303,2598798.6
32,1622937600000,1.0304,1.2139,1.0199,1.1,5178637.79
33,1623024000000,1.1,1.2461,0.9858,0.9895,5487389.89
34,1623110400000,0.9924,1.0641,0.8793,1.0121,3511869.63
35,1623196800000,1.0125,1.15,0.9567,1.1,4089282.99
36,1623283200000,1.1041,1.25,1.0575,1.1905,5965247.78
37,1623369600000,1.1905,1.2078,1.0167,1.0338,3795041.31
38,1623456000000,1.0334,1.0959,0.9711,1.0236,3384144.97
39,1623542400000,1.0224,1.1074,1.0024,1.0943,2098194.4
40,1623628800000,1.097,1.18,1.0651,1.1295,2153659.48
41,1623715200000,1.1292,1.2,1.09,1.13,2318133.42
42,1623801600000,1.127,1.1343,1.0216,1.0357,1808050.62
43,1623888000000,1.0348,1.0697,0.9948,1.0219,1617122.36
44,1623974400000,1.0232,1.034,0.9001,0.9453,1726886.25
45,1624060800000,0.9501,0.9887,0.92,0.9323,1370729.66
46,1624147200000,0.9304,0.9938,0.8794,0.9632,1646360.34
47,1624233600000,0.9636,0.9709,0.7401,0.7442,2452480.89
48,1624320000000,0.7461,0.8282,0.5945,0.7031,4486980.28
49,1624406400000,0.7031,0.81,0.6674,0.7476,2590845.91
50,1624492800000,0.7491,0.802,0.7002,0.7675,1236058.81
51,1624579200000,0.7694,0.8,0.6629,0.6658,1425790.72
52,1624665600000,0.6658,0.6784,0.61,0.6455,1553186.71
53,1624752000000,0.6459,0.683,0.6245,0.68,1624907.55
54,1624838400000,0.682,0.76,0.6476,0.7061,3068003.18
55,1624924800000,0.706,0.7878,0.6914,0.7335,3045439.54
56,1625011200000,0.7345,0.745,0.6627,0.7229,2453548.42
57,1625097600000,0.723,0.729,0.6555,0.7206,1539172.41
58,1625184000000,0.7198,0.74,0.671,0.709,1445857.73
59,1625270400000,0.7109,0.78,0.6976,0.7483,986412.16
60,1625356800000,0.7464,0.7469,0.705,0.7219,1895266.62
61,1625443200000,0.7219,0.7219,0.6609,0.6701,1170892.47
62,1625529600000,0.6712,0.7199,0.67,0.7058,1614296.05
63,1625616000000,0.704,0.7722,0.6981,0.7165,2526514.75
64,1625702400000,0.7164,0.7188,0.6532,0.6659,1356358.4
65,1625788800000,0.6659,0.6905,0.64,0.6811,1620708.83
66,1625875200000,0.6817,0.6906,0.6529,0.6674,819600.81
67,1625961600000,0.6671,0.7342,0.6621,0.7188,1594194.79
68,1626048000000,0.718,0.748,0.6716,0.6927,2126773.39
69,1626134400000,0.6921,0.7038,0.6615,0.6744,816111.67
70,1626220800000,0.6754,0.7048,0.6312,0.6894,2365496.26
71,1626307200000,0.6909,0.7985,0.6813,0.7152,6972228.35
72,1626393600000,0.7156,0.7415,0.649,0.6589,2447932.37
73,1626480000000,0.6579,0.705,0.6502,0.6958,1161486.48
74,1626566400000,0.6959,0.7069,0.6269,0.6476,1417043.28
75,1626652800000,0.6467,0.6761,0.5973,0.6018,1608631.79
76,1626739200000,0.6019,0.6102,0.5389,0.5543,1243083.3
77,1626825600000,0.5556,0.6106,0.542,0.5946,1663588.76
78,1626912000000,0.5948,0.6205,0.5744,0.6011,1764250.85
79,1626998400000,0.6016,0.6864,0.596,0.6548,5833518.0
80,1627084800000,0.6549,0.6937,0.6406,0.6638,2746936.32
81,1627171200000,0.664,0.685,0.6336,0.67,2403888.04
82,1627257600000,0.6718,0.7798,0.6671,0.7011,6375801.31
83,1627344000000,0.704,0.7612,0.6644,0.7257,3150353.88
84,1627430400000,0.7259,0.7326,0.6906,0.7013,1822036.97
85,1627516800000,0.7021,0.7417,0.6879,0.7211,1684245.53
86,1627603200000,0.7224,0.7677,0.6785,0.7414,2297767.77
87,1627689600000,0.7414,0.743,0.7101,0.7309,2040350.01
88,1627776000000,0.7322,0.761,0.7116,0.7184,2014501.78
89,1627862400000,0.7211,0.735,0.7022,0.7285,1047684.66
90,1627948800000,0.7282,0.75,0.69,0.7264,3702612.58
91,1628035200000,0.7271,0.8449,0.7224,0.8168,5545189.14
92,1628121600000,0.8168,0.9145,0.7722,0.8421,8325431.94
93,1628208000000,0.8421,1.149,0.818,0.9518,24499731.64
94,1628294400000,0.9519,1.0431,0.9186,0.9597,7629231.02
95,1628380800000,0.9626,0.9656,0.8726,0.8979,3233534.22
96,1628467200000,0.8992,0.95,0.8573,0.9283,4121188.97
97,1628553600000,0.9289,0.9534,0.8958,0.9349,2715236.78
98,1628640000000,0.9349,1.082,0.9189,0.9586,7023759.69
99,1628726400000,0.9585,1.0045,0.911,0.9124,1522283.04
