,time,Open,High,Low,Close,Volume
0,1621382400000,3.218,3.99,1.343,2.172,9381448.32
1,1621468800000,2.173,2.93,1.9,2.481,3060369.11
2,1621555200000,2.48,2.7,1.851,2.176,2365456.24
3,1621641600000,2.176,2.206,1.85,1.888,1230667.92
4,1621728000000,1.898,1.967,1.3,1.582,2139259.05
5,1621814400000,1.571,2.1,1.57,2.04,2438980.91
6,1621900800000,2.047,2.2,1.691,1.927,1507545.86
7,1621987200000,1.923,2.172,1.88,2.062,1108396.37
8,1622073600000,2.062,2.647,1.832,2.058,4982439.53
9,1622160000000,2.056,2.105,1.672,1.737,1777953.95
10,1622246400000,1.738,1.877,1.56,1.632,1068478.49
11,1622332800000,1.633,1.771,1.529,1.698,1153065.14
12,1622419200000,1.698,1.85,1.576,1.843,1214825.24
13,1622505600000,1.839,1.959,1.747,1.888,1410103.11
14,1622592000000,1.888,1.98,1.773,1.874,1264145.4
15,1622678400000,1.875,2.06,1.8,2.031,1284313.06
16,1622764800000,2.032,2.04,1.703,1.785,1234789.55
17,1622851200000,1.786,1.88,1.662,1.719,750368.44
18,1622937600000,1.722,1.767,1.7,1.742,415021.46
19,1623024000000,1.742,1.85,1.6,1.606,984614.2
20,1623110400000,1.612,1.652,1.4,1.533,1026711.79
21,1623196800000,1.547,1.614,1.48,1.595,998953.99
22,1623283200000,1.593,1.628,1.45,1.485,690225.82
23,1623369600000,1.476,1.503,1.368,1.385,816546.47
24,1623456000000,1.384,1.386,1.25,1.271,670840.24
25,1623542400000,1.268,1.436,1.254,1.389,1040594.55
26,1623628800000,1.385,1.455,1.363,1.446,1097691.13
27,1623715200000,1.445,1.489,1.371,1.39,752063.25
28,1623801600000,1.388,1.416,1.299,1.303,673839.19
29,1623888000000,1.301,1.382,1.3,1.334,709724.81
30,1623974400000,1.333,1.345,1.179,1.225,632628.41
31,1624060800000,1.225,1.703,1.2,1.374,10122899.7
32,1624147200000,1.373,1.645,1.326,1.571,14361034.79
33,1624233600000,1.571,1.613,1.119,1.125,4013831.87
34,1624320000000,1.125,1.201,0.882,0.986,2641218.27
35,1624406400000,0.984,1.25,0.954,1.026,2709072.79
36,1624492800000,1.026,1.139,0.985,1.056,1293601.64
37,1624579200000,1.056,1.086,0.925,0.936,1010678.98
38,1624665600000,0.933,0.972,0.88,0.933,689150.71
39,1624752000000,0.934,1.042,0.908,1.003,1291022.02
40,1624838400000,1.003,1.173,0.971,1.037,2561634.16
41,1624924800000,1.041,1.121,1.039,1.058,1040959.06
42,1625011200000,1.056,1.061,0.996,1.05,666904.12
43,1625097600000,1.05,1.3,0.971,1.036,3846788.17
44,1625184000000,1.036,1.108,0.992,1.061,1523081.48
45,1625270400000,1.061,1.329,1.043,1.253,4588874.0
46,1625356800000,1.253,1.501,1.168,1.361,8217894.77
47,1625443200000,1.362,1.362,1.182,1.251,2866039.13
48,1625529600000,1.25,1.35,1.227,1.261,1977643.27
49,1625616000000,1.26,1.455,1.251,1.331,3506611.09
50,1625702400000,1.329,1.335,1.179,1.199,1469950.67
51,1625788800000,1.199,1.23,1.141,1.182,1020660.71
52,1625875200000,1.183,1.217,1.13,1.136,636528.84
53,1625961600000,1.136,1.221,1.12,1.172,1104048.37
54,1626048000000,1.17,1.186,1.061,1.103,1376231.16
55,1626134400000,1.107,1.12,1.03,1.041,1233442.93
56,1626220800000,1.042,1.103,0.994,1.058,1139739.18
57,1626307200000,1.058,1.092,0.995,1.017,1425743.68
58,1626393600000,1.017,1.044,0.96,0.962,1081005.17
59,1626480000000,0.962,0.985,0.938,0.961,589366.92
60,1626566400000,0.961,1.039,0.955,0.968,684194.53
61,1626652800000,0.968,0.979,0.887,0.901,1062882.06
62,1626739200000,0.901,0.902,0.8,0.819,906440.13
63,1626825600000,0.818,0.996,0.804,0.904,1777917.86
64,1626912000000,0.903,0.953,0.898,0.915,1132775.29
65,1626998400000,0.916,0.95,0.88,0.94,1091883.6
66,1627084800000,0.942,0.983,0.928,0.954,1527839.56
67,1627171200000,0.952,0.992,0.919,0.99,1115331.59
68,1627257600000,0.99,1.108,0.969,0.99,2708479.0
69,1627344000000,0.99,1.045,0.95,1.016,1147609.1
70,1627430400000,1.016,1.108,0.993,1.054,1730504.87
71,1627516800000,1.053,1.214,1.025,1.181,4566867.37
72,1627603200000,1.182,1.23,1.071,1.168,2044630.37
73,1627689600000,1.169,1.171,1.104,1.148,1014543.19
74,1627776000000,1.147,1.26,1.123,1.136,1431384.01
75,1627862400000,1.134,1.248,1.11,1.178,1553172.47
76,1627948800000,1.18,1.199,1.115,1.125,1732896.25
77,1628035200000,1.125,1.211,1.108,1.193,1212999.67
78,1628121600000,1.196,1.372,1.179,1.333,4492182.64
79,1628208000000,1.333,1.34,1.234,1.308,2561496.53
80,1628294400000,1.309,1.933,1.3,1.626,24608241.51
81,1628380800000,1.624,1.8,1.427,1.475,10170038.96
82,1628467200000,1.474,1.626,1.39,1.503,2765019.72
83,1628553600000,1.503,1.58,1.407,1.47,2180589.56
84,1628640000000,1.47,1.62,1.462,1.51,3006447.59
85,1628726400000,1.508,1.559,1.429,1.435,1219039.82
