,time,Open,High,Low,Close,Volume
0,1620172800000,0.1768,0.192,0.1721,0.1806,50695377.34
1,1620259200000,0.1806,0.1814,0.1668,0.1677,57566209.95
2,1620345600000,0.168,0.1807,0.163,0.1697,52153529.03
3,1620432000000,0.1696,0.176,0.1645,0.1655,34334065.87
4,1620518400000,0.1655,0.1684,0.152,0.1591,36107051.68
5,1620604800000,0.1592,0.185,0.143,0.1486,80030578.81
6,1620691200000,0.1486,0.1749,0.1445,0.1646,54038920.56
7,1620777600000,0.1644,0.1674,0.1346,0.135,37483411.49
8,1620864000000,0.1351,0.1541,0.13,0.1408,48993625.21
9,1620950400000,0.141,0.1668,0.1372,0.158,68285091.64
10,1621036800000,0.158,0.1625,0.1372,0.1404,48635697.95
11,1621123200000,0.1409,0.161,0.1342,0.1449,49136629.33
12,1621209600000,0.1444,0.1499,0.123,0.137,34974499.79
13,1621296000000,0.1369,0.1448,0.1308,0.1359,23479808.41
14,1621382400000,0.1359,0.1388,0.0749,0.0838,84169842.53
15,1621468800000,0.0838,0.1033,0.0696,0.0935,49943069.43
16,1621555200000,0.0938,0.0986,0.065,0.0767,46926216.77
17,1621641600000,0.0767,0.0799,0.067,0.0714,33715704.45
18,1621728000000,0.0714,0.074,0.0438,0.056,54963618.78
19,1621814400000,0.056,0.0692,0.0524,0.0687,45308514.55
20,1621900800000,0.0687,0.0892,0.0594,0.0808,91509188.49
21,1621987200000,0.0811,0.126,0.0743,0.1012,97256783.48
22,1622073600000,0.1008,0.1331,0.09,0.1024,405781607.17
23,1622160000000,0.1025,0.1079,0.0801,0.0852,159802502.17
24,1622246400000,0.0852,0.0901,0.0731,0.0817,98749537.78
25,1622332800000,0.0816,0.113,0.074,0.0995,159382353.2
26,1622419200000,0.0998,0.104,0.087,0.0994,180768817.39
27,1622505600000,0.0994,0.1023,0.0897,0.0914,84899935.82
28,1622592000000,0.0912,0.1004,0.0875,0.0938,84065937.15
29,1622678400000,0.0937,0.1022,0.092,0.0984,57090903.83
30,1622764800000,0.0983,0.0983,0.0792,0.0852,58575045.95
31,1622851200000,0.0851,0.0921,0.0791,0.082,30195891.86
32,1622937600000,0.082,0.18,0.0801,0.1124,530842478.37
33,1623024000000,0.1128,0.126,0.0953,0.0974,333452938.41
34,1623110400000,0.0972,0.1034,0.0837,0.09,206678578.53
35,1623196800000,0.0898,0.109,0.0834,0.1014,164123889.38
36,1623283200000,0.1014,0.102,0.0902,0.0923,85856427.83
37,1623369600000,0.0924,0.0939,0.0856,0.0865,34349350.46
38,1623456000000,0.0865,0.0991,0.08,0.0855,62017744.84
39,1623542400000,0.0855,0.107,0.0839,0.0972,152416831.25
40,1623628800000,0.0971,0.101,0.0936,0.0991,50612085.04
41,1623715200000,0.099,0.1003,0.095,0.0956,30606803.51
42,1623801600000,0.0955,0.0958,0.0881,0.0891,27892848.15
43,1623888000000,0.0889,0.0921,0.085,0.087,22128422.97
44,1623974400000,0.087,0.0871,0.0798,0.0813,28683872.81
45,1624060800000,0.0812,0.095,0.0802,0.0865,60424144.59
46,1624147200000,0.0864,0.0931,0.0773,0.084,91525424.37
