,time,Open,High,Low,Close,Volume
0,1620172800000,32.763,37.2,32.071,34.511,715941.594
1,1620259200000,34.525,36.0,32.401,32.76,308263.405
2,1620345600000,32.763,34.988,31.42,32.137,331080.308
3,1620432000000,32.109,34.89,31.59,32.073,389046.959
4,1620518400000,32.072,32.286,29.204,29.399,312230.777
5,1620604800000,29.399,33.5,25.958,28.675,738061.911
6,1620691200000,28.667,30.929,26.412,28.21,464993.236
7,1620777600000,28.209,36.3,26.0,26.134,1328709.608
8,1620864000000,26.188,35.0,26.154,27.346,1237616.512
9,1620950400000,27.352,29.933,26.537,29.163,489322.415
10,1621036800000,29.119,41.0,28.607,33.413,2657519.352
11,1621123200000,33.413,39.479,31.025,32.356,2149483.821
12,1621209600000,32.357,35.88,27.772,35.88,757302.894
13,1621296000000,35.825,44.95,35.2,43.021,1633230.21
14,1621382400000,42.931,44.876,25.2,25.37,1452450.038
15,1621468800000,25.368,32.217,23.126,28.876,880191.009
16,1621555200000,28.971,39.8,27.5,36.715,1475734.465
17,1621641600000,36.492,36.748,29.26,31.32,975822.446
18,1621728000000,31.321,32.147,12.301,16.001,2104636.164
19,1621814400000,16.014,20.0,14.681,17.559,1531847.395
20,1621900800000,17.555,18.0,14.701,16.417,887803.398
21,1621987200000,16.51,17.593,15.759,16.846,603744.289
22,1622073600000,16.819,23.0,15.401,19.644,1659709.791
23,1622160000000,19.581,19.624,16.045,16.764,917302.223
24,1622246400000,16.764,17.668,14.44,15.529,443072.837
25,1622332800000,15.527,16.89,14.681,16.016,288164.343
26,1622419200000,15.981,16.878,15.131,16.553,318476.437
27,1622505600000,16.555,17.0,15.531,15.849,221772.559
28,1622592000000,15.849,16.86,15.718,15.993,243868.276
29,1622678400000,16.005,17.95,15.809,16.596,494123.38
30,1622764800000,16.604,16.998,14.89,15.475,449433.988
31,1622851200000,15.483,16.277,15.0,15.364,288754.769
32,1622937600000,15.354,15.722,15.19,15.492,111868.474
33,1623024000000,15.473,16.077,13.848,13.961,262214.119
34,1623110400000,13.992,14.405,12.556,14.01,274341.526
35,1623196800000,14.018,14.593,13.321,14.533,200878.862
36,1623283200000,14.544,16.942,13.867,16.148,453386.961
37,1623369600000,16.13,18.482,15.02,15.183,1238032.21
38,1623456000000,15.19,15.224,13.579,14.817,341880.762
39,1623542400000,14.855,15.263,14.133,15.03,198150.803
40,1623628800000,15.042,15.7,14.851,15.189,240563.514
41,1623715200000,15.176,15.94,14.829,15.242,289302.382
42,1623801600000,15.231,15.499,14.589,14.825,187105.083
43,1623888000000,14.822,16.0,14.727,15.193,274303.328
