,time,Open,High,Low,Close,Volume
0,1620172800000,2.93,3.159,2.836,3.13,6600952.344
1,1620259200000,3.13,3.19,2.9,2.993,6166649.533
2,1620345600000,2.993,3.202,2.746,3.011,6735403.531
3,1620432000000,3.011,3.309,2.933,3.026,8204538.408
4,1620518400000,3.029,3.142,2.865,3.039,4628969.425
5,1620604800000,3.04,3.04,2.34,2.619,6097645.794
6,1620691200000,2.618,2.905,2.49,2.805,6036767.244
7,1620777600000,2.804,3.057,2.2,2.248,5999106.22
8,1620864000000,2.243,2.58,2.125,2.406,6241459.136
9,1620950400000,2.405,2.599,2.336,2.569,3837831.608
10,1621036800000,2.564,2.678,2.3,2.361,4574831.327
11,1621123200000,2.362,2.504,2.165,2.349,4594226.307
12,1621209600000,2.349,2.353,1.991,2.148,7965230.705
13,1621296000000,2.148,2.378,2.063,2.205,7944330.657
14,1621382400000,2.206,2.244,1.056,1.401,11416766.64
15,1621468800000,1.411,1.73,1.24,1.697,5380965.254
16,1621555200000,1.696,1.986,1.4,1.802,10438323.065
17,1621641600000,1.801,1.944,1.544,1.788,6095885.911
18,1621728000000,1.787,1.788,1.126,1.457,6406443.149
19,1621814400000,1.456,1.974,1.256,1.761,11798300.902
20,1621900800000,1.761,1.87,1.518,1.692,4600181.984
21,1621987200000,1.694,1.829,1.623,1.812,3738198.966
22,1622073600000,1.807,1.81,1.63,1.75,2780781.424
23,1622160000000,1.752,1.803,1.527,1.795,5599481.577
24,1622246400000,1.795,1.795,1.593,1.679,2918450.772
25,1622332800000,1.682,1.698,1.539,1.656,1807537.413
26,1622419200000,1.655,1.748,1.555,1.707,2333450.004
27,1622505600000,1.706,1.714,1.6,1.64,1760332.755
28,1622592000000,1.64,1.715,1.611,1.69,3616188.987
29,1622678400000,1.69,1.753,1.644,1.75,2365862.862
30,1622764800000,1.75,1.756,1.511,1.594,2883059.24
31,1622851200000,1.592,1.645,1.492,1.554,1798170.341
32,1622937600000,1.556,1.773,1.535,1.624,4777742.15
33,1623024000000,1.624,1.709,1.453,1.476,2113325.731
34,1623110400000,1.478,1.507,1.277,1.423,2796363.616
35,1623196800000,1.419,1.569,1.314,1.517,3707702.783
36,1623283200000,1.517,1.526,1.45,1.505,2038494.801
37,1623369600000,1.502,1.76,1.338,1.375,6404469.727
38,1623456000000,1.375,1.378,1.2,1.255,2717533.14
39,1623542400000,1.254,1.333,1.218,1.315,2539926.065
40,1623628800000,1.314,1.331,1.271,1.328,2307739.497
41,1623715200000,1.326,1.332,1.281,1.305,1731433.214
42,1623801600000,1.303,1.395,1.245,1.268,3840158.466
43,1623888000000,1.267,1.28,1.225,1.246,1666677.87
44,1623974400000,1.246,1.247,1.094,1.132,1889031.305
45,1624060800000,1.131,1.142,1.085,1.09,1600395.548
46,1624147200000,1.09,1.109,0.969,1.053,3448264.303
47,1624233600000,1.054,1.059,0.775,0.78,6206297.469
48,1624320000000,0.778,0.796,0.578,0.678,7627761.251
49,1624406400000,0.68,0.784,0.664,0.756,3749910.376
50,1624492800000,0.756,0.83,0.721,0.812,3197618.616
51,1624579200000,0.813,0.861,0.725,0.733,4198801.072
52,1624665600000,0.733,0.762,0.693,0.748,2875811.218
53,1624752000000,0.748,0.865,0.735,0.831,5342517.989
54,1624838400000,0.829,0.938,0.797,0.906,5035494.499
