,time,Open,High,Low,Close,Volume
0,1627516800000,100.4,156.7,100.4,134.1,564263.578
1,1627603200000,134.2,137.7,120.7,129.8,141011.202
2,1627689600000,129.7,140.0,123.2,135.0,50786.29
3,1627776000000,135.0,179.9,135.0,175.3,299545.806
4,1627862400000,175.6,191.7,142.8,156.9,272290.646
5,1627948800000,156.7,174.8,145.1,166.5,138504.517
6,1628035200000,166.2,185.4,155.7,178.1,155560.27
7,1628121600000,178.5,181.0,168.4,173.1,67287.184
8,1628208000000,173.0,175.0,161.0,162.3,68934.455
9,1628294400000,162.3,166.9,150.9,155.5,65704.328
10,1628380800000,155.6,163.1,146.8,152.0,52705.647
11,1628467200000,152.1,166.8,142.4,151.8,72387.259
12,1628553600000,151.8,165.4,149.1,153.1,54890.373
13,1628640000000,153.0,165.0,152.9,154.7,44763.355
14,1628726400000,154.6,157.2,146.8,147.9,22251.148
