,time,Open,High,Low,Close,Volume
0,1620172800000,13.816,17.814,13.604,17.768,5303438.571
1,1620259200000,17.776,26.2,17.278,24.776,23637384.73
2,1620345600000,24.776,35.685,23.15,26.732,37192051.314
3,1620432000000,26.733,26.979,23.4,25.673,9034692.327
4,1620518400000,25.68,30.599,24.811,27.365,13364365.161
5,1620604800000,27.39,28.291,21.5,23.534,5859419.223
6,1620691200000,23.518,26.652,21.78,26.51,6350721.108
7,1620777600000,26.515,26.854,19.257,20.008,4900712.304
8,1620864000000,19.961,21.771,18.415,20.782,6189857.996
9,1620950400000,20.79,22.819,20.002,21.944,4123049.021
10,1621036800000,21.956,22.213,19.566,19.938,3407021.288
11,1621123200000,19.953,21.851,18.165,19.315,3798802.568
12,1621209600000,19.308,19.346,16.222,17.42,5610100.08
13,1621296000000,17.418,18.669,16.884,18.053,3643770.381
14,1621382400000,18.079,18.146,7.27,10.861,12271114.246
15,1621468800000,10.882,13.761,9.6,13.621,7882868.356
16,1621555200000,13.592,14.07,9.648,11.104,8240288.935
17,1621641600000,11.106,11.151,9.172,9.698,4596778.734
18,1621728000000,9.7,10.76,6.375,8.109,8829028.483
19,1621814400000,8.125,11.429,7.604,11.282,7334928.234
20,1621900800000,11.291,12.9,10.61,11.604,10085664.715
21,1621987200000,11.602,12.839,11.282,12.605,4179955.391
22,1622073600000,12.6,14.941,12.147,14.614,8501081.327
23,1622160000000,14.619,14.619,11.283,12.116,6775382.027
24,1622246400000,12.133,12.928,10.478,11.254,3782577.262
25,1622332800000,11.257,11.9,10.255,11.412,3481353.056
26,1622419200000,11.411,12.447,10.776,12.402,3202699.756
27,1622505600000,12.401,12.622,11.318,11.87,2737857.116
28,1622592000000,11.872,12.4,11.373,12.096,2692810.217
29,1622678400000,12.09,12.766,11.865,12.41,2929433.341
30,1622764800000,12.417,12.6,10.752,11.296,2703730.043
31,1622851200000,11.274,11.75,10.531,10.927,1797405.165
32,1622937600000,10.913,11.2,10.707,11.07,997464.685
33,1623024000000,11.061,11.269,9.551,9.701,1846426.467
34,1623110400000,9.693,9.903,8.366,9.376,3410692.851
35,1623196800000,9.362,9.95,8.768,9.934,1969769.77
36,1623283200000,9.939,10.677,9.374,9.73,2867000.444
37,1623369600000,9.715,9.833,8.91,9.06,1504634.215
38,1623456000000,9.06,9.062,8.246,8.578,1377259.133
39,1623542400000,8.596,9.282,8.329,9.243,1342968.251
40,1623628800000,9.254,9.497,8.86,9.428,1418969.642
41,1623715200000,9.423,9.605,9.067,9.257,1280666.526
42,1623801600000,9.257,9.26,8.609,8.694,1205617.966
43,1623888000000,8.689,9.049,8.442,8.632,1065575.977
44,1623974400000,8.633,8.633,7.747,8.02,1496803.616
45,1624060800000,8.031,8.095,7.653,7.672,1004336.73
46,1624147200000,7.672,7.689,6.901,7.545,1625411.576
47,1624233600000,7.553,7.61,5.393,5.478,4659377.978
48,1624320000000,5.477,5.888,4.439,4.997,7402858.992
49,1624406400000,4.999,6.076,4.763,5.898,3639235.837
50,1624492800000,5.901,6.25,5.519,6.175,2551257.477
51,1624579200000,6.178,6.51,5.414,5.512,3188607.696
52,1624665600000,5.511,5.866,5.242,5.822,2786602.576
53,1624752000000,5.82,6.266,5.697,6.16,2655836.178
54,1624838400000,6.161,6.454,5.992,6.323,1816354.431
55,1624924800000,6.326,7.678,6.29,7.566,3779318.797
56,1625011200000,7.562,7.955,6.805,7.68,5610226.787
57,1625097600000,7.68,7.68,6.828,7.062,2398170.719
58,1625184000000,7.062,7.268,6.65,7.06,1585247.974
59,1625270400000,7.066,7.44,6.937,7.251,1250738.295
60,1625356800000,7.241,7.705,7.046,7.395,1445567.641
61,1625443200000,7.394,7.394,6.798,6.952,1724946.015
62,1625529600000,6.95,7.381,6.946,7.167,1613170.797
63,1625616000000,7.165,7.357,7.019,7.086,1636455.49
64,1625702400000,7.08,7.102,6.378,6.495,1888970.773
65,1625788800000,6.492,6.966,6.091,6.776,1752449.03
66,1625875200000,6.777,6.913,6.439,6.639,842541.383
67,1625961600000,6.64,6.807,6.442,6.7,933641.144
68,1626048000000,6.703,6.917,6.416,6.548,1187281.724
69,1626134400000,6.545,6.595,6.151,6.212,838628.29
70,1626220800000,6.213,6.333,5.806,6.2,1134626.718
71,1626307200000,6.199,6.33,5.786,5.92,1154369.087
72,1626393600000,5.927,6.067,5.511,5.528,1390337.413
73,1626480000000,5.534,5.704,5.415,5.565,955288.264
74,1626566400000,5.568,5.859,5.524,5.67,988544.469
75,1626652800000,5.667,5.724,5.251,5.314,983196.73
76,1626739200000,5.324,5.437,4.821,4.977,1536147.837
77,1626825600000,4.977,5.547,4.831,5.388,1613489.722
78,1626912000000,5.395,5.672,5.276,5.6,1036045.862
79,1626998400000,5.601,5.988,5.451,5.87,1423657.864
80,1627084800000,5.87,6.373,5.812,6.088,1916692.798
81,1627171200000,6.097,6.218,5.851,6.213,1293977.233
