,time,Open,High,Low,Close,Volume
0,1620172800000,0.6179,0.66,0.6,0.6478,18045299.15
1,1620259200000,0.6477,0.7,0.6083,0.6275,22413149.92
2,1620345600000,0.6269,0.6415,0.59,0.6033,11453626.97
3,1620432000000,0.603,0.6202,0.5932,0.6116,8160960.01
4,1620518400000,0.6117,0.6609,0.601,0.6407,15608656.07
5,1620604800000,0.6399,0.6493,0.509,0.555,13680924.73
6,1620691200000,0.5529,0.5631,0.5228,0.56,9543249.49
7,1620777600000,0.56,0.5878,0.448,0.4496,18155432.45
8,1620864000000,0.449,0.4998,0.4298,0.4379,15713609.82
9,1620950400000,0.4388,0.4884,0.4339,0.48,13222465.49
10,1621036800000,0.4797,0.4829,0.4147,0.4194,10206813.91
11,1621123200000,0.4183,0.5,0.4059,0.4197,19415244.27
12,1621209600000,0.4198,0.4205,0.2565,0.374,16945379.93
13,1621296000000,0.3749,0.398,0.3622,0.3733,13338245.79
14,1621382400000,0.3745,0.3857,0.2,0.2355,28714637.19
15,1621468800000,0.2355,0.2887,0.221,0.2649,17863858.45
16,1621555200000,0.265,0.2806,0.206,0.2248,13886768.32
17,1621641600000,0.2246,0.233,0.1894,0.1972,15343997.08
18,1621728000000,0.1972,0.2034,0.123,0.1485,23342993.94
19,1621814400000,0.1485,0.2118,0.1441,0.2026,22355530.61
20,1621900800000,0.2026,0.2501,0.1784,0.2404,31481697.96
21,1621987200000,0.2405,0.46,0.228,0.3378,226266786.28
22,1622073600000,0.3378,0.341,0.2775,0.291,67675856.96
23,1622160000000,0.291,0.296,0.2301,0.2473,29074107.06
24,1622246400000,0.2473,0.2515,0.2104,0.2251,14850296.02
25,1622332800000,0.2252,0.25,0.2101,0.234,16578995.37
26,1622419200000,0.234,0.2498,0.2227,0.248,13546948.84
27,1622505600000,0.248,0.265,0.2292,0.2354,14575223.85
28,1622592000000,0.2354,0.28,0.2292,0.2717,21620285.85
29,1622678400000,0.2708,0.305,0.2706,0.2866,40281491.43
30,1622764800000,0.2862,0.2868,0.233,0.2452,25593039.53
31,1622851200000,0.2451,0.2642,0.222,0.2325,13849364.47
32,1622937600000,0.2325,0.2493,0.2297,0.2381,7963821.65
33,1623024000000,0.2374,0.2496,0.2127,0.2143,10029296.85
34,1623110400000,0.2134,0.2229,0.1887,0.2147,15643896.0
35,1623196800000,0.2147,0.2619,0.2061,0.2423,23847933.91
36,1623283200000,0.2423,0.2442,0.215,0.2299,15814727.53
37,1623369600000,0.23,0.2345,0.1991,0.2014,10238144.21
38,1623456000000,0.2011,0.2074,0.185,0.1984,10805570.21
39,1623542400000,0.1981,0.2181,0.1925,0.2121,7967983.53
40,1623628800000,0.2115,0.2206,0.2056,0.2111,10843029.21
41,1623715200000,0.2111,0.2586,0.2084,0.2319,33554116.42
42,1623801600000,0.2322,0.2329,0.2043,0.2113,14050019.85
43,1623888000000,0.2112,0.223,0.2023,0.2072,7769252.36
44,1623974400000,0.2072,0.2107,0.19,0.1943,5474590.26
45,1624060800000,0.1946,0.1998,0.1897,0.1904,6127328.7
46,1624147200000,0.1901,0.1951,0.1795,0.1934,5881609.28
47,1624233600000,0.1934,0.1954,0.1554,0.1577,10665369.16
48,1624320000000,0.1581,0.1632,0.1339,0.1464,14697095.68
