,time,Open,High,Low,Close,Volume
0,1620172800000,0.036477,0.041061,0.036,0.040257,1725736471.0
1,1620259200000,0.040256,0.041,0.037574,0.03905,1836045786.0
2,1620345600000,0.039028,0.042774,0.037644,0.041206,2355154816.0
3,1620432000000,0.041195,0.045777,0.040212,0.042217,3612712527.0
4,1620518400000,0.04221,0.0442,0.0401,0.042579,2045963026.0
5,1620604800000,0.042568,0.043998,0.03452,0.038013,2417857710.0
6,1620691200000,0.038052,0.0555,0.0365,0.051151,12227833746.0
7,1620777600000,0.051212,0.05395,0.038897,0.039725,4423489653.0
8,1620864000000,0.039773,0.0438,0.0361,0.039592,3351649568.0
9,1620950400000,0.0396,0.045726,0.038427,0.04285,2626340268.0
10,1621036800000,0.042882,0.046099,0.038542,0.039036,2720249538.0
11,1621123200000,0.039036,0.042573,0.03646,0.039651,2046423570.0
12,1621209600000,0.039626,0.03969,0.034589,0.036388,2026756963.0
13,1621296000000,0.036403,0.03971,0.036038,0.036959,1544124837.0
14,1621382400000,0.036933,0.037751,0.016733,0.023467,4307096221.0
15,1621468800000,0.023461,0.033777,0.020901,0.030184,3805254342.0
16,1621555200000,0.030182,0.032191,0.022352,0.027248,3255094179.0
17,1621641600000,0.027096,0.028499,0.024,0.024915,1739767194.0
18,1621728000000,0.024973,0.025855,0.016943,0.0206,2645962992.0
19,1621814400000,0.020611,0.026666,0.019968,0.025739,2598220039.0
20,1621900800000,0.025759,0.032198,0.022472,0.030274,4775917133.0
21,1621987200000,0.030244,0.034897,0.029226,0.032571,4275067893.0
22,1622073600000,0.032571,0.036197,0.029055,0.036162,3665349316.0
23,1622160000000,0.036162,0.0374,0.025631,0.027761,5559867699.0
24,1622246400000,0.027762,0.029266,0.023221,0.024903,2263895227.0
25,1622332800000,0.024917,0.027407,0.022867,0.025618,1830534292.0
26,1622419200000,0.025666,0.027243,0.024042,0.026601,1597338131.0
27,1622505600000,0.02659,0.0271,0.024603,0.02505,1528152778.0
28,1622592000000,0.025065,0.026911,0.024302,0.025636,1486112748.0
29,1622678400000,0.025652,0.028721,0.0255,0.027418,2042233007.0
30,1622764800000,0.027423,0.027585,0.02334,0.024891,1497377612.0
31,1622851200000,0.024894,0.02643,0.023062,0.023986,1227783650.0
32,1622937600000,0.023975,0.024999,0.023786,0.024912,624871617.0
33,1623024000000,0.024893,0.025615,0.0217,0.02227,1089197572.0
34,1623110400000,0.022272,0.022708,0.019064,0.021725,1527677462.0
35,1623196800000,0.021727,0.02297,0.020675,0.022966,1101650230.0
36,1623283200000,0.022966,0.023399,0.021135,0.021545,840691635.0
37,1623369600000,0.021592,0.022186,0.020556,0.020962,686601280.0
38,1623456000000,0.02095,0.020958,0.019263,0.020015,687055314.0
39,1623542400000,0.020024,0.022,0.0198,0.021654,678225689.0
40,1623628800000,0.021666,0.022281,0.021205,0.021974,776352305.0
41,1623715200000,0.021973,0.02375,0.021806,0.022461,1182618835.0
42,1623801600000,0.022461,0.02257,0.02071,0.021027,848942578.0
