,time,Open,High,Low,Close,Volume
0,1620172800000,38.702,47.0,38.399,46.471,154181.353
1,1620259200000,46.329,50.74,44.816,48.526,251030.682
2,1620345600000,48.55,53.0,46.185,47.483,145431.326
3,1620432000000,47.485,49.866,45.8,47.039,81175.522
4,1620518400000,47.0,47.14,42.876,45.6,87182.076
5,1620604800000,45.528,46.91,36.749,39.347,111010.882
6,1620691200000,39.251,44.274,37.629,43.477,115842.223
7,1620777600000,43.697,46.169,34.7,35.186,136329.961
8,1620864000000,35.186,38.217,33.652,36.536,151265.029
9,1620950400000,36.535,39.393,35.923,38.3,76597.228
10,1621036800000,38.123,38.731,33.8,34.227,116857.645
11,1621123200000,34.365,37.255,31.335,33.588,137158.022
12,1621209600000,33.589,33.956,29.263,31.179,154081.416
13,1621296000000,31.385,33.999,30.92,32.55,133961.183
14,1621382400000,32.594,33.34,15.46,20.155,273628.108
15,1621468800000,20.35,31.765,17.527,30.581,299626.405
16,1621555200000,30.556,32.0,21.972,25.81,249100.218
17,1621641600000,25.763,27.615,22.967,23.95,187035.524
18,1621728000000,23.952,26.118,16.801,18.659,279824.12
19,1621814400000,18.799,25.585,18.203,25.218,193409.448
20,1621900800000,25.212,26.51,23.353,26.355,122893.776
21,1621987200000,26.494,28.035,25.201,28.028,163162.549
22,1622073600000,27.892,28.784,25.531,26.935,818649.283
23,1622160000000,26.865,27.77,23.187,24.269,129713.867
24,1622246400000,24.142,25.433,21.336,22.762,96643.062
25,1622332800000,22.894,23.753,21.466,23.159,52003.238
26,1622419200000,23.041,24.571,21.729,24.203,52513.963
27,1622505600000,24.2,24.387,22.732,23.364,62328.754
28,1622592000000,23.472,27.0,22.803,25.105,174076.651
29,1622678400000,25.105,27.504,24.554,26.125,124967.959
30,1622764800000,26.218,26.906,22.462,23.814,97614.251
31,1622851200000,23.84,25.725,23.011,23.703,58677.141
32,1622937600000,23.719,25.093,23.342,24.521,42888.692
33,1623024000000,24.589,25.441,21.805,22.158,89976.168
34,1623110400000,22.183,23.063,18.949,21.006,111391.044
35,1623196800000,21.06,22.772,20.142,22.514,219962.142
36,1623283200000,22.514,23.105,21.025,21.687,96608.095
37,1623369600000,21.681,24.369,19.701,19.869,193940.273
38,1623456000000,19.892,20.098,17.681,18.49,117059.323
39,1623542400000,18.523,19.3,17.691,19.289,167674.073
40,1623628800000,19.284,19.493,18.483,19.473,104779.187
41,1623715200000,19.487,21.87,19.121,19.784,283198.252
42,1623801600000,19.834,20.49,18.283,18.485,127831.779
43,1623888000000,18.396,19.403,17.792,18.4,70073.865
44,1623974400000,18.4,18.477,16.236,16.716,83684.863
45,1624060800000,16.722,17.514,16.442,16.689,62042.622
46,1624147200000,16.676,16.749,14.874,16.078,110640.049
47,1624233600000,16.063,16.174,11.638,11.767,268239.807
48,1624320000000,11.798,12.325,9.45,10.971,202643.529
49,1624406400000,10.975,12.192,10.576,11.73,92061.034
50,1624492800000,11.747,13.442,11.198,13.058,141400.045
51,1624579200000,13.017,13.293,11.342,11.781,128383.626
52,1624665600000,11.767,12.071,10.8,11.656,89443.998
53,1624752000000,11.689,12.505,11.539,12.435,127203.021
54,1624838400000,12.43,13.47,12.236,13.447,335207.232
55,1624924800000,13.466,15.848,13.361,15.13,243062.61
56,1625011200000,15.175,16.244,14.457,16.242,111048.784
57,1625097600000,16.242,16.244,14.747,15.65,84911.769
58,1625184000000,15.697,16.288,14.632,15.82,57253.541
59,1625270400000,15.836,16.251,15.236,16.251,53632.327
60,1625356800000,16.212,17.038,15.891,16.741,109928.861
61,1625443200000,16.714,17.461,15.693,16.205,68109.468
62,1625529600000,16.241,17.0,15.851,16.326,130815.167
63,1625616000000,16.322,17.832,16.025,17.806,53485.369
64,1625702400000,17.805,18.612,15.15,15.421,94533.991
65,1625788800000,15.418,15.711,14.337,15.263,324990.272
66,1625875200000,15.263,15.53,14.668,14.899,21977.615
67,1625961600000,14.96,15.457,14.589,15.406,27226.533
68,1626048000000,15.403,15.995,14.88,15.723,45854.643
69,1626134400000,15.713,15.733,14.608,15.316,26422.587
70,1626220800000,15.316,21.427,15.09,17.794,1263068.648
71,1626307200000,17.767,19.852,16.754,17.444,517954.59
72,1626393600000,17.501,23.0,16.916,21.184,871477.356
73,1626480000000,21.04,25.553,18.575,19.076,675651.908
74,1626566400000,19.077,19.281,17.35,18.088,330371.572
75,1626652800000,18.088,18.12,15.6,16.453,167481.228
76,1626739200000,16.45,18.452,14.04,14.874,488248.506
77,1626825600000,14.911,16.01,13.884,16.01,234471.262
78,1626912000000,16.017,16.616,15.394,16.424,131298.904
79,1626998400000,16.428,17.017,15.68,16.923,109454.467
80,1627084800000,16.943,28.487,16.863,25.356,1209750.033
81,1627171200000,25.359,36.719,25.283,31.467,1776356.293
82,1627257600000,31.509,34.2,25.658,27.133,764191.148
83,1627344000000,27.149,28.123,24.01,27.656,415677.008
84,1627430400000,27.646,27.9,25.301,27.031,200504.923
85,1627516800000,27.017,27.032,25.402,26.089,91569.232
86,1627603200000,26.169,26.9,24.407,26.483,220642.499
87,1627689600000,26.483,27.487,25.692,26.3,162100.478
88,1627776000000,26.285,26.358,23.822,23.962,152780.86
89,1627862400000,23.969,29.447,23.812,25.716,644486.433
90,1627948800000,25.682,25.713,23.897,24.37,101325.729
91,1628035200000,24.436,27.26,24.357,26.014,223177.518
92,1628121600000,25.961,26.1,24.644,26.038,80041.762
93,1628208000000,26.038,26.243,25.086,26.076,131448.804
94,1628294400000,26.075,26.846,25.669,26.6,228274.897
95,1628380800000,26.617,26.617,24.933,25.445,83897.364
96,1628467200000,25.369,27.275,25.248,26.783,202680.082
97,1628553600000,26.766,28.873,25.966,28.512,182422.989
98,1628640000000,28.486,29.35,27.297,28.485,191499.196
99,1628726400000,28.516,28.902,26.435,26.74,117084.03
