,time,Open,High,Low,Close,Volume
0,1620172800000,0.2964,0.34,0.2949,0.3313,29689276.75
1,1620259200000,0.3314,0.3537,0.3187,0.3307,14194568.67
2,1620345600000,0.3304,0.335,0.3095,0.3166,6275002.7
3,1620432000000,0.3177,0.3468,0.3167,0.3255,7655027.14
4,1620518400000,0.325,0.3489,0.3186,0.3352,7698197.49
5,1620604800000,0.3351,0.358,0.3023,0.3184,9082856.18
6,1620691200000,0.3178,0.3287,0.2969,0.317,6176518.51
7,1620777600000,0.318,0.3198,0.2654,0.2657,8973163.27
8,1620864000000,0.2659,0.2747,0.2529,0.2614,8264690.83
9,1620950400000,0.2622,0.2733,0.2559,0.2637,8940075.81
10,1621036800000,0.2637,0.2918,0.2459,0.2462,12854484.76
11,1621123200000,0.2477,0.2706,0.23,0.2452,12228768.57
12,1621209600000,0.2459,0.2462,0.2216,0.2306,4751327.39
13,1621296000000,0.2314,0.2422,0.2238,0.2313,3727173.32
14,1621382400000,0.232,0.2601,0.1465,0.1862,35896518.81
15,1621468800000,0.1862,0.252,0.1729,0.2178,21680905.07
16,1621555200000,0.2182,0.2337,0.1805,0.1999,13369968.26
17,1621641600000,0.1999,0.23,0.1925,0.201,9347171.14
18,1621728000000,0.2015,0.2127,0.1737,0.1886,13056064.83
19,1621814400000,0.1894,0.2124,0.1847,0.2077,8200599.14
20,1621900800000,0.2077,0.2177,0.2,0.2084,6660829.0
21,1621987200000,0.2078,0.2236,0.2064,0.2172,6939449.13
22,1622073600000,0.2172,0.221,0.205,0.2094,3873504.08
23,1622160000000,0.2096,0.214,0.1928,0.199,5381641.19
24,1622246400000,0.1998,0.204,0.1862,0.1919,3549200.21
25,1622332800000,0.1914,0.1999,0.1848,0.1949,3920142.26
26,1622419200000,0.1946,0.206,0.1866,0.202,4153362.98
27,1622505600000,0.2015,0.2037,0.1952,0.1969,2809818.9
28,1622592000000,0.1981,0.2034,0.1949,0.2,2560915.04
29,1622678400000,0.2001,0.2115,0.198,0.208,4248978.16
30,1622764800000,0.2082,0.2084,0.1909,0.1925,5258616.55
31,1622851200000,0.1929,0.1993,0.1859,0.1881,3509362.41
32,1622937600000,0.1881,0.194,0.1872,0.1899,3806575.5
33,1623024000000,0.1897,0.1941,0.1786,0.1791,5186507.63
34,1623110400000,0.1793,0.2025,0.162,0.1765,20244363.03
35,1623196800000,0.1764,0.1978,0.1735,0.1943,22365223.6
36,1623283200000,0.1941,0.1975,0.1845,0.186,18006989.22
37,1623369600000,0.1861,0.1908,0.1828,0.1841,12813380.4
38,1623456000000,0.184,0.1845,0.1774,0.1795,10862968.76
39,1623542400000,0.1795,0.186,0.1762,0.186,6593530.31
40,1623628800000,0.186,0.1974,0.1856,0.1974,14427843.5
41,1623715200000,0.1974,0.1982,0.1877,0.1879,11890026.77
42,1623801600000,0.1875,0.1876,0.1734,0.1737,16982501.67
43,1623888000000,0.1741,0.185,0.1676,0.1686,13184252.43
44,1623974400000,0.1685,0.1703,0.1583,0.1604,10187577.54
45,1624060800000,0.1601,0.1657,0.1571,0.1621,12707654.68
46,1624147200000,0.162,0.1625,0.1532,0.1588,12608205.98
47,1624233600000,0.1587,0.1594,0.1456,0.1464,15803866.9
48,1624320000000,0.1464,0.1537,0.124,0.1426,18782377.07
49,1624406400000,0.1427,0.158,0.1414,0.1563,10539745.07
50,1624492800000,0.1569,0.157,0.143,0.1536,10664968.91
51,1624579200000,0.154,0.156,0.1428,0.1433,10298993.14
52,1624665600000,0.1428,0.145,0.1367,0.1428,7187257.4
53,1624752000000,0.1434,0.1511,0.1415,0.151,5156418.83
54,1624838400000,0.1513,0.1587,0.1478,0.1513,5743698.54
55,1624924800000,0.1513,0.1597,0.1481,0.1545,5597356.12
56,1625011200000,0.1546,0.1689,0.152,0.1597,5510276.7
57,1625097600000,0.1602,0.1602,0.1503,0.1534,2457351.62
58,1625184000000,0.1529,0.1562,0.1514,0.1556,2345945.79
59,1625270400000,0.1557,0.1596,0.1535,0.158,2295708.65
60,1625356800000,0.1578,0.1638,0.1553,0.1608,3105859.58
61,1625443200000,0.1604,0.1604,0.154,0.1552,2812083.8
62,1625529600000,0.1553,0.1659,0.1553,0.1656,6287364.24
63,1625616000000,0.1646,0.176,0.1633,0.1666,8011274.72
64,1625702400000,0.1666,0.1671,0.1585,0.1619,5058850.89
65,1625788800000,0.1615,0.1635,0.159,0.1614,3560575.91
66,1625875200000,0.1615,0.1675,0.1589,0.1636,3857421.86
67,1625961600000,0.1642,0.1687,0.1626,0.1643,2989815.41
68,1626048000000,0.1643,0.1653,0.1574,0.1587,3499121.7
69,1626134400000,0.1584,0.159,0.1542,0.1554,2471271.26
70,1626220800000,0.1555,0.1582,0.1525,0.1554,2483917.01
71,1626307200000,0.1552,0.1597,0.1531,0.1575,3793368.34
72,1626393600000,0.1578,0.1649,0.154,0.1598,8488869.92
73,1626480000000,0.1594,0.1647,0.1564,0.1617,5014148.71
74,1626566400000,0.1617,0.1681,0.1525,0.1547,6783915.26
75,1626652800000,0.1545,0.1568,0.1491,0.1496,5000437.57
76,1626739200000,0.1496,0.1503,0.1444,0.146,1732709.47
77,1626825600000,0.1462,0.1554,0.1445,0.1521,5634236.76
78,1626912000000,0.152,0.1635,0.1513,0.1587,8340594.19
79,1626998400000,0.1588,0.1633,0.1499,0.1596,4245503.64
80,1627084800000,0.1601,0.1734,0.1597,0.1673,5301801.65
81,1627171200000,0.1676,0.1715,0.1666,0.1715,2252416.68
82,1627257600000,0.1712,0.196,0.1703,0.185,11399240.14
83,1627344000000,0.1849,0.1892,0.1785,0.181,6823020.06
84,1627430400000,0.1806,0.1957,0.1783,0.1881,9979308.55
85,1627516800000,0.1882,0.1919,0.186,0.1886,5017905.37
86,1627603200000,0.1886,0.195,0.1787,0.1942,7954168.66
87,1627689600000,0.1944,0.2011,0.1919,0.1968,7573715.41
88,1627776000000,0.197,0.2,0.1892,0.1909,2526226.41
89,1627862400000,0.1903,0.1916,0.1849,0.1867,2003142.15
90,1627948800000,0.1869,0.1883,0.1804,0.1826,2346046.16
91,1628035200000,0.1825,0.1912,0.181,0.1907,4187829.42
92,1628121600000,0.1907,0.1936,0.1813,0.1907,8771438.63
93,1628208000000,0.1907,0.21,0.1896,0.203,35060745.35
94,1628294400000,0.2031,0.22,0.2026,0.2139,13230619.18
95,1628380800000,0.2155,0.2212,0.2072,0.2128,10050302.19
96,1628467200000,0.2134,0.2257,0.207,0.2237,7816459.88
97,1628553600000,0.2238,0.2261,0.2166,0.2195,6102347.94
98,1628640000000,0.2195,0.233,0.219,0.2264,8170012.33
99,1628726400000,0.2258,0.2307,0.2191,0.2192,3565355.6
