,time,Open,High,Low,Close,Volume
0,1620172800000,4.3083,4.8443,4.0286,4.2436,16092387.63
1,1620259200000,4.2458,5.6576,4.0605,4.34,31576143.9
2,1620345600000,4.3441,5.0891,4.0049,4.1925,13779553.93
3,1620432000000,4.1914,4.9742,4.14,4.9321,8622795.87
4,1620518400000,4.9321,11.877,4.9235,10.0366,88944623.33
5,1620604800000,10.0535,16.5,8.9441,11.5462,95464426.09
6,1620691200000,11.5463,12.6195,9.4833,9.6307,30600956.65
7,1620777600000,9.6234,9.9391,6.9,6.9955,21406088.75
8,1620864000000,6.9981,7.9589,6.5,7.1071,13300662.69
9,1620950400000,7.1203,11.4959,6.855,9.3719,40351406.75
10,1621036800000,9.367,9.9774,8.058,8.2325,15821182.6
11,1621123200000,8.2222,9.2065,7.2953,7.8992,9374022.23
12,1621209600000,7.8951,8.64,6.9266,7.2905,9857083.67
13,1621296000000,7.2954,8.1791,7.0423,7.1835,7368015.4
14,1621382400000,7.1835,7.3097,3.1,4.5133,15868852.08
15,1621468800000,4.5097,8.0509,4.061,6.9848,20461944.05
16,1621555200000,6.984,8.9367,5.8,6.3457,34080466.03
17,1621641600000,6.3474,7.5791,5.3101,5.8992,16462352.89
18,1621728000000,5.9032,6.2996,4.0,5.3357,16122816.7
19,1621814400000,5.337,6.1678,4.9797,5.865,12821443.78
20,1621900800000,5.865,6.4292,5.09,5.4589,8431270.49
21,1621987200000,5.4576,6.2868,5.2844,5.7988,8751312.29
22,1622073600000,5.7984,5.859,5.1717,5.4691,5216054.63
23,1622160000000,5.4592,5.5986,4.4574,4.7625,6251620.52
24,1622246400000,4.7588,5.1537,4.201,4.4994,3725648.59
25,1622332800000,4.4997,4.9,4.1694,4.6215,3418597.53
26,1622419200000,4.6216,5.0864,4.3615,4.8558,3110467.98
27,1622505600000,4.8521,5.88,4.7704,5.3263,9739709.28
28,1622592000000,5.3262,5.76,5.0272,5.2753,6355325.07
29,1622678400000,5.27,5.6179,5.215,5.3836,3439780.37
30,1622764800000,5.3836,5.389,4.5122,4.7229,4836057.59
31,1622851200000,4.7235,4.9839,4.3612,4.5557,2758980.45
32,1622937600000,4.5428,4.8,4.534,4.7353,1524836.39
33,1623024000000,4.7359,4.9202,4.1635,4.2268,1799752.1
34,1623110400000,4.2268,4.327,3.5646,4.069,3434265.42
35,1623196800000,4.069,4.2399,3.7926,4.159,2234123.03
36,1623283200000,4.1597,4.2299,3.6929,3.7064,2337387.51
37,1623369600000,3.7029,3.83,3.2808,3.3743,3424423.51
38,1623456000000,3.3772,3.383,2.9939,3.1812,4163943.59
39,1623542400000,3.1808,3.4957,3.1316,3.3981,2191354.23
40,1623628800000,3.4059,3.7994,3.28,3.6633,3933277.57
41,1623715200000,3.6633,4.6174,3.63,4.0782,17741379.57
42,1623801600000,4.0751,4.1007,3.71,3.7652,5741961.49
43,1623888000000,3.7712,4.0348,3.5299,3.6362,3804931.8
44,1623974400000,3.6341,3.6341,3.18,3.3879,3126503.61
45,1624060800000,3.3885,3.7015,3.3217,3.3279,4202181.8
46,1624147200000,3.3258,3.5686,3.0966,3.4274,3043572.01
47,1624233600000,3.4274,3.4531,2.6517,2.6554,4735027.66
48,1624320000000,2.6546,2.8331,2.1946,2.5738,5332243.55
49,1624406400000,2.5761,3.1202,2.447,2.8179,3450872.86
50,1624492800000,2.8186,2.9527,2.6642,2.8113,2240063.05
51,1624579200000,2.8159,2.8825,2.4889,2.5333,2185429.94
52,1624665600000,2.5335,2.7493,2.4766,2.7162,3245142.32
53,1624752000000,2.7135,2.9066,2.5842,2.8979,2722894.4
54,1624838400000,2.8976,2.9615,2.7712,2.9058,2355587.06
55,1624924800000,2.9094,3.1999,2.8649,3.0543,2847806.92
56,1625011200000,3.0607,3.1351,2.7469,2.9445,2176739.8
57,1625097600000,2.9445,3.11,2.7293,2.7724,2241787.01
58,1625184000000,2.7724,2.8272,2.6648,2.8198,1187861.27
59,1625270400000,2.8205,3.0128,2.7396,2.9721,1618016.83
60,1625356800000,2.9721,3.0338,2.7883,2.9752,2668266.14
61,1625443200000,2.97,3.0243,2.6697,2.7393,1742496.09
62,1625529600000,2.7389,2.98,2.7322,2.8401,2000537.19
63,1625616000000,2.8402,3.7479,2.7972,3.6756,9221127.77
64,1625702400000,3.6716,3.74,2.9138,3.0276,8513617.26
65,1625788800000,3.0311,3.195,2.811,3.0306,4387307.09
66,1625875200000,3.03,3.1315,2.8621,2.9769,2354382.77
67,1625961600000,2.9783,3.148,2.879,3.0228,1933404.67
68,1626048000000,3.0235,3.0777,2.8498,2.9124,1650970.22
69,1626134400000,2.9134,2.9217,2.7203,2.7684,1832478.6
70,1626220800000,2.7677,2.8181,2.5143,2.7504,2254268.91
71,1626307200000,2.7479,2.7728,2.5522,2.6002,1892358.61
72,1626393600000,2.6075,2.6945,2.45,2.4749,1623228.48
73,1626480000000,2.4763,2.5436,2.3941,2.4588,1055694.43
74,1626566400000,2.4629,2.5778,2.3949,2.4396,1048168.08
75,1626652800000,2.4395,2.4506,2.2301,2.2875,1155022.94
76,1626739200000,2.2887,2.3549,2.075,2.135,1459898.14
77,1626825600000,2.135,2.4198,2.0636,2.3549,1574283.68
78,1626912000000,2.352,2.4336,2.2707,2.3601,1560029.82
79,1626998400000,2.36,2.439,2.2751,2.4184,1613790.88
80,1627084800000,2.4184,2.7,2.3894,2.4886,2510697.87
81,1627171200000,2.4871,2.597,2.3916,2.5305,1583079.98
82,1627257600000,2.5311,2.86,2.5139,2.5454,3740813.08
83,1627344000000,2.5466,2.693,2.4502,2.6629,1885962.6
84,1627430400000,2.6606,2.6942,2.511,2.6702,1800799.66
85,1627516800000,2.6745,2.8305,2.6032,2.7854,2329782.87
