,time,Open,High,Low,Close,Volume
0,1620172800000,16.869,19.102,16.65,18.328,4548233.504
1,1620259200000,18.35,18.426,16.926,17.477,2778785.074
2,1620345600000,17.468,18.771,16.65,17.959,2826089.117
3,1620432000000,17.962,19.3,17.723,19.248,2371357.609
4,1620518400000,19.271,19.271,17.379,17.905,2615281.646
5,1620604800000,17.916,18.462,15.92,16.51,3320131.796
6,1620691200000,16.517,18.277,15.726,18.001,3250903.498
7,1620777600000,18.001,19.776,17.0,17.459,6588259.616
8,1620864000000,17.459,18.684,16.25,17.363,4950823.079
9,1620950400000,17.343,19.3,17.195,18.7,2971025.915
10,1621036800000,18.693,19.3,17.484,17.575,3195234.976
11,1621123200000,17.575,20.95,17.5,19.45,6251698.052
12,1621209600000,19.451,20.1,16.74,18.335,5810645.467
13,1621296000000,18.335,20.8,18.335,20.335,5705856.5
14,1621382400000,20.336,21.28,10.0,11.575,18145094.208
15,1621468800000,11.576,15.091,10.27,13.603,9864403.298
16,1621555200000,13.578,14.399,8.09,10.392,15546599.248
17,1621641600000,10.391,10.954,8.352,9.424,14532196.872
18,1621728000000,9.42,9.774,6.0,7.77,23965960.91
19,1621814400000,7.776,10.75,7.676,10.2,16905777.672
20,1621900800000,10.18,12.699,9.5,12.653,15237481.699
21,1621987200000,12.657,14.082,11.872,12.728,9305867.021
22,1622073600000,12.728,14.878,11.666,14.076,8689877.265
23,1622160000000,14.123,14.62,10.0,10.791,13369660.37
24,1622246400000,10.791,11.99,9.282,9.971,11191163.331
25,1622332800000,9.987,11.948,9.3,11.036,8094173.823
26,1622419200000,11.017,12.762,10.186,12.631,7143527.584
27,1622505600000,12.613,12.9,11.103,11.544,6331544.703
28,1622592000000,11.527,12.697,11.221,12.374,4416333.389
29,1622678400000,12.343,13.722,12.079,13.264,4784707.632
30,1622764800000,13.256,13.326,10.737,11.52,7711530.583
31,1622851200000,11.532,12.3,10.282,10.602,5104307.376
32,1622937600000,10.603,11.183,10.378,10.813,3254451.453
33,1623024000000,10.797,11.258,8.951,9.107,5732538.715
34,1623110400000,9.11,9.461,7.875,9.08,12113592.295
