,time,Open,High,Low,Close,Volume
0,1620172800000,2.4531,2.6888,2.4259,2.6651,7971387.79
1,1620259200000,2.6651,2.8475,2.4866,2.6028,13540944.69
2,1620345600000,2.6058,2.6496,2.435,2.527,8806311.1
3,1620432000000,2.5259,2.6551,2.4762,2.5052,7818819.25
4,1620518400000,2.506,2.5547,2.297,2.4111,8028957.95
5,1620604800000,2.4111,2.536,2.0,2.1571,9593901.44
6,1620691200000,2.1588,2.274,2.0926,2.2433,7476325.4
7,1620777600000,2.2438,2.3363,1.8576,1.8885,8835701.28
8,1620864000000,1.9044,2.12,1.8,1.9702,10998944.85
9,1620950400000,1.9695,2.1561,1.9134,2.0527,6844155.43
10,1621036800000,2.0528,2.0936,1.8411,1.863,6473471.16
11,1621123200000,1.8647,2.1,1.8188,1.9657,8793459.52
12,1621209600000,1.9668,1.9669,1.6974,1.8919,10381591.45
13,1621296000000,1.8918,2.0086,1.8068,1.8717,7233499.99
14,1621382400000,1.8687,1.9067,0.82,1.13,24417953.47
15,1621468800000,1.1361,1.3878,1.0011,1.2686,13650816.19
16,1621555200000,1.2683,1.3372,0.8669,1.0597,17300087.9
17,1621641600000,1.0603,1.1,0.9244,0.9594,9757646.49
18,1621728000000,0.9615,1.0185,0.6292,0.8124,19177942.06
19,1621814400000,0.8126,1.079,0.7965,1.0603,12150015.81
20,1621900800000,1.0605,1.1388,0.9135,1.0263,11462388.01
21,1621987200000,1.0267,1.2686,0.9978,1.2476,16728457.2
22,1622073600000,1.2492,1.2499,1.0675,1.1163,9455779.46
23,1622160000000,1.1163,1.19,0.9424,0.9995,14877297.38
24,1622246400000,1.0042,1.1268,0.8908,0.9542,11402229.23
25,1622332800000,0.9542,1.0544,0.8986,1.0053,5834459.82
26,1622419200000,1.0024,1.1243,0.9421,1.0999,11298891.81
27,1622505600000,1.0999,1.18,1.0409,1.1436,10451566.61
28,1622592000000,1.1416,1.3471,1.0976,1.2317,15788400.07
29,1622678400000,1.2317,1.42,1.1888,1.369,20623951.89
30,1622764800000,1.369,1.3724,1.081,1.1829,17256965.28
31,1622851200000,1.1793,1.36,1.112,1.1612,15606379.07
32,1622937600000,1.1614,1.2165,1.1201,1.1572,7392399.44
33,1623024000000,1.1573,1.2663,1.075,1.0877,15000106.69
34,1623110400000,1.088,1.1127,0.9134,1.026,11126440.46
35,1623196800000,1.0253,1.07,0.9549,1.058,10294189.73
36,1623283200000,1.0567,1.0764,0.982,0.9966,10223478.53
37,1623369600000,0.9997,1.0961,0.9642,0.9963,7713347.85
38,1623456000000,0.9941,1.0006,0.9058,0.9537,5490314.28
39,1623542400000,0.954,1.025,0.9239,1.024,3472333.48
40,1623628800000,1.0233,1.0673,1.004,1.0449,4800479.85
41,1623715200000,1.0446,1.151,1.0279,1.0935,6796304.43
42,1623801600000,1.0928,1.1317,1.0276,1.0848,5271249.84
43,1623888000000,1.0847,1.1599,1.05,1.0774,7808207.73
44,1623974400000,1.0776,1.0781,0.9481,0.9839,4820469.78
45,1624060800000,0.9872,1.01,0.9588,0.9674,3017890.73
46,1624147200000,0.9672,0.9808,0.8854,0.9563,3706634.08
47,1624233600000,0.958,0.965,0.7209,0.7247,6858694.88
48,1624320000000,0.7242,0.7842,0.6085,0.6947,12225098.44
49,1624406400000,0.6947,0.8,0.6673,0.7438,7298642.17
50,1624492800000,0.744,0.7568,0.6993,0.7341,4475593.37
51,1624579200000,0.735,0.7469,0.6364,0.6541,6889247.77
52,1624665600000,0.6537,0.6787,0.6,0.6411,6363870.09
53,1624752000000,0.6415,0.6763,0.6109,0.6715,5653214.82
54,1624838400000,0.6728,0.7102,0.6538,0.6801,4555786.46
55,1624924800000,0.6826,0.7684,0.6797,0.7356,7958293.67
56,1625011200000,0.735,0.7417,0.6632,0.7216,5974074.71
57,1625097600000,0.7209,0.73,0.6621,0.6859,6778818.57
58,1625184000000,0.686,0.6977,0.645,0.6871,5228675.09
59,1625270400000,0.6868,0.7283,0.6713,0.7099,5135902.0
60,1625356800000,0.7099,0.7469,0.6909,0.7272,3916893.32
61,1625443200000,0.7254,0.7254,0.6708,0.7042,6299314.79
62,1625529600000,0.7034,0.7936,0.701,0.788,11005587.9
63,1625616000000,0.7863,0.8398,0.76,0.7669,8526224.61
64,1625702400000,0.7652,0.7705,0.71,0.7303,5994630.42
65,1625788800000,0.7313,0.7366,0.693,0.728,4031193.61
66,1625875200000,0.7291,0.7446,0.7024,0.7238,3059717.49
67,1625961600000,0.7252,0.7548,0.7052,0.7424,3943341.15
68,1626048000000,0.7422,0.7777,0.7138,0.7229,5724607.61
69,1626134400000,0.7228,0.731,0.6826,0.698,3426282.9
70,1626220800000,0.6984,0.7787,0.6474,0.7758,7994108.47
71,1626307200000,0.7758,0.8754,0.737,0.7797,19382101.79
72,1626393600000,0.7798,0.828,0.699,0.7104,9412346.77
73,1626480000000,0.7105,0.728,0.685,0.7086,4519120.1
74,1626566400000,0.7066,0.749,0.7001,0.7361,4588347.51
75,1626652800000,0.7363,0.8093,0.6959,0.7008,17909314.1
76,1626739200000,0.7018,0.71,0.61,0.6574,8841557.22
77,1626825600000,0.6573,0.7568,0.6402,0.7448,6260588.84
78,1626912000000,0.7436,0.78,0.7018,0.7412,7810229.52
79,1626998400000,0.7411,0.7577,0.7021,0.7436,8729148.42
80,1627084800000,0.7428,0.8152,0.7316,0.7895,12759199.15
81,1627171200000,0.7871,0.905,0.7621,0.8995,22336567.21
82,1627257600000,0.9,1.05,0.8652,0.8701,23383537.32
83,1627344000000,0.8685,0.9525,0.8225,0.9052,12709950.87
84,1627430400000,0.9053,0.9362,0.8563,0.9222,7735620.02
85,1627516800000,0.9199,1.08,0.907,0.9868,16837125.59
86,1627603200000,0.9865,1.0064,0.9123,0.9706,8121982.89
87,1627689600000,0.9705,1.0021,0.9437,0.9718,5020882.39
88,1627776000000,0.9718,1.045,0.9268,0.953,10310920.22
89,1627862400000,0.9511,0.9953,0.9286,0.9482,5013148.22
90,1627948800000,0.9482,0.9617,0.8843,0.9181,5714401.06
91,1628035200000,0.9216,0.995,0.9016,0.9833,10133441.39
92,1628121600000,0.9849,1.035,0.93,1.0173,13503570.92
93,1628208000000,1.019,1.0748,0.9856,1.0531,7445799.74
94,1628294400000,1.0536,1.1237,1.0401,1.0727,13789903.87
95,1628380800000,1.0727,1.123,0.9812,0.9921,8715611.27
96,1628467200000,0.9923,1.0961,0.9599,1.0528,7363955.61
97,1628553600000,1.0516,1.2345,1.0436,1.1947,20032353.34
98,1628640000000,1.1957,1.2668,1.1473,1.164,11501069.21
99,1628726400000,1.1646,1.2304,1.0872,1.1181,5228627.17
