,time,Open,High,Low,Close,Volume
0,1620172800000,0.58707,0.63154,0.58228,0.61407,25944606.1
1,1620259200000,0.61435,0.69,0.5931,0.625,67966895.2
2,1620345600000,0.62515,0.64133,0.59,0.60735,28336206.3
3,1620432000000,0.60806,0.6383,0.6,0.61501,22890675.2
4,1620518400000,0.61471,0.6568,0.579,0.60187,25297036.1
5,1620604800000,0.60187,0.63103,0.48635,0.535,26470253.0
6,1620691200000,0.53586,0.5692,0.51585,0.56853,14669815.4
7,1620777600000,0.56919,0.61741,0.46054,0.47188,37659320.5
8,1620864000000,0.47257,0.51781,0.44124,0.48845,31749785.9
9,1620950400000,0.48871,0.57825,0.48667,0.53807,27448854.0
10,1621036800000,0.53776,0.55628,0.48871,0.49598,17604635.6
11,1621123200000,0.49612,0.62799,0.49291,0.53483,52119419.1
12,1621209600000,0.53501,0.5385,0.47689,0.50599,27206484.5
13,1621296000000,0.50702,0.58298,0.48687,0.5686,31727265.0
14,1621382400000,0.56861,0.60714,0.23565,0.33574,88231826.3
15,1621468800000,0.33672,0.42845,0.29533,0.37867,43584842.5
16,1621555200000,0.37837,0.436,0.30403,0.34362,44836688.1
17,1621641600000,0.34305,0.35455,0.29773,0.30654,24078442.1
18,1621728000000,0.30609,0.31976,0.20111,0.26674,32764485.7
19,1621814400000,0.2668,0.35,0.2668,0.31455,30466765.8
20,1621900800000,0.31458,0.35477,0.276,0.34106,37659867.8
21,1621987200000,0.34098,0.643,0.33197,0.55297,187799328.5
22,1622073600000,0.55433,0.678,0.49422,0.50161,151190067.5
23,1622160000000,0.50156,0.53315,0.40414,0.4353,83162263.5
24,1622246400000,0.43486,0.45677,0.36402,0.39243,46561702.0
25,1622332800000,0.39281,0.44099,0.35125,0.42992,51376952.8
26,1622419200000,0.4292,0.51,0.40043,0.4546,70553962.4
27,1622505600000,0.45441,0.45947,0.40702,0.41856,41888010.2
28,1622592000000,0.41872,0.46268,0.40842,0.42056,38714540.0
29,1622678400000,0.42055,0.439,0.40813,0.42279,24799596.6
30,1622764800000,0.42298,0.42354,0.36227,0.3759,23643511.7
31,1622851200000,0.37584,0.39762,0.34761,0.36735,18419760.6
32,1622937600000,0.36681,0.41492,0.36359,0.38324,30011693.2
33,1623024000000,0.38326,0.39025,0.32728,0.33205,22512826.1
34,1623110400000,0.33196,0.34099,0.29095,0.32658,30191383.8
35,1623196800000,0.32658,0.35,0.30101,0.334,27191913.6
36,1623283200000,0.33333,0.34075,0.30303,0.30976,28320740.9
37,1623369600000,0.31048,0.3489,0.2841,0.29337,28281104.4
38,1623456000000,0.29338,0.29632,0.26543,0.27688,28070458.3
39,1623542400000,0.27797,0.31338,0.27486,0.30801,23735511.3
40,1623628800000,0.30811,0.33465,0.29648,0.31402,28968735.9
41,1623715200000,0.31435,0.3275,0.3002,0.30339,23554361.2
42,1623801600000,0.30368,0.31231,0.2822,0.28536,24784810.0
43,1623888000000,0.28496,0.30865,0.28352,0.29718,17245857.3
44,1623974400000,0.29687,0.32956,0.26853,0.27752,40867062.9
45,1624060800000,0.27742,0.29,0.26966,0.28073,20645023.1
46,1624147200000,0.2806,0.2868,0.2574,0.27226,17895645.1
