,time,Open,High,Low,Close,Volume
0,1620172800000,0.2908,0.3239,0.2641,0.2773,316019699.0
1,1620259200000,0.2774,0.288,0.2376,0.2391,160526430.0
2,1620345600000,0.2391,0.2656,0.22,0.2276,174613628.0
3,1620432000000,0.2276,0.275,0.2251,0.2482,236600262.0
4,1620518400000,0.2482,0.2537,0.2101,0.2325,109182122.0
5,1620604800000,0.2323,0.2468,0.185,0.1905,167494727.0
6,1620691200000,0.1908,0.2098,0.1775,0.1945,115752862.0
7,1620777600000,0.1938,0.213,0.1457,0.149,133142976.0
8,1620864000000,0.1481,0.1725,0.133,0.1609,116808000.0
9,1620950400000,0.159,0.25,0.157,0.2021,409587767.0
10,1621036800000,0.2021,0.2255,0.1657,0.177,133871181.0
11,1621123200000,0.177,0.2469,0.1764,0.2099,261087116.0
12,1621209600000,0.2099,0.345,0.1917,0.2693,594692508.0
13,1621296000000,0.2693,0.315,0.2328,0.2357,248762760.0
14,1621382400000,0.2357,0.2502,0.12,0.1464,216174054.0
15,1621468800000,0.1464,0.1889,0.1215,0.168,149165571.0
16,1621555200000,0.168,0.1847,0.11,0.134,159882988.0
17,1621641600000,0.1326,0.1382,0.095,0.1155,181507328.0
18,1621728000000,0.1162,0.118,0.0614,0.0817,152764541.0
19,1621814400000,0.0824,0.1234,0.0763,0.1149,192507742.0
20,1621900800000,0.1146,0.1422,0.1014,0.1299,218300166.0
21,1621987200000,0.1296,0.2,0.1207,0.1998,175934320.0
22,1622073600000,0.1999,0.247,0.1522,0.2133,434090226.0
23,1622160000000,0.2131,0.23,0.1343,0.1491,781380230.0
24,1622246400000,0.1491,0.1704,0.1243,0.1316,389533076.0
25,1622332800000,0.1313,0.1575,0.1265,0.137,265419739.0
26,1622419200000,0.137,0.1478,0.128,0.1459,181571127.0
27,1622505600000,0.1457,0.149,0.1326,0.1348,119352567.0
28,1622592000000,0.135,0.143,0.1302,0.1389,120136848.0
29,1622678400000,0.1389,0.1495,0.1367,0.1451,121406319.0
30,1622764800000,0.1451,0.146,0.1246,0.1316,108441168.0
31,1622851200000,0.1316,0.138,0.1254,0.1293,81284304.0
32,1622937600000,0.1294,0.1334,0.1259,0.1308,48606984.0
33,1623024000000,0.1308,0.1379,0.12,0.1215,59588280.0
34,1623110400000,0.1217,0.124,0.0974,0.1142,121684773.0
35,1623196800000,0.1142,0.143,0.105,0.1348,155633583.0
36,1623283200000,0.1348,0.1383,0.119,0.1231,96740355.0
37,1623369600000,0.1233,0.1668,0.119,0.1386,284566339.0
38,1623456000000,0.1388,0.1427,0.1207,0.1271,125470670.0
39,1623542400000,0.1273,0.1474,0.125,0.1384,89718340.0
40,1623628800000,0.1384,0.1477,0.1365,0.1414,71311009.0
41,1623715200000,0.1412,0.1462,0.1366,0.14,52883786.0
42,1623801600000,0.1398,0.1425,0.1287,0.1315,43882645.0
43,1623888000000,0.1315,0.1378,0.127,0.1338,45321353.0
44,1623974400000,0.134,0.1355,0.1214,0.1276,38392523.0
45,1624060800000,0.1277,0.1334,0.1235,0.1301,32338783.0
46,1624147200000,0.1301,0.139,0.1218,0.1332,60654327.0
47,1624233600000,0.1333,0.1347,0.11,0.1131,75598565.0
48,1624320000000,0.1132,0.1332,0.1053,0.1248,146154147.0
49,1624406400000,0.1247,0.1365,0.1193,0.1335,85832615.0
50,1624492800000,0.1338,0.1345,0.1227,0.1295,47450598.0
51,1624579200000,0.1297,0.1318,0.1192,0.1233,40611534.0
52,1624665600000,0.1233,0.1315,0.1191,0.1313,37037211.0
53,1624752000000,0.1313,0.135,0.1247,0.1346,40408765.0
54,1624838400000,0.1346,0.137,0.1281,0.1325,45635458.0
55,1624924800000,0.1328,0.1382,0.1322,0.1329,54588472.0
56,1625011200000,0.1329,0.1355,0.1254,0.1338,55685668.0
57,1625097600000,0.1338,0.1338,0.1273,0.1317,38799045.0
58,1625184000000,0.1317,0.1552,0.1294,0.148,139962735.0
59,1625270400000,0.1478,0.1644,0.1434,0.1631,124958855.0
60,1625356800000,0.1632,0.1841,0.1532,0.1697,159709082.0
61,1625443200000,0.1696,0.1697,0.1506,0.1625,86058920.0
62,1625529600000,0.1625,0.1997,0.1621,0.188,139493261.0
63,1625616000000,0.1879,0.2488,0.1861,0.2035,255685227.0
64,1625702400000,0.2042,0.2348,0.1777,0.2022,177628241.0
65,1625788800000,0.2022,0.255,0.1904,0.2517,191065558.0
66,1625875200000,0.2517,0.257,0.2307,0.2439,138709506.0
67,1625961600000,0.244,0.26,0.2312,0.259,83952350.0
68,1626048000000,0.259,0.3197,0.2587,0.3156,236728286.0
69,1626134400000,0.3155,0.41,0.3015,0.3455,613138763.0
70,1626220800000,0.3454,0.39,0.29,0.3318,460073951.0
71,1626307200000,0.332,0.3842,0.2979,0.3077,342210412.0
72,1626393600000,0.3075,0.322,0.232,0.2523,296556223.0
73,1626480000000,0.2526,0.3072,0.2404,0.2675,291735148.0
74,1626566400000,0.2672,0.2878,0.2558,0.2706,119128325.0
75,1626652800000,0.2706,0.2723,0.236,0.2529,84497447.0
76,1626739200000,0.2525,0.2935,0.2154,0.2834,204854403.0
77,1626825600000,0.2833,0.3455,0.268,0.337,285984961.0
78,1626912000000,0.337,0.356,0.2715,0.279,392577294.0
79,1626998400000,0.2791,0.3489,0.2659,0.3341,512934041.0
80,1627084800000,0.3341,0.34,0.2902,0.3035,373696613.0
81,1627171200000,0.3037,0.3082,0.271,0.2825,246605769.0
82,1627257600000,0.2825,0.2963,0.2562,0.264,202180332.0
83,1627344000000,0.2639,0.318,0.2445,0.2855,331868003.0
84,1627430400000,0.2851,0.287,0.2612,0.2653,163492151.0
85,1627516800000,0.2653,0.2665,0.248,0.2558,150504770.0
86,1627603200000,0.2559,0.2574,0.2242,0.2412,187109593.0
87,1627689600000,0.2412,0.2435,0.2279,0.2292,185963220.0
88,1627776000000,0.2291,0.2306,0.2029,0.2077,243994148.0
89,1627862400000,0.2077,0.2325,0.2059,0.216,275090085.0
90,1627948800000,0.216,0.2213,0.2022,0.2086,152154962.0
91,1628035200000,0.2086,0.2195,0.2045,0.2158,177835187.0
92,1628121600000,0.2157,0.2167,0.193,0.2,238821376.0
93,1628208000000,0.2001,0.2009,0.18,0.1803,306197270.0
94,1628294400000,0.1802,0.1888,0.1704,0.1776,432274687.0
95,1628380800000,0.1776,0.2022,0.173,0.1868,502286220.0
96,1628467200000,0.1869,0.2274,0.167,0.2064,931701862.0
97,1628553600000,0.2063,0.2156,0.1952,0.2026,494187655.0
98,1628640000000,0.2026,0.221,0.2,0.2022,539171061.0
99,1628726400000,0.2022,0.2045,0.1859,0.1871,190143628.0
