,time,Open,High,Low,Close,Volume
0,1620172800000,16.472,17.92,16.267,17.677,1051345.903
1,1620259200000,17.676,18.846,17.01,18.427,2015882.093
2,1620345600000,18.427,20.518,17.7,18.772,3575488.595
3,1620432000000,18.766,19.142,18.117,18.402,1249732.033
4,1620518400000,18.405,18.552,17.1,17.804,1042949.019
5,1620604800000,17.796,18.279,15.181,16.257,1442140.809
6,1620691200000,16.248,19.0,15.815,18.398,1315014.253
7,1620777600000,18.398,21.8,17.4,17.995,7637651.898
8,1620864000000,17.933,23.142,16.144,18.494,9201914.136
9,1620950400000,18.484,22.15,18.269,21.162,5565301.241
10,1621036800000,21.15,22.9,19.041,19.216,3538184.854
11,1621123200000,19.226,20.628,17.235,18.862,2144554.588
12,1621209600000,18.86,21.123,16.6,20.482,4654373.146
13,1621296000000,20.452,25.837,20.209,23.352,6917240.861
14,1621382400000,23.381,24.05,10.664,14.301,7577436.757
15,1621468800000,14.356,18.43,12.823,16.184,3833108.574
16,1621555200000,16.186,19.748,13.401,16.38,6916995.863
17,1621641600000,16.38,17.64,13.5,14.924,4767133.569
18,1621728000000,14.94,15.51,9.4,11.742,4643354.356
19,1621814400000,11.756,14.567,11.507,13.903,2499904.768
20,1621900800000,13.89,14.652,11.982,13.628,1834456.231
21,1621987200000,13.626,15.101,13.396,14.568,1379266.074
22,1622073600000,14.556,14.576,12.88,13.346,978653.589
23,1622160000000,13.351,13.522,11.065,11.954,1355753.098
24,1622246400000,11.952,12.532,10.392,10.901,968871.506
25,1622332800000,10.917,12.44,10.274,11.753,849448.052
26,1622419200000,11.753,13.33,11.174,13.316,1059227.685
27,1622505600000,13.312,13.456,12.12,12.689,756561.365
28,1622592000000,12.687,13.45,12.152,12.824,668981.931
29,1622678400000,12.822,14.089,12.603,13.546,1209124.552
30,1622764800000,13.545,13.584,11.603,12.215,1015943.785
31,1622851200000,12.2,13.031,11.355,11.641,761508.227
32,1622937600000,11.641,12.183,11.493,11.913,524636.569
33,1623024000000,11.905,12.331,10.724,10.821,827061.179
34,1623110400000,10.81,11.022,9.443,10.4,1489393.422
35,1623196800000,10.411,10.976,9.874,10.891,1166229.295
36,1623283200000,10.902,10.97,9.834,9.925,923786.992
37,1623369600000,9.935,10.06,8.536,8.643,5474364.121
38,1623456000000,8.647,8.758,7.91,8.471,1783343.95
39,1623542400000,8.468,9.188,8.113,9.137,1318168.87
40,1623628800000,9.134,10.095,8.668,10.084,1936843.331
41,1623715200000,10.089,10.461,9.528,9.725,1717359.643
42,1623801600000,9.723,9.928,8.888,9.068,1132103.937
43,1623888000000,9.067,9.51,8.716,9.011,819471.418
44,1623974400000,9.011,9.024,7.913,8.317,1095004.305
45,1624060800000,8.316,8.626,8.054,8.082,802008.865
46,1624147200000,8.078,8.654,7.749,8.47,1223122.361
47,1624233600000,8.47,8.536,6.479,6.55,2145257.354
48,1624320000000,6.548,6.998,5.55,6.343,2592904.737
49,1624406400000,6.341,7.138,6.082,6.652,1207982.107
50,1624492800000,6.657,6.92,6.297,6.612,1310364.284
51,1624579200000,6.615,6.72,5.694,5.807,2031181.94
52,1624665600000,5.808,6.022,5.558,5.956,1163520.532
53,1624752000000,5.957,6.42,5.816,6.42,942406.35
54,1624838400000,6.417,7.147,6.324,7.013,1188664.636
55,1624924800000,7.017,7.465,6.983,7.201,1355498.909
56,1625011200000,7.202,7.365,6.651,7.348,966443.65
57,1625097600000,7.343,7.353,6.638,6.831,798709.136
58,1625184000000,6.829,6.948,6.419,6.915,555871.339
59,1625270400000,6.911,7.5,6.764,7.287,755385.927
60,1625356800000,7.288,8.962,7.011,8.598,2455817.659
61,1625443200000,8.598,11.499,8.37,10.599,11039477.531
62,1625529600000,10.605,12.746,10.363,11.194,9844685.759
63,1625616000000,11.184,11.858,10.663,10.771,3327818.02
64,1625702400000,10.767,10.767,9.395,9.611,2620445.845
65,1625788800000,9.619,12.13,9.173,11.472,7072411.398
66,1625875200000,11.478,11.957,10.491,11.039,2813303.732
67,1625961600000,11.051,12.89,10.768,12.425,4545746.76
68,1626048000000,12.424,13.65,12.039,12.097,5579603.759
69,1626134400000,12.092,12.238,10.791,10.997,4533783.16
70,1626220800000,10.992,11.118,10.012,10.454,4734085.161
71,1626307200000,10.446,10.807,9.43,9.582,3444540.945
72,1626393600000,9.589,10.234,8.841,8.904,2446675.884
73,1626480000000,8.903,9.223,8.671,8.846,1343301.509
74,1626566400000,8.842,9.499,8.824,8.881,1421139.969
75,1626652800000,8.879,8.929,8.06,8.189,1516714.961
76,1626739200000,8.19,8.32,7.25,7.548,1686780.908
77,1626825600000,7.555,8.611,7.142,8.485,3521539.154
78,1626912000000,8.485,8.95,8.218,8.52,2305215.307
79,1626998400000,8.527,8.958,8.075,8.744,1754556.882
80,1627084800000,8.744,8.788,8.345,8.615,1875084.95
81,1627171200000,8.618,8.644,8.015,8.381,1073567.155
82,1627257600000,8.381,10.471,8.344,9.334,4780598.332
83,1627344000000,9.327,9.853,8.778,9.35,3070022.628
84,1627430400000,9.348,9.473,8.916,9.105,1692514.86
85,1627516800000,9.111,10.212,8.843,9.983,2217181.402
86,1627603200000,9.978,10.248,8.968,9.595,2570431.279
87,1627689600000,9.595,10.23,9.451,10.138,2928314.572
88,1627776000000,10.137,10.41,9.316,9.454,2083190.234
89,1627862400000,9.448,9.849,9.264,9.49,1618239.227
90,1627948800000,9.493,9.583,8.824,9.051,1802110.358
91,1628035200000,9.051,9.799,8.909,9.653,1543654.027
92,1628121600000,9.653,10.88,9.349,10.522,4624843.351
93,1628208000000,10.53,10.67,9.959,10.185,3435697.443
94,1628294400000,10.184,11.1,10.044,10.574,3409604.232
95,1628380800000,10.579,10.8,9.46,9.691,2934407.626
96,1628467200000,9.685,10.335,9.302,10.154,1940189.276
97,1628553600000,10.159,10.564,9.797,10.268,2137801.474
98,1628640000000,10.269,11.503,10.155,10.655,3612706.146
99,1628726400000,10.656,11.178,10.146,10.296,1425514.101
