,time,Open,High,Low,Close,Volume
0,1620172800000,42.636,46.0,42.305,44.98,2772821.523
1,1620259200000,44.965,44.98,42.55,43.496,2337263.012
2,1620345600000,43.496,46.243,41.42,43.182,3259646.399
3,1620432000000,43.154,46.65,42.275,45.612,2539093.011
4,1620518400000,45.632,47.15,42.6,44.33,3095018.717
5,1620604800000,44.33,45.89,39.0,42.854,2869549.017
6,1620691200000,42.868,45.18,39.7,44.538,2758407.694
7,1620777600000,44.579,49.243,42.18,43.709,7592760.128
8,1620864000000,43.394,45.501,37.43,41.049,7162647.061
9,1620950400000,41.051,44.897,39.901,42.7,3421838.277
10,1621036800000,42.697,45.5,39.305,43.486,3357108.617
11,1621123200000,43.462,52.6,41.602,46.85,13162867.429
12,1621209600000,46.85,51.985,43.01,46.708,13839076.478
13,1621296000000,46.747,58.38,46.051,55.977,12538546.698
14,1621382400000,55.969,57.691,26.5,34.988,22259967.849
15,1621468800000,34.987,53.0,32.0,44.42,17869805.908
16,1621555200000,44.367,47.7,33.673,38.925,13740700.641
17,1621641600000,38.925,40.0,31.134,31.222,10122098.005
18,1621728000000,31.222,32.4,19.117,24.536,25787150.864
19,1621814400000,24.53,32.19,24.496,31.416,15414302.323
20,1621900800000,31.42,33.195,25.915,29.973,10300933.608
21,1621987200000,29.985,37.25,28.858,35.43,10601343.234
22,1622073600000,35.427,35.594,30.976,33.747,5698854.676
23,1622160000000,33.761,34.551,28.0,28.989,6370726.751
24,1622246400000,28.993,30.066,25.7,27.388,3911549.6
25,1622332800000,27.407,29.781,25.586,28.588,3964240.919
26,1622419200000,28.573,33.014,27.489,32.75,5173286.471
27,1622505600000,32.759,33.285,29.852,30.938,4046865.202
28,1622592000000,30.931,35.129,30.402,33.994,4549289.133
29,1622678400000,33.994,41.523,33.736,39.602,7862225.094
30,1622764800000,39.599,39.737,34.187,37.338,8825815.938
31,1622851200000,37.356,42.787,36.982,39.633,8654823.195
32,1622937600000,39.663,43.4,38.912,42.205,6151664.294
33,1623024000000,42.2,44.2,37.8,38.235,8050031.335
34,1623110400000,38.2,42.596,33.6,41.245,16902544.675
35,1623196800000,41.245,44.0,39.291,42.032,10764252.936
36,1623283200000,42.032,43.097,39.459,41.105,5155108.071
37,1623369600000,41.091,41.376,35.074,36.157,4760990.078
38,1623456000000,36.131,37.64,34.1,36.476,5196242.998
39,1623542400000,36.492,39.442,34.72,38.706,4063329.112
40,1623628800000,38.713,40.561,36.627,39.694,4590144.279
41,1623715200000,39.7,41.741,39.154,39.536,3725999.561
42,1623801600000,39.513,41.75,37.455,39.728,5055331.868
43,1623888000000,39.73,41.264,38.211,39.265,3274621.978
44,1623974400000,39.259,39.502,34.898,36.82,3777138.806
45,1624060800000,36.802,37.318,34.901,35.19,2216638.028
46,1624147200000,35.195,35.949,31.3,35.257,3938821.53
47,1624233600000,35.248,35.499,25.925,26.59,8213916.627
48,1624320000000,26.597,28.813,20.187,26.958,15788825.956
49,1624406400000,26.957,32.9,25.626,30.837,11966311.253
50,1624492800000,30.835,33.0,28.481,31.141,7214092.912
51,1624579200000,31.144,32.989,27.949,28.641,7293143.176
52,1624665600000,28.619,30.181,26.659,29.698,6492984.234
53,1624752000000,29.691,31.95,29.186,31.897,5851211.914
54,1624838400000,31.883,34.34,30.961,33.001,4996728.013
55,1624924800000,33.018,35.837,32.665,33.97,4476285.792
56,1625011200000,33.974,36.0,31.555,35.51,5361423.665
57,1625097600000,35.51,35.567,32.17,33.271,4488924.899
58,1625184000000,33.27,34.217,31.367,34.0,4324198.276
59,1625270400000,34.001,35.406,33.217,34.498,3063406.141
60,1625356800000,34.497,35.531,33.533,34.28,2972213.418
61,1625443200000,34.278,34.49,32.37,32.908,3008984.082
62,1625529600000,32.908,35.041,32.883,34.226,3289698.061
63,1625616000000,34.221,38.1,33.82,36.673,4609258.553
64,1625702400000,36.667,36.934,32.654,33.142,4495022.54
65,1625788800000,33.134,34.46,31.976,33.315,2810263.602
66,1625875200000,33.315,34.215,31.025,31.693,2838074.586
67,1625961600000,31.716,32.568,31.3,32.182,1944815.804
68,1626048000000,32.173,32.696,30.011,30.77,2251239.269
69,1626134400000,30.77,31.096,28.81,29.136,1837132.436
70,1626220800000,29.154,31.5,27.363,31.365,3434185.178
