,time,Open,High,Low,Close,Volume
0,1620172800000,10.2734,11.4986,10.05,11.1528,5388733.98
1,1620259200000,11.1528,11.1898,10.0289,10.3282,4136059.97
2,1620345600000,10.3216,10.8,9.5703,10.1466,4108991.55
3,1620432000000,10.1635,11.4138,9.9421,10.812,4566523.92
4,1620518400000,10.8142,10.8451,9.82,10.2939,2727083.78
5,1620604800000,10.2912,10.6072,8.7,9.1532,3354516.37
6,1620691200000,9.1584,9.7597,8.7271,9.7485,2994571.2
7,1620777600000,9.75,10.1971,8.3,8.4668,4229165.63
8,1620864000000,8.4144,9.2255,7.5502,8.2693,6437961.42
9,1620950400000,8.2543,9.5046,8.0185,8.7379,3074647.93
10,1621036800000,8.7365,8.911,7.7771,7.8904,3475239.85
11,1621123200000,7.8895,10.557,7.82,9.71,16322589.16
12,1621209600000,9.71,10.9552,9.05,9.2167,16287706.52
13,1621296000000,9.2205,10.4299,9.05,9.6004,10371155.33
14,1621382400000,9.6061,9.7684,5.0,5.4347,13049827.99
15,1621468800000,5.421,6.7,4.6678,6.5321,11366920.66
16,1621555200000,6.5254,7.0084,4.6704,5.5501,10081425.84
17,1621641600000,5.5532,5.5811,4.62,4.8184,5154007.64
18,1621728000000,4.8181,4.9892,3.0334,3.821,11003580.12
19,1621814400000,3.82,4.8,3.6399,4.75,8145132.62
20,1621900800000,4.7488,4.9085,4.1076,4.6104,6459213.13
21,1621987200000,4.6117,5.5597,4.4666,5.4726,8652258.48
22,1622073600000,5.4717,5.4774,4.8563,5.0769,4674986.98
23,1622160000000,5.0818,5.1529,4.1451,4.3444,5148613.23
24,1622246400000,4.3425,4.5593,3.87,4.0639,3029971.51
25,1622332800000,4.0628,4.446,3.8176,4.3128,2552552.37
26,1622419200000,4.2999,4.7939,4.056,4.7541,3198160.26
27,1622505600000,4.7543,4.9246,4.3957,4.5895,2510258.32
28,1622592000000,4.5863,5.2261,4.4178,4.895,3378469.14
29,1622678400000,4.893,5.3714,4.7485,5.2913,4035581.39
30,1622764800000,5.3,5.34,4.4568,4.7156,4289378.67
31,1622851200000,4.7173,5.0872,4.4215,4.5976,2894027.74
32,1622937600000,4.5985,4.8265,4.5634,4.8008,1609088.59
33,1623024000000,4.8032,5.27,4.407,4.4651,5155975.47
34,1623110400000,4.4676,4.5267,3.8002,4.27,4912554.83
35,1623196800000,4.2778,4.5837,4.0381,4.496,4263595.91
36,1623283200000,4.4956,4.589,4.1256,4.1999,2427525.0
37,1623369600000,4.2039,4.2697,3.7869,3.8611,2581177.51
38,1623456000000,3.8587,3.863,3.4806,3.663,3097320.13
39,1623542400000,3.6662,4.05,3.5773,3.9669,1913007.47
40,1623628800000,3.9671,4.2798,3.8829,4.2324,2376786.13
