,time,Open,High,Low,Close,Volume
0,1620172800000,1.8041,1.9965,1.7683,1.9939,8227638.64
1,1620259200000,1.9934,2.0309,1.8179,1.9026,9977826.71
2,1620345600000,1.9014,2.5818,1.8008,2.2354,44888778.91
3,1620432000000,2.2354,2.734,2.1982,2.229,58998846.99
4,1620518400000,2.229,2.3097,2.0912,2.1593,19966035.57
5,1620604800000,2.1591,2.2271,1.7718,1.8555,13419366.71
6,1620691200000,1.8561,2.0768,1.801,1.9887,11452701.29
7,1620777600000,1.987,2.136,1.6216,1.6794,11641744.71
8,1620864000000,1.6795,1.8346,1.3692,1.6968,12994825.3
9,1620950400000,1.701,1.8848,1.6736,1.8006,6138767.86
10,1621036800000,1.8025,1.8291,1.616,1.6304,5310704.75
11,1621123200000,1.6281,1.8275,1.4855,1.5903,7598853.46
12,1621209600000,1.589,1.5902,1.3927,1.5042,7196392.42
13,1621296000000,1.504,1.6063,1.4791,1.541,5402149.12
14,1621382400000,1.5386,1.5707,0.6939,0.9658,20955435.67
15,1621468800000,0.9672,1.2026,0.8601,1.1967,13644474.75
16,1621555200000,1.197,1.4998,0.939,1.1096,28578772.96
17,1621641600000,1.1166,1.1684,0.986,1.0343,9620740.82
18,1621728000000,1.0322,1.35,0.767,0.9034,54352945.15
19,1621814400000,0.9058,1.1965,0.8714,1.0928,15040569.56
20,1621900800000,1.0901,1.1425,0.9579,1.1013,8237871.72
21,1621987200000,1.1043,1.2871,1.0699,1.2824,9533752.68
22,1622073600000,1.2824,1.2856,1.114,1.206,6217156.14
23,1622160000000,1.2062,1.2064,0.9975,1.0578,5083010.61
24,1622246400000,1.0553,1.1099,0.9337,1.0159,4339547.6
25,1622332800000,1.0134,1.0635,0.9527,1.018,4997075.08
26,1622419200000,1.0157,1.1414,0.963,1.0934,4000613.36
27,1622505600000,1.0933,1.0996,1.0264,1.0563,3753899.18
28,1622592000000,1.0582,1.2555,1.0484,1.194,15154243.06
29,1622678400000,1.1934,1.3011,1.1433,1.2206,9710443.67
30,1622764800000,1.2206,1.2219,1.0427,1.112,7569148.24
31,1622851200000,1.1116,1.1783,1.0164,1.0634,5221352.02
32,1622937600000,1.0629,1.194,1.0629,1.1559,12917388.76
33,1623024000000,1.155,1.1689,1.0152,1.0275,6469466.1
34,1623110400000,1.0257,1.0552,0.9077,1.001,5966652.9
35,1623196800000,1.0033,1.0393,0.9443,1.0209,3314947.09
36,1623283200000,1.0212,1.0554,0.9506,0.9841,4812755.98
37,1623369600000,0.9842,1.0733,0.9254,0.9363,5240220.92
38,1623456000000,0.9383,0.9487,0.8509,0.8937,3321541.09
39,1623542400000,0.8949,0.9621,0.8734,0.947,3300004.03
40,1623628800000,0.947,0.977,0.9194,0.9693,2723443.85
41,1623715200000,0.9693,1.0169,0.9332,0.9695,3789941.16
42,1623801600000,0.9695,0.9695,0.8938,0.9028,2140921.85
43,1623888000000,0.9056,0.934,0.8741,0.8922,2416746.95
44,1623974400000,0.8919,0.8961,0.8,0.8366,2522462.11
45,1624060800000,0.8362,0.8897,0.804,0.8246,3913907.17
46,1624147200000,0.8248,0.8652,0.7752,0.8223,4001065.15
47,1624233600000,0.8212,0.8304,0.6202,0.6226,7294742.93
48,1624320000000,0.6214,0.669,0.5044,0.5788,9146475.05
49,1624406400000,0.5772,0.6909,0.5533,0.6598,7622148.92
50,1624492800000,0.659,0.6879,0.6121,0.6808,3785453.17
51,1624579200000,0.6808,0.6947,0.603,0.6109,4310453.11
52,1624665600000,0.61,0.6408,0.5817,0.6282,2981346.09
53,1624752000000,0.6293,0.6574,0.6064,0.6542,2740515.11
54,1624838400000,0.6563,0.7116,0.6505,0.7116,3411627.17
55,1624924800000,0.711,0.9348,0.7,0.8847,34439288.05
56,1625011200000,0.8852,0.8891,0.7703,0.844,10368215.23
57,1625097600000,0.8437,0.8439,0.7521,0.7956,3420883.26
58,1625184000000,0.7949,0.8872,0.7947,0.8539,13616404.64
59,1625270400000,0.8543,0.8726,0.8157,0.8662,4261358.93
60,1625356800000,0.8655,0.94,0.8583,0.8655,8460821.56
61,1625443200000,0.8655,0.8976,0.819,0.8841,6234659.11
62,1625529600000,0.8833,1.0343,0.8782,0.9583,16133501.97
63,1625616000000,0.9573,1.1045,0.934,0.9683,14482414.61
64,1625702400000,0.9679,1.0942,0.8952,1.0687,13018560.41
65,1625788800000,1.0687,1.0716,0.9345,0.993,11990050.59
66,1625875200000,0.9933,1.0024,0.9262,0.9471,4688193.75
67,1625961600000,0.9486,0.9718,0.9072,0.9515,3367556.93
68,1626048000000,0.9515,0.9519,0.8685,0.9223,3106246.03
69,1626134400000,0.9217,0.9232,0.8494,0.8898,2666178.35
70,1626220800000,0.8907,1.0361,0.8904,0.9319,21683029.84
71,1626307200000,0.9323,0.9347,0.8482,0.8913,6559509.67
72,1626393600000,0.8908,0.8922,0.7959,0.8084,5003954.33
73,1626480000000,0.8065,0.8201,0.7651,0.792,4046837.61
74,1626566400000,0.7928,0.8182,0.7721,0.8086,2232591.48
75,1626652800000,0.8087,0.8789,0.7667,0.7738,13040195.21
76,1626739200000,0.773,0.7878,0.6732,0.7093,6336602.71
77,1626825600000,0.709,0.7694,0.6746,0.7659,5667954.76
78,1626912000000,0.7667,0.7859,0.7378,0.7835,3211695.7
79,1626998400000,0.7835,0.8023,0.7476,0.7989,2801200.41
80,1627084800000,0.7992,0.8551,0.7842,0.8286,3381618.11
81,1627171200000,0.8293,0.8418,0.7907,0.8359,2731185.85
82,1627257600000,0.8357,0.9581,0.8306,0.8578,10249717.2
83,1627344000000,0.8554,0.9897,0.8526,0.9256,15492910.84
84,1627430400000,0.9256,1.1304,0.9256,1.0179,29855186.4
85,1627516800000,1.0204,1.0215,0.9565,1.0108,6559146.04
86,1627603200000,1.0108,1.0213,0.9301,1.0182,4580229.38
87,1627689600000,1.0174,1.0658,0.988,1.0414,5057751.07
88,1627776000000,1.0408,1.2118,1.0197,1.0373,20847725.3
89,1627862400000,1.0379,1.0514,0.9969,1.0318,6728011.31
90,1627948800000,1.0305,1.0379,0.9643,1.0182,3431836.05
91,1628035200000,1.02,1.1972,1.02,1.0953,15140817.9
92,1628121600000,1.0933,1.1063,1.0214,1.1006,4811517.52
93,1628208000000,1.1005,1.1533,1.0637,1.1512,4799679.26
94,1628294400000,1.1513,1.1935,1.1082,1.1935,6837767.2
95,1628380800000,1.1934,1.2146,1.0622,1.12,5320017.24
96,1628467200000,1.1198,1.1673,1.0575,1.1606,3382780.5
97,1628553600000,1.1598,1.1778,1.0974,1.1706,4793772.13
98,1628640000000,1.1713,1.2899,1.0822,1.2185,8507740.72
99,1628726400000,1.2182,1.2579,1.1371,1.1478,3301832.09
