,time,Open,High,Low,Close,Volume
0,1620172800000,0.08038,0.08677,0.07811,0.08522,109752653.8
1,1620259200000,0.08512,0.08557,0.07804,0.07907,55081037.0
2,1620345600000,0.07896,0.08449,0.072,0.07793,88802431.0
3,1620432000000,0.07793,0.07945,0.07497,0.07624,26555034.7
4,1620518400000,0.07635,0.0799,0.072,0.077,61174319.2
5,1620604800000,0.07705,0.079,0.06601,0.07056,49288090.3
6,1620691200000,0.07038,0.08164,0.06895,0.07575,111972121.7
7,1620777600000,0.07573,0.081,0.06458,0.06489,47136797.0
8,1620864000000,0.065,0.0705,0.06341,0.06711,34194904.2
9,1620950400000,0.06686,0.079,0.06651,0.0743,81193560.7
10,1621036800000,0.07429,0.07675,0.06737,0.06789,34969256.1
11,1621123200000,0.06788,0.078,0.0637,0.06671,85905222.1
12,1621209600000,0.06662,0.073,0.05691,0.05968,66037498.0
13,1621296000000,0.05968,0.06555,0.05872,0.06204,29648270.9
14,1621382400000,0.06207,0.06416,0.033,0.04307,54139502.6
15,1621468800000,0.04347,0.0544,0.03983,0.0544,28593031.1
16,1621555200000,0.05412,0.063,0.04755,0.05886,78638963.7
17,1621641600000,0.05851,0.078,0.05502,0.05936,243515945.8
18,1621728000000,0.05936,0.05947,0.04,0.05194,54505758.7
19,1621814400000,0.05166,0.05658,0.04619,0.05545,47430428.4
20,1621900800000,0.05507,0.06822,0.04999,0.055,137815357.2
21,1621987200000,0.05526,0.05765,0.05275,0.05765,32217258.1
22,1622073600000,0.05761,0.05976,0.05203,0.05577,21393554.3
23,1622160000000,0.05567,0.05587,0.04901,0.05238,16251399.3
24,1622246400000,0.05188,0.055,0.04711,0.04852,22215337.3
25,1622332800000,0.04811,0.04995,0.0458,0.04987,8784762.1
26,1622419200000,0.04987,0.05567,0.0469,0.05164,13246679.7
27,1622505600000,0.05164,0.05302,0.0484,0.04934,12456763.1
28,1622592000000,0.04965,0.0568,0.0485,0.05241,69147408.0
29,1622678400000,0.05241,0.05947,0.05201,0.05402,120372608.2
30,1622764800000,0.05418,0.05418,0.04783,0.05001,19484229.0
31,1622851200000,0.04997,0.0537,0.04747,0.04868,18913806.5
32,1622937600000,0.0491,0.06216,0.04867,0.05059,155642192.2
33,1623024000000,0.05055,0.056,0.04729,0.04755,35573739.2
34,1623110400000,0.04751,0.04964,0.04,0.04494,23457186.6
35,1623196800000,0.04465,0.04691,0.04204,0.04582,30174961.1
36,1623283200000,0.04613,0.05873,0.045,0.04867,283343691.5
37,1623369600000,0.04866,0.08902,0.04724,0.06356,1004687537.2
38,1623456000000,0.06357,0.06381,0.04652,0.04754,289707258.4
39,1623542400000,0.04753,0.04768,0.04307,0.04734,155655700.1
40,1623628800000,0.04731,0.04763,0.044,0.04729,85617099.7
41,1623715200000,0.04724,0.05485,0.04723,0.04955,173842469.1
42,1623801600000,0.04944,0.04944,0.04503,0.04565,43277957.4
43,1623888000000,0.04566,0.04776,0.04438,0.04646,52754287.9
44,1623974400000,0.04644,0.04651,0.04132,0.04265,31876414.8
45,1624060800000,0.04252,0.04296,0.03834,0.04022,46383946.2
46,1624147200000,0.04026,0.04026,0.03537,0.03902,42117948.2
47,1624233600000,0.03902,0.03902,0.02715,0.0276,50778941.8
48,1624320000000,0.02745,0.0302,0.02204,0.02633,72603034.6
49,1624406400000,0.02636,0.0293,0.02564,0.02927,39414167.5
50,1624492800000,0.02903,0.03491,0.0284,0.03198,92249993.2
51,1624579200000,0.03211,0.0451,0.03211,0.03559,432619336.2
52,1624665600000,0.0356,0.03575,0.03051,0.03463,98165021.1
53,1624752000000,0.03463,0.04,0.0335,0.03637,81944661.3
54,1624838400000,0.03635,0.03956,0.03375,0.03922,63080842.2
55,1624924800000,0.03919,0.0499,0.03854,0.04241,157918693.0
56,1625011200000,0.04245,0.04303,0.03662,0.04281,60203929.1
57,1625097600000,0.04274,0.0537,0.04102,0.0445,257964832.0
58,1625184000000,0.04435,0.04604,0.03945,0.04558,53405743.2
59,1625270400000,0.04542,0.04686,0.04256,0.04638,35253804.0
60,1625356800000,0.04633,0.05,0.04463,0.04736,52252771.8
61,1625443200000,0.04731,0.04917,0.04372,0.04784,39795603.4
62,1625529600000,0.04761,0.05038,0.04595,0.04951,28279144.0
63,1625616000000,0.04966,0.04966,0.04723,0.04813,23068295.6
64,1625702400000,0.04808,0.04808,0.04101,0.04223,28958532.8
65,1625788800000,0.04218,0.0449,0.03975,0.04274,38917353.4
66,1625875200000,0.043,0.05462,0.04269,0.04653,135143552.4
67,1625961600000,0.04653,0.04708,0.04293,0.04694,61731686.4
68,1626048000000,0.04694,0.04694,0.04413,0.04573,19868453.3
69,1626134400000,0.04573,0.04799,0.04454,0.04669,51453020.0
70,1626220800000,0.04669,0.04699,0.04228,0.04537,25927489.9
71,1626307200000,0.04523,0.04525,0.04212,0.0432,20054167.2
72,1626393600000,0.04305,0.0431,0.03852,0.04036,17022280.9
73,1626480000000,0.04018,0.04899,0.03943,0.04067,37280036.1
74,1626566400000,0.04064,0.0418,0.03943,0.04019,13162936.3
75,1626652800000,0.04019,0.04097,0.03625,0.03759,14037853.3
76,1626739200000,0.03759,0.03759,0.03286,0.03555,22683566.7
77,1626825600000,0.03564,0.03878,0.03342,0.03855,29769322.1
78,1626912000000,0.03855,0.03998,0.03732,0.0397,11123070.5
79,1626998400000,0.03979,0.04141,0.03833,0.04081,12922452.2
80,1627084800000,0.04076,0.04178,0.03948,0.04123,15823270.5
81,1627171200000,0.04128,0.04378,0.04062,0.04378,25107014.3
82,1627257600000,0.04378,0.04709,0.04258,0.04448,38335963.1
83,1627344000000,0.04459,0.04899,0.04314,0.04594,45452206.9
84,1627430400000,0.04595,0.04598,0.04405,0.04594,18179858.3
85,1627516800000,0.04587,0.05894,0.04501,0.05087,275169057.2
86,1627603200000,0.05084,0.05344,0.04762,0.0512,48379923.6
87,1627689600000,0.05129,0.05217,0.04967,0.05195,16911684.2
88,1627776000000,0.05189,0.0545,0.05014,0.05049,23124701.3
89,1627862400000,0.0504,0.05041,0.04806,0.04998,14112652.8
90,1627948800000,0.04988,0.05204,0.04823,0.0506,17726025.5
91,1628035200000,0.0506,0.05184,0.04873,0.0514,11974455.2
92,1628121600000,0.0514,0.0549,0.05043,0.05281,44685525.7
93,1628208000000,0.05293,0.05797,0.05245,0.05563,33792956.0
94,1628294400000,0.05561,0.0574,0.0544,0.05625,23575324.9
95,1628380800000,0.05625,0.06149,0.05443,0.05491,33957246.2
96,1628467200000,0.05478,0.0633,0.05458,0.05732,89944255.2
97,1628553600000,0.05732,0.063,0.05732,0.0594,59210914.2
98,1628640000000,0.0595,0.0624,0.05781,0.0592,131918721.4
99,1628726400000,0.05919,0.0742,0.05913,0.06449,112746715.1
