,time,Open,High,Low,Close,Volume
0,1596585600000,0.5429,0.55,0.5261,0.5371,508312.88
1,1596672000000,0.5342,0.5439,0.5317,0.5384,553566.05
2,1596758400000,0.5389,0.5649,0.5337,0.56,775421.5
3,1596844800000,0.5599,0.6049,0.5545,0.5949,1205531.5
4,1596931200000,0.5947,0.6259,0.5796,0.5995,1449087.77
5,1597017600000,0.5992,0.6019,0.5717,0.597,1328951.77
6,1597104000000,0.596,0.6428,0.5836,0.611,2953383.58
7,1597190400000,0.611,0.645,0.587,0.633,1500142.19
8,1597276800000,0.6343,0.6666,0.5994,0.6303,2174112.43
9,1597363200000,0.6306,0.6662,0.62,0.6398,1224350.59
10,1597449600000,0.6399,0.6402,0.612,0.6173,512057.79
11,1597536000000,0.6204,0.6362,0.6018,0.6313,835746.86
12,1597622400000,0.6283,0.64,0.5906,0.6182,1221191.54
13,1597708800000,0.6188,0.6283,0.5802,0.6037,634699.63
14,1597795200000,0.6062,0.6067,0.5455,0.5661,765573.39
15,1597881600000,0.5687,0.6031,0.5511,0.5987,546607.67
16,1597968000000,0.5988,0.7679,0.59,0.6388,5214826.93
17,1598054400000,0.6388,0.7213,0.5926,0.6814,2944479.58
18,1598140800000,0.681,0.6895,0.6505,0.6669,920632.99
19,1598227200000,0.6695,0.7165,0.6492,0.6927,1161561.27
20,1598313600000,0.691,0.7445,0.6501,0.6762,2435764.28
21,1598400000000,0.68,0.6811,0.6293,0.6536,1222752.19
22,1598486400000,0.657,0.657,0.5757,0.5921,1186317.3
23,1598572800000,0.5921,0.6188,0.5817,0.6128,478660.11
24,1598659200000,0.6101,0.6298,0.6046,0.6234,382822.5
25,1598745600000,0.6194,0.6348,0.6115,0.6189,456928.08
26,1598832000000,0.6206,0.6301,0.5952,0.5957,752798.25
27,1598918400000,0.5959,0.6179,0.5912,0.5997,556409.16
28,1599004800000,0.6003,0.6045,0.5334,0.5655,644260.71
29,1599091200000,0.5659,0.5696,0.4489,0.4652,752600.77
30,1599177600000,0.4639,0.5161,0.4604,0.4976,604593.56
31,1599264000000,0.4973,0.5082,0.4285,0.4524,443499.93
32,1599350400000,0.4509,0.4708,0.426,0.4707,459865.81
33,1599436800000,0.4689,0.4715,0.4139,0.4634,407446.51
34,1599523200000,0.4631,0.466,0.432,0.4423,297794.82
35,1599609600000,0.4418,0.4718,0.4384,0.46,310498.94
36,1599696000000,0.4619,0.5,0.4619,0.4948,421411.13
37,1599782400000,0.4902,0.5354,0.4774,0.533,392708.02
38,1599868800000,0.535,0.5549,0.5151,0.5392,330192.72
39,1599955200000,0.542,0.5507,0.4844,0.4936,311387.41
40,1600041600000,0.4968,0.5082,0.488,0.4938,246966.63
41,1600128000000,0.4948,0.5276,0.4909,0.4968,302893.33
42,1600214400000,0.4965,0.4965,0.4714,0.483,174977.49
43,1600300800000,0.4832,0.4955,0.4678,0.4724,172643.59
44,1600387200000,0.4709,0.4769,0.4593,0.4651,322172.67
45,1600473600000,0.4652,0.4829,0.4629,0.4719,201435.08
46,1600560000000,0.4694,0.4721,0.439,0.4506,213937.55
47,1600646400000,0.4516,0.4601,0.3915,0.4064,467996.08
48,1600732800000,0.4073,0.4121,0.3862,0.4084,280361.18
49,1600819200000,0.4101,0.4122,0.3638,0.3674,349182.66
50,1600905600000,0.3666,0.4001,0.3631,0.397,268347.76
51,1600992000000,0.3994,0.4991,0.3919,0.4955,1495981.65
52,1601078400000,0.4977,0.5882,0.4844,0.4975,4856056.44
53,1601164800000,0.4975,0.5,0.4467,0.4684,1049305.94
54,1601251200000,0.4684,0.488,0.4496,0.4542,700398.45
55,1601337600000,0.4509,0.4575,0.4362,0.4461,398622.36
56,1601424000000,0.4462,0.4543,0.4279,0.4462,188056.57
57,1601510400000,0.4467,0.4643,0.4206,0.4334,315551.31
58,1601596800000,0.4342,0.4429,0.3934,0.4241,840151.29
59,1601683200000,0.4226,0.432,0.4156,0.4278,119589.86
60,1601769600000,0.4277,0.4314,0.4104,0.4191,78136.12
61,1601856000000,0.4191,0.4412,0.4045,0.4281,262881.78
62,1601942400000,0.4281,0.4284,0.3945,0.3992,188007.35
63,1602028800000,0.3965,0.4,0.3918,0.3969,182685.33
64,1602115200000,0.3957,0.4209,0.3892,0.409,603872.34
65,1602201600000,0.4121,0.4426,0.407,0.4314,457533.26
66,1602288000000,0.4345,0.4631,0.4345,0.4523,219923.7
67,1602374400000,0.4522,0.4877,0.4418,0.4465,495819.03
68,1602460800000,0.45,0.4591,0.4333,0.4383,340405.87
69,1602547200000,0.4414,0.4819,0.4409,0.4609,566276.44
70,1602633600000,0.4609,0.465,0.4368,0.4431,281015.4
71,1602720000000,0.4431,0.4541,0.4359,0.4382,218822.56
72,1602806400000,0.4361,0.4376,0.4076,0.412,253557.95
73,1602892800000,0.4119,0.4232,0.4082,0.4232,96178.29
74,1602979200000,0.4221,0.4253,0.4105,0.4112,125796.83
75,1603065600000,0.4112,0.416,0.4014,0.4041,176629.27
76,1603152000000,0.4068,0.4128,0.3773,0.3839,246268.5
77,1603238400000,0.3828,0.457,0.3718,0.4273,1080784.09
78,1603324800000,0.4274,0.435,0.4163,0.4181,393008.77
79,1603411200000,0.4181,0.4324,0.4055,0.426,606558.76
80,1603497600000,0.426,0.433,0.4225,0.4286,67326.3
81,1603584000000,0.4274,0.4658,0.4265,0.4436,380520.8
82,1603670400000,0.4413,0.4641,0.43,0.4431,189658.34
83,1603756800000,0.4445,0.482,0.4414,0.4538,377640.27
84,1603843200000,0.4544,0.57,0.4368,0.4494,1350778.83
85,1603929600000,0.4526,0.4565,0.4,0.4119,430601.36
86,1604016000000,0.4103,0.4103,0.3705,0.3885,280094.51
87,1604102400000,0.3886,0.3981,0.3791,0.3816,225947.95
88,1604188800000,0.3808,0.3866,0.376,0.3866,268376.39
89,1604275200000,0.3843,0.4078,0.3643,0.3731,4373287.28
90,1604361600000,0.3722,0.3849,0.3459,0.3682,649347.87
91,1604448000000,0.368,0.4576,0.3583,0.4055,1916174.39
92,1604534400000,0.4051,0.475,0.3997,0.475,1031255.69
93,1604620800000,0.472,0.522,0.4524,0.4919,1304678.44
94,1604707200000,0.4932,0.5153,0.4181,0.4394,1134832.86
95,1604793600000,0.4362,0.4997,0.436,0.4937,384443.46
96,1604880000000,0.4937,0.55,0.4796,0.519,986369.03
97,1604966400000,0.5181,0.6382,0.5012,0.5389,2558869.23
98,1605052800000,0.5389,0.5997,0.5094,0.5399,924286.33
99,1605139200000,0.5376,0.5636,0.4904,0.4904,595797.17
