,time,Open,High,Low,Close,Volume
0,1620172800000,2.7892,3.5556,2.7892,2.9618,16944999.75
1,1620259200000,2.9453,3.2394,2.8392,2.9641,6397644.32
2,1620345600000,2.961,3.29,2.8346,3.22,6162735.2
3,1620432000000,3.2156,3.5,3.0706,3.0821,6918114.35
4,1620518400000,3.079,3.4,2.8949,3.2857,5110369.66
5,1620604800000,3.2896,4.55,3.09,3.7372,28318211.4
6,1620691200000,3.7455,3.9999,3.3599,3.5601,8823930.62
7,1620777600000,3.56,4.1688,3.0999,3.15,10015639.37
8,1620864000000,3.15,3.5996,2.8915,3.033,7050392.32
9,1620950400000,3.0372,3.4472,2.96,3.1512,5125361.55
10,1621036800000,3.1517,3.2134,2.735,2.7686,4884497.08
11,1621123200000,2.7757,3.119,2.515,2.7575,4905916.25
12,1621209600000,2.7666,2.8999,2.3037,2.6807,5689416.85
13,1621296000000,2.6808,2.9659,2.6264,2.6915,4231147.23
14,1621382400000,2.6984,2.75,1.34,1.775,8534353.16
15,1621468800000,1.7616,2.4754,1.5685,2.0955,10241914.58
16,1621555200000,2.0944,2.2,1.4333,1.6851,7704804.08
17,1621641600000,1.685,1.7468,1.4245,1.5668,6363441.38
18,1621728000000,1.5673,1.647,1.205,1.417,8436563.35
19,1621814400000,1.417,1.8,1.3256,1.7209,10206210.95
20,1621900800000,1.7214,1.7936,1.47,1.6769,6973101.39
21,1621987200000,1.6779,1.98,1.62,1.9011,6654433.8
22,1622073600000,1.9005,1.9143,1.6921,1.7292,4769562.46
23,1622160000000,1.7372,1.7467,1.3829,1.4745,2536243.12
24,1622246400000,1.4822,1.5864,1.325,1.4327,1665861.01
25,1622332800000,1.4355,1.5512,1.34,1.4934,1336802.02
26,1622419200000,1.4922,1.605,1.409,1.5886,1737812.06
27,1622505600000,1.5886,1.6147,1.4717,1.5244,1472350.86
28,1622592000000,1.5247,1.6972,1.4822,1.5949,1725716.14
29,1622678400000,1.5929,1.6816,1.5579,1.6118,2009916.88
30,1622764800000,1.6114,1.6141,1.3965,1.4824,2319513.07
31,1622851200000,1.482,1.5621,1.3914,1.446,1099252.01
32,1622937600000,1.4468,1.813,1.4308,1.6356,6836010.07
33,1623024000000,1.6357,1.8,1.44,1.4556,3904880.51
34,1623110400000,1.4587,1.5091,1.3,1.4514,2920779.58
35,1623196800000,1.4514,1.5268,1.3389,1.4919,2145739.71
36,1623283200000,1.4925,1.58,1.34,1.376,2508573.92
37,1623369600000,1.3834,1.419,1.268,1.2776,1399902.29
38,1623456000000,1.2811,1.2811,1.1762,1.2367,2204337.17
39,1623542400000,1.2392,1.38,1.2011,1.3265,1446736.36
40,1623628800000,1.3265,1.3671,1.2977,1.3314,1809137.93
41,1623715200000,1.3349,1.3788,1.3028,1.3388,1413169.89
