,time,Open,High,Low,Close,Volume
0,1620172800000,2.0128,2.1456,1.9547,2.1311,5179775.61
1,1620259200000,2.1311,2.1326,1.9787,2.0207,3785588.36
2,1620345600000,2.0217,2.1064,1.8817,2.0064,4934347.73
3,1620432000000,2.0037,2.13,1.98,2.0164,5176348.59
4,1620518400000,2.0147,2.0164,1.826,1.9358,4624053.07
5,1620604800000,1.9359,1.9599,1.6345,1.73,6837781.6
6,1620691200000,1.7299,1.9565,1.6971,1.8883,7955844.14
7,1620777600000,1.8883,1.9409,1.6308,1.6316,6070279.19
8,1620864000000,1.6321,1.7065,1.5062,1.5911,6171734.4
9,1620950400000,1.5933,1.7095,1.576,1.6739,3343386.11
10,1621036800000,1.6771,1.6858,1.5414,1.5711,4116667.35
11,1621123200000,1.5696,1.6571,1.43,1.5245,4576308.23
12,1621209600000,1.5249,1.5657,1.3127,1.3573,6848371.44
13,1621296000000,1.3594,1.45,1.3339,1.3871,6564550.41
14,1621382400000,1.3863,1.4023,0.758,0.9134,12862000.65
15,1621468800000,0.9218,1.0852,0.77,1.0741,7394074.78
16,1621555200000,1.0721,1.2311,0.8601,1.0214,11388014.55
17,1621641600000,1.0219,1.0475,0.907,0.9861,6753351.95
18,1621728000000,0.9879,1.0,0.75,0.913,7027993.62
19,1621814400000,0.9179,1.43,0.9179,1.0667,23652240.8
20,1621900800000,1.0713,1.0879,0.9337,1.0191,11157730.65
21,1621987200000,1.0184,1.0802,0.9787,1.08,5432671.31
22,1622073600000,1.0767,1.2098,1.0322,1.1139,13017868.67
23,1622160000000,1.1141,1.1259,0.92,0.9636,7714375.71
24,1622246400000,0.9636,1.058,0.9154,0.9691,8540527.51
25,1622332800000,0.9701,1.0092,0.9162,0.9683,11484968.69
26,1622419200000,0.9654,1.0,0.9,0.9983,6388431.23
27,1622505600000,0.9983,1.0096,0.9453,0.9723,5069135.05
28,1622592000000,0.9738,1.0385,0.9635,1.0071,5585564.5
29,1622678400000,1.0065,1.0513,0.989,1.0492,4635696.07
30,1622764800000,1.0481,1.0894,0.9587,1.0243,7724409.51
31,1622851200000,1.0265,1.0491,0.9394,0.9693,5140878.46
32,1622937600000,0.9714,1.0329,0.961,1.0,4608051.64
33,1623024000000,1.0,1.0417,0.9116,0.9256,5005922.47
34,1623110400000,0.9267,0.937,0.8218,0.9094,6889350.3
35,1623196800000,0.9089,0.9427,0.8565,0.931,6584239.6
36,1623283200000,0.9311,0.9489,0.8826,0.9154,5252189.66
37,1623369600000,0.9161,1.0045,0.8778,0.8865,5636060.38
38,1623456000000,0.8867,0.89,0.8102,0.838,4154413.61
39,1623542400000,0.8379,0.917,0.8215,0.8959,4211976.21
40,1623628800000,0.8949,0.9062,0.8605,0.8963,5186429.42
41,1623715200000,0.8959,0.9175,0.8668,0.8896,3420223.54
42,1623801600000,0.8898,1.041,0.8885,0.9353,9455648.31
43,1623888000000,0.9329,0.9587,0.88,0.8981,2956743.8
44,1623974400000,0.8987,0.8987,0.8026,0.8284,5426861.58
45,1624060800000,0.8267,0.8401,0.8026,0.8154,2303037.81
46,1624147200000,0.8154,0.8312,0.7432,0.7973,4123777.09
47,1624233600000,0.7958,0.8001,0.5869,0.5869,11281977.99
48,1624320000000,0.5876,0.6454,0.5,0.6027,13205056.86
49,1624406400000,0.6046,0.6585,0.5772,0.6469,5593143.14
50,1624492800000,0.6469,0.7336,0.6077,0.7235,9190819.11
51,1624579200000,0.7239,0.7588,0.6351,0.6402,9357703.16
52,1624665600000,0.64,0.6657,0.5986,0.6476,6594203.52
53,1624752000000,0.6473,0.7117,0.6329,0.689,7228378.86
54,1624838400000,0.6874,0.7199,0.6641,0.7102,5893544.95
55,1624924800000,0.7109,0.7635,0.7004,0.751,3590970.1
56,1625011200000,0.7534,0.8,0.7235,0.7897,4738125.83
57,1625097600000,0.7913,0.8033,0.7308,0.7763,3688063.82
58,1625184000000,0.7749,0.8967,0.7721,0.8043,9553957.5
59,1625270400000,0.8058,0.8497,0.7767,0.8473,6416374.86
