,time,Open,High,Low,Close,Volume
0,1620172800000,2.265,2.6,2.25,2.505,4067436.173
1,1620259200000,2.502,2.55,2.249,2.286,3957786.549
2,1620345600000,2.289,2.32,2.145,2.217,3356983.105
3,1620432000000,2.216,2.59,2.146,2.459,4629004.462
4,1620518400000,2.454,2.63,2.218,2.257,5386184.677
5,1620604800000,2.257,2.3,1.834,2.003,4762926.916
6,1620691200000,2.002,2.17,1.851,2.02,3775022.804
7,1620777600000,2.022,2.08,1.632,1.648,4923493.939
8,1620864000000,1.646,1.818,1.55,1.672,4501258.066
9,1620950400000,1.672,1.92,1.626,1.825,4934903.48
10,1621036800000,1.825,1.853,1.6,1.606,3279091.873
11,1621123200000,1.609,1.787,1.475,1.59,4717210.451
12,1621209600000,1.592,1.64,1.414,1.505,5295698.752
13,1621296000000,1.509,1.608,1.41,1.435,4546259.422
14,1621382400000,1.435,1.477,0.678,0.89,11416181.158
15,1621468800000,0.89,1.066,0.754,0.978,7562753.269
16,1621555200000,0.976,1.037,0.603,0.725,8218729.053
17,1621641600000,0.727,0.824,0.633,0.659,5671363.319
18,1621728000000,0.659,0.698,0.355,0.462,9902768.7
19,1621814400000,0.461,0.95,0.429,0.802,19318832.098
20,1621900800000,0.804,0.885,0.66,0.764,17574705.295
21,1621987200000,0.764,0.997,0.717,0.949,12582255.632
22,1622073600000,0.949,0.949,0.763,0.839,10532537.968
23,1622160000000,0.84,0.865,0.631,0.689,9736100.123
24,1622246400000,0.688,0.753,0.572,0.616,8542434.456
25,1622332800000,0.617,0.739,0.557,0.691,7287688.051
26,1622419200000,0.692,0.87,0.661,0.82,14861605.454
27,1622505600000,0.822,0.85,0.745,0.768,6154451.556
28,1622592000000,0.768,0.84,0.725,0.815,6138626.971
29,1622678400000,0.815,0.889,0.782,0.822,7850773.315
30,1622764800000,0.823,0.83,0.672,0.71,7811996.29
31,1622851200000,0.71,0.762,0.65,0.697,4658327.288
32,1622937600000,0.693,0.72,0.678,0.701,2872062.521
33,1623024000000,0.701,0.739,0.593,0.605,4484802.757
34,1623110400000,0.602,0.649,0.512,0.574,8708612.834
35,1623196800000,0.572,0.639,0.529,0.617,8114786.71
36,1623283200000,0.617,0.622,0.529,0.554,6536476.95
37,1623369600000,0.553,0.85,0.543,0.684,46276050.619
38,1623456000000,0.686,0.79,0.59,0.599,43593506.684
39,1623542400000,0.599,0.636,0.573,0.623,10766749.319
40,1623628800000,0.626,0.657,0.611,0.637,7906986.763
41,1623715200000,0.636,0.653,0.597,0.62,7030956.537
42,1623801600000,0.62,0.625,0.564,0.575,5548189.455
43,1623888000000,0.575,0.61,0.551,0.569,9453091.261
44,1623974400000,0.569,0.573,0.492,0.511,6025656.613
45,1624060800000,0.511,0.537,0.485,0.493,5096962.179
46,1624147200000,0.493,0.509,0.455,0.479,7138454.692
47,1624233600000,0.48,0.484,0.361,0.364,9346982.651
48,1624320000000,0.363,0.395,0.273,0.338,11549670.689
49,1624406400000,0.338,0.404,0.323,0.366,7056847.616
