,time,Open,High,Low,Close,Volume
0,1620172800000,1.0145,1.0257,1.0137,1.0229,768532.1
1,1620259200000,1.0229,1.044,1.0202,1.0237,664702.69
2,1620345600000,1.022,1.0347,1.0208,1.0251,641487.84
3,1620432000000,1.0262,1.027,1.0166,1.0167,255891.84
4,1620518400000,1.0168,1.0291,1.0122,1.0276,546818.32
5,1620604800000,1.0274,1.0308,1.0164,1.0198,492216.22
6,1620691200000,1.0177,1.0206,1.0123,1.0197,914905.56
7,1620777600000,1.02,1.0361,1.0164,1.022,1287649.47
8,1620864000000,1.0201,1.0313,1.0123,1.015,1524242.06
9,1620950400000,1.015,1.0242,1.0123,1.019,955598.04
10,1621036800000,1.0191,1.0246,1.018,1.0212,693515.35
11,1621123200000,1.0212,1.024,1.0137,1.02,834603.03
12,1621209600000,1.02,1.0214,1.0124,1.0132,1432753.62
13,1621296000000,1.0132,1.0211,1.0086,1.0203,1194262.02
14,1621382400000,1.0189,1.0282,1.0098,1.0165,4221776.54
15,1621468800000,1.0171,1.1268,1.01,1.0127,3195947.1
16,1621555200000,1.0146,1.02,1.0,1.0169,3263696.17
17,1621641600000,1.0168,1.02,1.0006,1.0019,2083044.97
18,1621728000000,1.0019,1.0074,0.9908,0.9986,4908933.81
19,1621814400000,1.0,1.0009,0.9951,0.9964,1745786.56
20,1621900800000,0.9964,0.9988,0.9952,0.9976,793442.33
21,1621987200000,0.9977,1.0006,0.9967,0.998,484428.33
22,1622073600000,0.9989,1.0062,0.998,1.0046,408726.46
23,1622160000000,1.0046,1.0057,0.9974,0.9989,368889.93
24,1622246400000,0.9989,1.01,0.9977,1.0087,627492.79
25,1622332800000,1.0087,1.01,1.0053,1.0056,150651.16
26,1622419200000,1.0056,1.0084,0.9982,1.0035,380932.18
27,1622505600000,1.0025,1.009,0.9997,1.0076,501263.55
28,1622592000000,1.0085,1.009,1.0038,1.0053,181177.98
29,1622678400000,1.0051,1.0072,1.0025,1.0045,167762.15
30,1622764800000,1.0054,1.0066,1.0002,1.0019,346865.57
31,1622851200000,1.0005,1.0046,1.0,1.0023,167973.97
32,1622937600000,1.0031,1.009,1.0017,1.0086,198287.6
