,time,Open,High,Low,Close,Volume
0,1620172800000,2.291,3.0,2.219,2.938,2729573.16
1,1620259200000,2.948,4.055,2.789,3.804,7816348.59
2,1620345600000,3.821,4.407,3.394,3.581,5778988.27
3,1620432000000,3.591,3.927,3.449,3.752,2018927.04
4,1620518400000,3.758,3.85,3.279,3.402,3044316.64
5,1620604800000,3.394,3.946,2.017,2.597,7138991.73
6,1620691200000,2.59,3.179,2.399,3.149,3549955.63
7,1620777600000,3.149,4.499,2.549,2.816,12116204.55
8,1620864000000,2.816,3.668,2.308,2.74,8271073.84
9,1620950400000,2.735,4.52,2.705,4.311,9365699.35
10,1621036800000,4.311,4.481,3.07,3.124,6642500.94
11,1621123200000,3.124,3.634,2.739,3.242,6413582.84
12,1621209600000,3.23,3.775,2.56,3.081,8300797.31
13,1621296000000,3.087,5.386,3.036,4.932,10144741.34
14,1621382400000,4.925,5.156,0.073,0.26,313073279.81
15,1621468800000,0.261,0.379,0.217,0.312,63849196.56
16,1621555200000,0.312,0.355,0.165,0.237,36664878.7
17,1621641600000,0.236,0.241,0.157,0.186,32743857.7
18,1621728000000,0.186,0.198,0.073,0.126,225219862.22
19,1621814400000,0.127,0.212,0.124,0.203,85989148.64
20,1621900800000,0.203,0.222,0.135,0.21,71852506.1
21,1621987200000,0.21,0.249,0.189,0.243,52476237.54
22,1622073600000,0.243,0.244,0.19,0.205,28796972.01
23,1622160000000,0.205,0.213,0.149,0.163,40883419.85
24,1622246400000,0.163,0.186,0.138,0.149,38702598.71
25,1622332800000,0.149,0.176,0.136,0.169,36701436.07
26,1622419200000,0.167,0.21,0.148,0.209,39746147.64
27,1622505600000,0.208,0.213,0.179,0.197,25120429.19
28,1622592000000,0.197,0.222,0.186,0.208,22988398.49
29,1622678400000,0.208,0.239,0.2,0.23,19079520.76
30,1622764800000,0.23,0.23,0.173,0.188,26826060.34
31,1622851200000,0.188,0.209,0.166,0.18,42980044.26
32,1622937600000,0.18,0.189,0.174,0.179,19304053.57
33,1623024000000,0.179,0.187,0.146,0.148,35816252.17
34,1623110400000,0.147,0.153,0.122,0.142,56026466.22
35,1623196800000,0.142,0.154,0.13,0.153,41242867.49
36,1623283200000,0.154,0.156,0.122,0.127,19908489.34
37,1623369600000,0.127,0.13,0.102,0.108,26695392.05
38,1623456000000,0.107,0.107,0.087,0.091,54884423.1
39,1623542400000,0.092,0.112,0.089,0.108,43075905.12
40,1623628800000,0.109,0.125,0.103,0.122,31991896.56
41,1623715200000,0.122,0.13,0.114,0.118,19781614.7
42,1623801600000,0.118,0.118,0.098,0.104,28143172.84
43,1623888000000,0.103,0.118,0.097,0.103,28948625.97
44,1623974400000,0.103,0.103,0.083,0.089,41491243.11
45,1624060800000,0.09,0.093,0.082,0.083,30091989.84
46,1624147200000,0.083,0.108,0.077,0.102,126643096.09
47,1624233600000,0.102,0.105,0.054,0.055,356812882.41
48,1624320000000,0.055,0.072,0.04,0.056,666758559.09
