,time,Open,High,Low,Close,Volume
0,1620172800000,12.649,14.479,12.501,14.357,4432303.422
1,1620259200000,14.369,17.005,13.963,16.512,15807205.162
2,1620345600000,16.519,17.81,15.355,15.805,11005882.852
3,1620432000000,15.802,16.8,15.469,16.32,4909511.008
4,1620518400000,16.322,16.521,15.206,15.506,4760619.878
5,1620604800000,15.527,16.69,12.8,13.823,9450468.228
6,1620691200000,13.827,15.322,13.366,15.244,5485892.037
7,1620777600000,15.243,18.393,14.346,14.881,19746541.274
8,1620864000000,14.87,16.836,13.768,14.774,12087584.343
9,1620950400000,14.776,19.04,14.659,18.591,10277946.117
10,1621036800000,18.582,18.965,16.088,16.181,9533994.364
11,1621123200000,16.186,17.671,14.95,16.564,8088531.462
12,1621209600000,16.552,18.282,14.33,16.187,11462736.073
13,1621296000000,16.175,22.537,16.03,21.436,19429870.308
14,1621382400000,21.444,21.977,10.25,13.132,34808629.347
15,1621468800000,13.145,17.01,11.501,15.128,20133378.083
16,1621555200000,15.11,16.389,10.38,12.754,15793011.073
17,1621641600000,12.78,13.3,9.977,11.069,15317937.69
18,1621728000000,11.069,11.458,6.294,9.013,33621679.381
19,1621814400000,9.013,12.44,8.911,11.973,17910558.412
20,1621900800000,11.989,12.7,9.579,12.229,16898906.659
21,1621987200000,12.232,13.599,11.554,13.423,13461089.997
22,1622073600000,13.426,13.447,11.574,12.116,7112050.384
23,1622160000000,12.119,12.387,10.029,10.596,8504747.284
24,1622246400000,10.596,11.497,9.612,10.037,5583953.097
25,1622332800000,10.043,11.185,9.567,10.837,5997649.225
26,1622419200000,10.834,12.542,9.991,12.474,6668543.645
27,1622505600000,12.468,12.678,11.349,12.051,5002602.599
28,1622592000000,12.059,12.971,11.637,12.528,4941926.32
29,1622678400000,12.541,13.514,12.237,13.239,4035704.774
30,1622764800000,13.239,13.243,11.302,11.843,4714234.043
31,1622851200000,11.845,12.567,11.045,11.568,5143188.138
32,1622937600000,11.557,11.994,11.316,11.537,2298450.34
33,1623024000000,11.541,11.833,10.138,10.275,4073537.706
34,1623110400000,10.255,10.511,9.096,10.071,6694559.867
35,1623196800000,10.072,10.559,9.452,10.543,5652305.726
36,1623283200000,10.54,10.6,9.194,9.405,3714745.466
37,1623369600000,9.412,9.561,8.291,8.56,3500579.774
38,1623456000000,8.562,8.577,7.634,7.842,4844117.92
39,1623542400000,7.845,8.89,7.74,8.632,4224321.242
40,1623628800000,8.632,9.446,8.394,9.254,4811336.607
41,1623715200000,9.25,9.652,8.894,9.109,3756828.919
42,1623801600000,9.108,9.111,8.25,8.494,4382272.293
43,1623888000000,8.495,9.248,8.203,8.468,3415757.859
44,1623974400000,8.467,8.485,7.548,7.834,3566836.231
45,1624060800000,7.834,7.99,7.452,7.47,2542116.61
46,1624147200000,7.469,8.648,7.318,8.416,9236561.1
47,1624233600000,8.421,8.517,6.611,6.644,10990317.396
48,1624320000000,6.637,7.556,5.966,6.804,14463678.322
49,1624406400000,6.806,7.537,6.512,7.048,7028865.477
50,1624492800000,7.049,7.352,6.617,7.062,4741192.089
51,1624579200000,7.061,7.202,6.151,6.294,5349436.917
52,1624665600000,6.297,6.837,6.063,6.826,4414285.513
53,1624752000000,6.827,7.145,6.48,7.141,3552834.024
54,1624838400000,7.141,7.776,7.023,7.6,3883417.804
55,1624924800000,7.604,8.451,7.554,7.939,5358839.697
