,time,Open,High,Low,Close,Volume
0,1620172800000,8.91,9.32,6.74,7.36,904711.73
1,1620259200000,7.35,7.92,6.34,7.24,473122.12
2,1620345600000,7.31,8.01,6.35,7.04,423354.58
3,1620432000000,7.07,7.43,5.83,6.79,612982.65
4,1620518400000,6.79,7.68,5.67,5.85,447059.48
5,1620604800000,5.85,9.1,5.47,6.54,671513.1
6,1620691200000,6.57,6.9,5.06,5.1,487463.87
7,1620777600000,5.09,7.42,4.67,6.83,414295.54
8,1620864000000,6.77,8.09,5.53,6.73,520302.55
9,1620950400000,6.81,6.9,5.85,6.29,183907.89
10,1621036800000,6.31,7.75,6.03,7.5,281028.48
11,1621123200000,7.47,8.0,5.42,6.74,578466.56
12,1621209600000,6.82,8.87,5.24,5.59,980501.33
13,1621296000000,5.59,5.65,4.64,5.16,696807.83
14,1621382400000,5.13,26.49,1.31,13.47,1747040.6
15,1621468800000,13.47,16.4,5.482,6.037,1615934.54
16,1621555200000,6.036,10.749,5.297,6.486,1611765.16
17,1621641600000,6.502,7.778,5.621,7.24,1210628.77
18,1621728000000,7.218,14.0,6.502,9.002,1279123.69
19,1621814400000,8.91,9.41,3.65,3.96,1877155.48
20,1621900800000,3.96,5.162,3.43,3.461,1888781.17
21,1621987200000,3.447,3.549,2.55,2.553,2174761.56
22,1622073600000,2.577,3.627,2.532,3.11,1927916.04
23,1622160000000,3.099,4.309,2.964,3.88,2301348.63
24,1622246400000,3.88,5.01,3.41,4.4,1832495.52
25,1622332800000,4.4,5.031,3.15,3.848,1710126.03
26,1622419200000,3.849,4.3,3.091,3.15,1591253.94
27,1622505600000,3.153,3.63,3.02,3.377,1300979.4
28,1622592000000,3.36,3.524,2.71,2.91,1276421.77
29,1622678400000,2.91,3.034,2.39,2.525,1385641.6
30,1622764800000,2.525,3.375,2.525,3.03,1910527.42
31,1622851200000,3.03,3.458,2.7,3.184,1436390.37
32,1622937600000,3.188,3.28,2.681,2.75,1299754.86
33,1623024000000,2.75,3.4,2.501,3.31,1916194.77
34,1623110400000,3.33,4.235,3.113,3.305,2115002.28
35,1623196800000,3.314,3.861,2.775,2.831,1800031.13
36,1623283200000,2.828,3.578,2.781,3.36,747676.19
37,1623369600000,3.352,4.237,3.144,3.999,678766.88
38,1623456000000,4.01,4.993,3.97,4.388,875307.48
39,1623542400000,4.35,4.482,3.002,3.114,981908.2
