,time,Open,High,Low,Close,Volume
0,1620172800000,2.3398,2.74,2.2056,2.6093,4586377.09
1,1620259200000,2.6208,2.84,2.3425,2.4872,4782716.55
2,1620345600000,2.4872,2.6149,2.2258,2.4192,7654539.41
3,1620432000000,2.4205,2.62,2.3684,2.4421,2501473.79
4,1620518400000,2.4436,2.6567,2.2533,2.5966,2327554.72
5,1620604800000,2.5966,2.7192,1.7497,2.1214,4661418.22
6,1620691200000,2.1106,2.3944,2.0388,2.382,3399303.95
7,1620777600000,2.3801,2.5416,1.6547,1.7715,4709244.46
8,1620864000000,1.7672,2.0132,1.5267,1.7852,6825819.1
9,1620950400000,1.7852,1.9593,1.7556,1.8553,2705961.7
10,1621036800000,1.8661,1.9149,1.5749,1.5897,3129872.21
11,1621123200000,1.595,1.9012,1.48,1.675,4098171.61
12,1621209600000,1.675,1.7725,1.3124,1.6095,5326829.18
13,1621296000000,1.6102,1.8322,1.5519,1.6747,5165351.87
14,1621382400000,1.6834,1.7335,0.18,0.4527,57855827.09
15,1621468800000,0.4527,0.7199,0.3662,0.6666,25725108.4
16,1621555200000,0.6671,0.7184,0.3955,0.5343,17865482.71
17,1621641600000,0.535,0.5818,0.4321,0.4516,13208770.64
18,1621728000000,0.4513,0.4894,0.2194,0.3278,29707494.36
19,1621814400000,0.3278,0.5043,0.3119,0.4783,20149739.66
20,1621900800000,0.4777,0.5093,0.387,0.5081,13226210.62
21,1621987200000,0.5062,0.599,0.4999,0.5876,12924486.59
22,1622073600000,0.5876,0.6041,0.4717,0.5223,8018615.63
23,1622160000000,0.5224,0.5361,0.3913,0.4238,13546080.62
24,1622246400000,0.4218,0.46,0.3329,0.3699,14473956.1
25,1622332800000,0.3723,0.471,0.3293,0.4057,12661265.05
26,1622419200000,0.4047,0.4632,0.3683,0.455,19499940.49
27,1622505600000,0.455,0.4662,0.4069,0.4297,10771074.87
28,1622592000000,0.4302,0.5018,0.4169,0.4742,10249492.26
29,1622678400000,0.4743,0.547,0.4509,0.5254,8711837.33
30,1622764800000,0.5264,0.5265,0.3961,0.4391,11673694.49
31,1622851200000,0.4394,0.485,0.3857,0.4159,10916825.27
32,1622937600000,0.4159,0.4666,0.4096,0.4586,6508633.25
33,1623024000000,0.4577,0.4942,0.3725,0.3842,11635981.32
34,1623110400000,0.3814,0.399,0.319,0.3734,13756733.81
35,1623196800000,0.373,0.4183,0.3399,0.4137,10617530.92
36,1623283200000,0.4137,0.4165,0.3475,0.3622,3787700.41
37,1623369600000,0.3634,0.3915,0.3117,0.3231,4054050.25
38,1623456000000,0.3228,0.324,0.2754,0.3035,5614665.82
39,1623542400000,0.3032,0.3854,0.2972,0.3757,5158557.08
40,1623628800000,0.3778,0.4355,0.3623,0.432,4843187.78
41,1623715200000,0.4317,0.49,0.4103,0.4703,5152101.26
42,1623801600000,0.4707,0.56,0.4478,0.5225,7651107.83
43,1623888000000,0.5188,0.54,0.4548,0.4864,3509321.52
44,1623974400000,0.4821,0.4824,0.3757,0.4241,4921792.25
45,1624060800000,0.4214,0.5077,0.4049,0.4246,5482999.23
46,1624147200000,0.4246,0.4924,0.3825,0.4709,7123517.75
47,1624233600000,0.4728,0.4795,0.33,0.3322,11950627.88
48,1624320000000,0.3321,0.3819,0.198,0.2729,36867440.9
49,1624406400000,0.2729,0.37,0.249,0.3345,12024867.95
50,1624492800000,0.3353,0.3636,0.3008,0.3492,6688596.26
51,1624579200000,0.3494,0.36,0.2681,0.2748,10523895.66
52,1624665600000,0.2748,0.3014,0.2516,0.2872,9228771.0
53,1624752000000,0.2873,0.33,0.2788,0.328,7077201.97
54,1624838400000,0.3298,0.351,0.3136,0.338,6308685.19
55,1624924800000,0.3394,0.3966,0.3363,0.3802,17506074.91
56,1625011200000,0.3794,0.4042,0.3183,0.3819,5553534.26
57,1625097600000,0.3819,0.3819,0.3184,0.337,3495715.93
58,1625184000000,0.3333,0.345,0.2942,0.3293,3739180.12
59,1625270400000,0.3308,0.3579,0.3163,0.348,2316743.74
60,1625356800000,0.3484,0.4021,0.3355,0.3811,2694898.16
61,1625443200000,0.3812,0.3851,0.3287,0.35,3684355.83
62,1625529600000,0.35,0.4245,0.35,0.4116,3868237.06
63,1625616000000,0.4105,0.459,0.3968,0.4109,2838899.32
64,1625702400000,0.41,0.4139,0.3272,0.34,4157255.29
65,1625788800000,0.339,0.3695,0.3015,0.3461,3454245.23
66,1625875200000,0.3464,0.36,0.318,0.3316,2183573.47
67,1625961600000,0.3322,0.3494,0.3176,0.3453,1585927.94
68,1626048000000,0.3452,0.3545,0.3103,0.3275,2177464.01
69,1626134400000,0.3271,0.3293,0.2837,0.2989,2568975.7
70,1626220800000,0.2985,0.3034,0.2578,0.2945,3096764.95
71,1626307200000,0.2964,0.3039,0.25,0.2583,3579954.6
72,1626393600000,0.2584,0.2727,0.225,0.2327,3516919.59
73,1626480000000,0.2324,0.2517,0.222,0.2377,2674690.9
74,1626566400000,0.2381,0.2601,0.2376,0.2516,2211701.42
75,1626652800000,0.2507,0.253,0.1935,0.1963,4629748.88
76,1626739200000,0.1967,0.2027,0.1471,0.1552,8876059.84
77,1626825600000,0.1553,0.1938,0.1392,0.1793,6623208.44
78,1626912000000,0.1794,0.1893,0.1703,0.1856,5221558.88
79,1626998400000,0.1857,0.197,0.1702,0.1951,4908092.53
80,1627084800000,0.1952,0.21776,0.1907,0.20561,4455579.69
81,1627171200000,0.20459,0.2113,0.186,0.20811,3258716.36
82,1627257600000,0.2078,0.26379,0.20485,0.21657,8133741.57
83,1627344000000,0.21657,0.245,0.20478,0.2422,3831760.34
84,1627430400000,0.24221,0.2677,0.2302,0.25613,3841390.85
85,1627516800000,0.2569,0.32329,0.24567,0.30765,4887760.63
86,1627603200000,0.30916,0.32999,0.27042,0.3277,4048757.42
87,1627689600000,0.3283,0.37412,0.30961,0.35717,3538184.44
88,1627776000000,0.35703,0.40101,0.32599,0.34078,4394103.24
89,1627862400000,0.34009,0.4784,0.33855,0.3818,10974320.03
90,1627948800000,0.38102,0.38717,0.33254,0.36074,3036316.86
91,1628035200000,0.36007,0.41238,0.34751,0.39981,2315988.36
92,1628121600000,0.40042,0.43104,0.38054,0.41819,2227516.64
93,1628208000000,0.418,0.53,0.40332,0.50499,3641083.88
94,1628294400000,0.5018,0.55999,0.47809,0.5151,3843042.63
95,1628380800000,0.5143,0.53304,0.4224,0.44751,3573648.71
96,1628467200000,0.4479,0.7297,0.42633,0.67795,7116939.01
97,1628553600000,0.68162,0.75999,0.626,0.7202,3119601.54
98,1628640000000,0.7216,0.90741,0.71316,0.80805,2586144.0
99,1628726400000,0.8067,0.87375,0.72576,0.75029,1306864.47
