,time,Open,High,Low,Close,Volume
0,1620172800000,4.709,5.2,4.56,5.046,65969846.295
1,1620259200000,5.047,5.3,4.7,4.896,59297290.822
2,1620345600000,4.895,5.099,4.581,4.816,46722474.263
3,1620432000000,4.816,5.095,4.738,4.84,36698446.675
4,1620518400000,4.841,5.183,4.6,5.077,41321591.434
5,1620604800000,5.077,5.258,4.01,4.415,61675347.609
6,1620691200000,4.413,4.8,4.305,4.776,41844714.449
7,1620777600000,4.774,4.998,3.78,3.962,53464248.357
8,1620864000000,3.937,4.291,3.577,3.963,68281545.889
9,1620950400000,3.957,4.228,3.903,4.069,35207707.058
10,1621036800000,4.068,4.155,3.653,3.688,40175304.711
11,1621123200000,3.69,4.13,3.51,3.804,45159361.217
12,1621209600000,3.807,3.94,3.264,3.699,63355309.281
13,1621296000000,3.7,4.08,3.625,3.821,51891519.32
14,1621382400000,3.822,3.888,1.727,1.968,173676308.793
15,1621468800000,1.968,2.779,1.754,2.589,121069733.834
16,1621555200000,2.588,2.74,1.853,2.228,97325496.757
17,1621641600000,2.23,2.355,1.949,2.016,69168154.239
18,1621728000000,2.016,2.115,1.34,1.684,95524668.219
19,1621814400000,1.684,2.211,1.63,2.141,82451520.71
20,1621900800000,2.142,2.227,1.886,2.221,59164028.961
21,1621987200000,2.22,2.46,2.202,2.446,64705723.943
22,1622073600000,2.446,2.494,2.131,2.269,47155859.49
23,1622160000000,2.272,2.308,1.912,2.004,58775897.38
24,1622246400000,2.005,2.111,1.754,1.865,44617691.316
25,1622332800000,1.867,2.162,1.74,1.961,46603200.352
26,1622419200000,1.962,2.14,1.851,2.115,45288064.641
27,1622505600000,2.116,2.154,1.971,2.042,37504550.888
28,1622592000000,2.041,2.266,2.003,2.178,40713081.906
29,1622678400000,2.179,2.397,2.112,2.329,36471186.599
30,1622764800000,2.329,2.334,1.946,2.083,50108737.782
31,1622851200000,2.083,2.211,1.924,2.017,37622753.348
32,1622937600000,2.017,2.169,1.994,2.139,28587240.123
33,1623024000000,2.139,2.249,1.892,1.923,40468535.178
34,1623110400000,1.922,1.971,1.721,1.897,47665909.292
35,1623196800000,1.898,2.047,1.789,2.022,43961426.977
36,1623283200000,2.022,2.036,1.819,1.869,35091382.887
37,1623369600000,1.869,1.91,1.711,1.749,26155128.456
38,1623456000000,1.75,1.754,1.603,1.692,32281616.665
39,1623542400000,1.692,1.946,1.67,1.913,30946422.538
40,1623628800000,1.914,2.081,1.874,2.078,35617721.36
41,1623715200000,2.079,2.232,2.014,2.183,40096476.834
42,1623801600000,2.182,2.428,2.116,2.325,65497288.909
43,1623888000000,2.324,2.373,2.139,2.23,33400988.258
44,1623974400000,2.23,2.231,1.931,2.064,35862124.007
45,1624060800000,2.064,2.285,2.014,2.065,37265381.524
46,1624147200000,2.065,2.258,1.954,2.196,40729060.126
47,1624233600000,2.197,2.224,1.82,1.828,73456819.465
48,1624320000000,1.828,1.952,1.45,1.686,86294043.073
49,1624406400000,1.685,1.982,1.612,1.873,53565941.787
50,1624492800000,1.873,1.956,1.775,1.913,32446961.703
51,1624579200000,1.914,1.944,1.685,1.703,38609441.971
52,1624665600000,1.703,1.786,1.636,1.742,28751994.48
53,1624752000000,1.743,1.869,1.718,1.867,26758947.675
54,1624838400000,1.867,1.932,1.819,1.893,20433947.344
55,1624924800000,1.895,2.065,1.887,2.021,28139157.946
56,1625011200000,2.022,2.085,1.854,2.025,28924182.147
57,1625097600000,2.026,2.028,1.857,1.899,19674287.768
58,1625184000000,1.901,1.935,1.794,1.887,17627466.697
59,1625270400000,1.887,1.963,1.853,1.938,11804000.222
60,1625356800000,1.938,2.075,1.903,2.022,14934952.199
61,1625443200000,2.021,2.035,1.892,1.948,18649206.324
62,1625529600000,1.948,2.129,1.947,2.095,26943431.205
63,1625616000000,2.095,2.21,2.06,2.098,23957660.104
64,1625702400000,2.098,2.108,1.901,1.931,21764042.671
65,1625788800000,1.933,2.006,1.837,1.949,16156076.649
66,1625875200000,1.948,1.987,1.878,1.914,11601894.296
67,1625961600000,1.914,1.961,1.879,1.952,7465630.661
68,1626048000000,1.952,1.974,1.861,1.904,10062226.651
69,1626134400000,1.904,1.911,1.791,1.832,12022935.556
70,1626220800000,1.833,1.848,1.725,1.831,11915816.026
71,1626307200000,1.829,1.85,1.704,1.731,15800497.823
72,1626393600000,1.732,1.77,1.635,1.656,13327705.947
73,1626480000000,1.656,1.713,1.627,1.677,10326005.645
74,1626566400000,1.677,1.74,1.672,1.709,7481261.817
75,1626652800000,1.709,1.717,1.543,1.554,17583591.051
76,1626739200000,1.554,1.575,1.398,1.43,26733824.039
77,1626825600000,1.43,1.586,1.368,1.529,25914904.542
78,1626912000000,1.529,1.568,1.493,1.552,20713719.584
79,1626998400000,1.552,1.597,1.493,1.59,20251835.379
80,1627084800000,1.59,1.677,1.57,1.63,19404317.98
81,1627171200000,1.63,1.65,1.555,1.64,12836293.781
82,1627257600000,1.641,1.845,1.626,1.675,35961520.417
83,1627344000000,1.675,1.778,1.63,1.764,22559422.07
84,1627430400000,1.764,1.861,1.724,1.817,25494902.229
85,1627516800000,1.817,2.045,1.778,1.995,30017276.237
86,1627603200000,1.995,2.064,1.868,2.056,20296856.542
87,1627689600000,2.056,2.207,1.997,2.154,20050420.388
88,1627776000000,2.154,2.287,2.065,2.099,19132846.698
89,1627862400000,2.1,2.519,2.1,2.229,38577635.785
90,1627948800000,2.229,2.248,2.09,2.17,15642891.914
91,1628035200000,2.17,2.325,2.134,2.286,12961549.309
92,1628121600000,2.286,2.38,2.234,2.341,17994714.211
93,1628208000000,2.341,2.637,2.3,2.581,24013658.506
94,1628294400000,2.582,2.693,2.525,2.615,23860364.284
95,1628380800000,2.617,2.662,2.414,2.472,18578873.699
96,1628467200000,2.471,3.07,2.426,2.971,40892362.977
97,1628553600000,2.969,3.131,2.868,3.058,24058211.024
98,1628640000000,3.059,3.422,3.037,3.222,22136597.961
99,1628726400000,3.222,3.355,3.077,3.119,10672656.183
