,time,Open,High,Low,Close,Volume
0,1620172800000,0.32824,0.424,0.32349,0.38419,184220008.5
1,1620259200000,0.38406,0.4038,0.36904,0.38257,125037307.0
2,1620345600000,0.38258,0.42001,0.37808,0.40605,131701497.2
3,1620432000000,0.40608,0.419,0.388,0.40215,76717333.3
4,1620518400000,0.40215,0.41432,0.37034,0.3874,57577609.9
5,1620604800000,0.38742,0.393,0.32007,0.34681,101470963.1
6,1620691200000,0.34684,0.37108,0.32416,0.36499,55248511.4
7,1620777600000,0.36457,0.37646,0.25186,0.28697,74330205.9
8,1620864000000,0.287,0.35992,0.275,0.33436,96710728.7
9,1620950400000,0.33418,0.3494,0.32277,0.34021,47961478.1
10,1621036800000,0.34019,0.34154,0.31053,0.31496,39149641.4
11,1621123200000,0.31555,0.3771,0.3,0.344,79733533.5
12,1621209600000,0.34405,0.35508,0.29838,0.33172,101931132.0
13,1621296000000,0.33172,0.345,0.31,0.33024,50979975.7
14,1621382400000,0.33024,0.33707,0.145,0.23274,181507166.5
15,1621468800000,0.23273,0.32126,0.20317,0.28624,123579281.3
16,1621555200000,0.28757,0.30297,0.20922,0.25489,92370256.7
17,1621641600000,0.25499,0.30875,0.23084,0.27369,138705532.5
18,1621728000000,0.27383,0.29898,0.20877,0.25157,122755018.9
19,1621814400000,0.25153,0.27944,0.23449,0.27944,102540085.0
20,1621900800000,0.27818,0.29,0.25,0.27915,69292824.0
21,1621987200000,0.27923,0.30799,0.27357,0.30654,77796644.8
22,1622073600000,0.30748,0.321,0.2822,0.31268,69956681.1
23,1622160000000,0.31277,0.368,0.29011,0.29327,234481447.9
24,1622246400000,0.29366,0.3384,0.27186,0.28627,96463043.0
25,1622332800000,0.28687,0.323,0.26348,0.30461,66984412.7
26,1622419200000,0.30461,0.341,0.28756,0.34008,64925262.1
27,1622505600000,0.34008,0.36826,0.331,0.36487,99405610.3
28,1622592000000,0.36369,0.36796,0.34476,0.36738,66608720.2
29,1622678400000,0.36753,0.438,0.35641,0.43258,147821123.7
30,1622764800000,0.4327,0.45898,0.3505,0.43143,304698519.0
31,1622851200000,0.43129,0.497,0.42611,0.44424,361563112.5
32,1622937600000,0.44424,0.47168,0.41772,0.4597,178253176.2
33,1623024000000,0.45909,0.56497,0.4479,0.4784,335396803.6
34,1623110400000,0.47778,0.60811,0.47183,0.5775,733623224.9
35,1623196800000,0.57788,0.67999,0.55718,0.57565,552368489.5
36,1623283200000,0.57541,0.634,0.51876,0.53091,324621831.7
37,1623369600000,0.53127,0.53888,0.46198,0.48342,314823701.1
38,1623456000000,0.48256,0.51517,0.40606,0.42363,304161299.8
39,1623542400000,0.42371,0.5795,0.41738,0.57385,484746528.3
40,1623628800000,0.57416,0.59999,0.51462,0.55019,276281309.4
41,1623715200000,0.55026,0.55568,0.4744,0.49849,202557061.0
42,1623801600000,0.49844,0.52,0.47119,0.504,147939704.4
43,1623888000000,0.504,0.578,0.48864,0.56207,290692511.1
44,1623974400000,0.56211,0.638,0.5548,0.5792,364892548.4
45,1624060800000,0.5798,0.6232,0.574,0.5873,232714075.3
46,1624147200000,0.5873,0.60307,0.52896,0.58881,247428816.5
47,1624233600000,0.58866,0.61,0.44112,0.45868,350148546.8
48,1624320000000,0.459,0.50532,0.35,0.45324,483490764.6
49,1624406400000,0.45369,0.48879,0.4211,0.47999,250939604.8
50,1624492800000,0.47852,0.49917,0.44308,0.48658,144130842.8
51,1624579200000,0.48657,0.48851,0.41386,0.42552,169478228.3
52,1624665600000,0.42518,0.43,0.38554,0.42354,139411779.7
53,1624752000000,0.42417,0.43192,0.39843,0.43151,125989080.4
54,1624838400000,0.4317,0.43998,0.40786,0.429,140479058.6
55,1624924800000,0.429,0.44991,0.41745,0.42802,148351105.1
56,1625011200000,0.42807,0.4296,0.38463,0.41198,160052534.7
57,1625097600000,0.41199,0.41257,0.36938,0.37767,122643587.4
58,1625184000000,0.37776,0.38372,0.34547,0.36884,103917462.8
59,1625270400000,0.36884,0.38427,0.35476,0.3772,76997456.5
60,1625356800000,0.37721,0.39,0.362,0.37538,74225184.6
61,1625443200000,0.37536,0.37536,0.34629,0.35303,90469520.6
62,1625529600000,0.3531,0.3625,0.33854,0.35359,144580001.5
63,1625616000000,0.3539,0.3684,0.34438,0.35301,65775399.4
64,1625702400000,0.35331,0.40494,0.33622,0.38178,197909997.0
65,1625788800000,0.38187,0.3831,0.33941,0.35844,88925874.2
66,1625875200000,0.35844,0.35919,0.3279,0.34214,54306682.1
67,1625961600000,0.34227,0.3516,0.32832,0.34683,75586841.4
68,1626048000000,0.34686,0.34709,0.31973,0.33194,38662675.9
69,1626134400000,0.33153,0.3321,0.30144,0.31135,80679556.1
70,1626220800000,0.31131,0.31179,0.27656,0.30023,78353276.5
71,1626307200000,0.30013,0.30043,0.2721,0.28951,95643739.1
72,1626393600000,0.28957,0.29242,0.25917,0.26293,88179715.6
73,1626480000000,0.263,0.288,0.25862,0.27528,55373523.3
74,1626566400000,0.27528,0.30543,0.2706,0.29584,75426040.0
75,1626652800000,0.29541,0.29541,0.25566,0.26095,58350414.3
76,1626739200000,0.26101,0.26409,0.2172,0.23041,225676285.4
77,1626825600000,0.23025,0.29135,0.22608,0.27142,88677838.6
78,1626912000000,0.27142,0.28602,0.26345,0.2813,54238889.1
79,1626998400000,0.28128,0.29025,0.26761,0.28544,64449934.0
80,1627084800000,0.2856,0.34299,0.27842,0.32065,124854382.7
81,1627171200000,0.32075,0.38325,0.31705,0.35555,162785433.3
82,1627257600000,0.3555,0.39399,0.33206,0.33305,120970373.2
83,1627344000000,0.3326,0.34248,0.30914,0.34149,84923131.6
84,1627430400000,0.34159,0.34184,0.31782,0.32909,72729351.3
85,1627516800000,0.32909,0.34503,0.31777,0.33316,105143155.4
86,1627603200000,0.33291,0.33582,0.31764,0.33288,49817897.1
87,1627689600000,0.33316,0.33366,0.3222,0.3292,35904516.2
88,1627776000000,0.32901,0.33531,0.309,0.31032,81313798.5
89,1627862400000,0.31029,0.32272,0.3,0.30342,46910606.5
90,1627948800000,0.30339,0.30785,0.2777,0.29418,69898975.0
91,1628035200000,0.2942,0.30666,0.28308,0.30479,37637542.1
92,1628121600000,0.30481,0.32678,0.29293,0.32597,69268707.8
93,1628208000000,0.32597,0.32705,0.30628,0.3149,68976448.7
94,1628294400000,0.31532,0.33191,0.29734,0.31047,87667819.8
95,1628380800000,0.31067,0.31268,0.28001,0.28578,67356210.6
96,1628467200000,0.28594,0.30948,0.28001,0.30498,56939467.2
97,1628553600000,0.30526,0.31,0.29515,0.3081,54691165.0
98,1628640000000,0.30825,0.35564,0.30538,0.34113,132770028.7
99,1628726400000,0.34104,0.35434,0.32182,0.32596,48468181.1
