,time,Open,High,Low,Close,Volume
0,1620172800000,10.21,11.1,10.031,10.992,14923527.923
1,1620259200000,10.986,11.386,10.512,10.868,13103001.78
2,1620345600000,10.868,12.668,10.788,11.507,22850182.453
3,1620432000000,11.506,13.2,11.382,12.297,21036976.647
4,1620518400000,12.298,13.18,11.4,11.956,16116713.649
5,1620604800000,11.956,12.19,9.5,10.491,19212796.563
6,1620691200000,10.49,10.958,10.042,10.842,15894825.074
7,1620777600000,10.843,11.319,8.705,9.16,19585300.768
8,1620864000000,9.16,10.144,8.304,9.78,24861022.129
9,1620950400000,9.78,10.468,9.702,10.005,13208641.589
10,1621036800000,10.004,10.113,9.26,9.338,10696004.444
11,1621123200000,9.337,10.483,8.779,9.433,14946675.245
12,1621209600000,9.431,10.585,8.475,9.688,23620242.991
13,1621296000000,9.685,10.292,9.429,9.775,12668434.628
14,1621382400000,9.779,9.892,3.85,5.844,53454519.001
15,1621468800000,5.837,8.16,5.0,7.287,37461759.488
16,1621555200000,7.286,7.759,5.431,6.362,30961982.997
17,1621641600000,6.364,7.275,5.581,6.884,29025022.916
18,1621728000000,6.881,7.3,4.57,5.902,46836888.045
19,1621814400000,5.917,6.773,5.687,6.756,25108494.223
20,1621900800000,6.756,7.285,5.912,6.896,23469575.67
21,1621987200000,6.895,8.0,6.656,7.647,24435179.835
22,1622073600000,7.65,8.098,6.854,7.879,18006716.183
23,1622160000000,7.881,8.5,6.467,6.557,38414633.711
24,1622246400000,6.558,6.993,5.927,6.342,18518091.568
25,1622332800000,6.343,6.838,5.909,6.512,15235538.228
26,1622419200000,6.512,7.136,6.042,7.106,15377675.54
27,1622505600000,7.104,7.937,6.983,7.504,24729131.634
28,1622592000000,7.506,8.173,7.504,7.944,13986986.098
29,1622678400000,7.947,9.689,7.862,9.573,20291267.737
30,1622764800000,9.573,10.477,8.017,8.841,43518133.163
31,1622851200000,8.845,9.995,8.642,8.95,30036707.179
32,1622937600000,8.951,9.293,8.53,8.844,13239588.449
