,time,Open,High,Low,Close,Volume
0,1620172800000,3.6224,4.3655,3.579,3.9968,27839969.2
1,1620259200000,3.9923,4.1649,3.6,3.6651,21472476.13
2,1620345600000,3.6639,3.85,3.38,3.5182,16620660.89
3,1620432000000,3.5185,4.14,3.4509,3.7426,19745149.39
4,1620518400000,3.7426,3.75,3.39,3.5328,12139795.15
5,1620604800000,3.5328,3.88,3.1,3.2495,17974822.82
6,1620691200000,3.2558,3.8492,3.11,3.7067,21463032.44
7,1620777600000,3.7002,3.79,3.075,3.0769,14540985.49
8,1620864000000,3.0883,3.3232,2.81,2.9649,15456739.21
9,1620950400000,2.9649,3.3114,2.9124,3.0977,10539306.49
10,1621036800000,3.098,3.1568,2.8109,2.8324,9402868.08
11,1621123200000,2.8279,3.229,2.8,2.9481,11138416.69
12,1621209600000,2.9499,3.1301,2.5,2.708,12086310.76
13,1621296000000,2.7052,3.1766,2.6808,2.9559,17123935.71
14,1621382400000,2.9585,3.0362,1.49,1.8809,20230063.69
15,1621468800000,1.8867,2.29,1.6667,2.0935,14507062.09
16,1621555200000,2.0915,2.25,1.5057,1.7512,12289805.05
17,1621641600000,1.7513,1.7952,1.4775,1.5052,8361772.34
18,1621728000000,1.5052,1.55,1.002,1.2806,16121661.07
19,1621814400000,1.2802,1.7,1.1986,1.6889,12028165.96
20,1621900800000,1.689,1.86,1.379,1.6235,10175798.57
21,1621987200000,1.6231,1.926,1.5721,1.9113,8206248.16
22,1622073600000,1.9141,1.95,1.6668,1.8153,8335430.1
23,1622160000000,1.8201,1.8306,1.4692,1.5854,7551063.68
24,1622246400000,1.5841,1.6294,1.3678,1.4567,4702018.32
25,1622332800000,1.4561,1.6146,1.3769,1.5337,4082733.87
26,1622419200000,1.5302,1.6741,1.4361,1.6612,5359868.12
27,1622505600000,1.6602,2.2493,1.6372,2.0284,41794216.79
28,1622592000000,2.0282,2.5311,1.9209,2.4099,28196835.31
29,1622678400000,2.4099,2.879,2.36,2.6811,21983657.12
30,1622764800000,2.6806,2.6838,2.1267,2.3031,18006698.44
31,1622851200000,2.3033,2.7459,2.2712,2.3975,17647352.74
32,1622937600000,2.3935,2.5101,2.3,2.3897,7230576.03
33,1623024000000,2.3895,2.5282,2.1,2.1472,7710470.09
34,1623110400000,2.1484,2.25,1.7866,2.0453,14037641.29
35,1623196800000,2.0453,2.2822,1.8717,2.2732,12318339.7
36,1623283200000,2.2732,2.28,1.95,1.9918,8547723.64
37,1623369600000,1.9878,2.1892,1.9,1.946,8208820.32
38,1623456000000,1.9469,1.9629,1.79,1.9067,4666516.64
39,1623542400000,1.9057,2.1,1.837,2.0682,4572729.73
40,1623628800000,2.0682,2.0989,1.9504,2.0233,5745229.11
41,1623715200000,2.0254,2.07,1.946,1.9732,4642399.56
42,1623801600000,1.9726,1.9775,1.8151,1.8363,4614969.31
43,1623888000000,1.8369,1.9277,1.798,1.8312,3243240.3
44,1623974400000,1.8307,1.8345,1.6733,1.73,3424664.66
45,1624060800000,1.7337,1.7548,1.6441,1.6955,3411198.36
46,1624147200000,1.6959,1.761,1.5897,1.7025,5105792.17
47,1624233600000,1.7034,1.7236,1.3002,1.3089,7613133.44
48,1624320000000,1.3069,1.451,1.1517,1.3144,9240974.55
49,1624406400000,1.3187,1.5732,1.2721,1.4675,6808436.02
50,1624492800000,1.468,1.4912,1.3511,1.4553,4364792.78
51,1624579200000,1.4565,1.5,1.3206,1.3517,3662433.67
52,1624665600000,1.3501,1.3911,1.262,1.3322,3219266.18
53,1624752000000,1.3322,1.3826,1.302,1.3794,2839907.41
54,1624838400000,1.3808,1.452,1.3513,1.4176,3797190.44
55,1624924800000,1.4193,1.5001,1.4,1.4404,3446256.05
56,1625011200000,1.4383,1.4558,1.27,1.3933,3814780.96
57,1625097600000,1.3915,1.3918,1.3,1.3283,2275990.85
58,1625184000000,1.3271,1.3378,1.2858,1.3204,1485270.18
59,1625270400000,1.3213,1.413,1.3061,1.3939,2203953.12
60,1625356800000,1.3941,1.4689,1.36,1.4217,2955021.28
61,1625443200000,1.4217,1.4243,1.335,1.3592,2495264.82
62,1625529600000,1.357,1.485,1.34,1.4185,3836402.05
63,1625616000000,1.4184,1.5859,1.4092,1.4617,6622226.09
64,1625702400000,1.4595,1.4603,1.3247,1.3425,4072722.45
65,1625788800000,1.3393,1.41,1.3,1.3982,2114678.95
66,1625875200000,1.3982,1.427,1.3368,1.3574,1759456.73
67,1625961600000,1.3586,1.41,1.3465,1.403,1908426.98
68,1626048000000,1.4041,1.4555,1.3297,1.3637,3103830.68
69,1626134400000,1.364,1.375,1.329,1.366,2123647.18
70,1626220800000,1.3674,1.7595,1.2825,1.6281,13850083.82
71,1626307200000,1.628,1.89,1.458,1.4917,26762466.94
72,1626393600000,1.4931,1.866,1.4193,1.7117,27122473.19
73,1626480000000,1.7117,1.7594,1.5084,1.587,14798477.8
74,1626566400000,1.5867,1.6473,1.4642,1.5241,7585221.37
75,1626652800000,1.5256,1.537,1.2944,1.3197,10318376.92
76,1626739200000,1.323,1.3541,1.2,1.2842,6770322.06
77,1626825600000,1.2841,1.4298,1.2525,1.3821,6552850.12
78,1626912000000,1.3826,1.4354,1.353,1.39,5009000.73
79,1626998400000,1.3923,1.6,1.3824,1.599,11347933.44
80,1627084800000,1.598,1.7296,1.5106,1.6351,19392551.6
81,1627171200000,1.634,1.7,1.485,1.624,10996908.7
82,1627257600000,1.6237,1.7198,1.55,1.577,14022206.72
83,1627344000000,1.575,1.6,1.4896,1.5581,7145868.54
84,1627430400000,1.5545,1.5858,1.509,1.535,5669975.31
85,1627516800000,1.5333,1.55,1.51,1.5359,3510130.07
86,1627603200000,1.5361,1.589,1.4888,1.56,5073642.32
87,1627689600000,1.56,1.5888,1.5284,1.564,4609161.37
88,1627776000000,1.5656,1.6996,1.5352,1.572,5898445.84
89,1627862400000,1.5729,1.62,1.53,1.5668,2950907.09
90,1627948800000,1.566,1.5764,1.5004,1.5259,2940125.94
91,1628035200000,1.5261,1.5896,1.492,1.5842,3079613.2
92,1628121600000,1.5861,1.68,1.5137,1.6435,6130587.42
93,1628208000000,1.6446,1.9579,1.6113,1.7675,22093374.1
94,1628294400000,1.7666,1.9976,1.7401,1.9849,16040470.11
95,1628380800000,1.9849,1.9854,1.75,1.799,7576411.46
96,1628467200000,1.7989,1.8999,1.7515,1.8468,4703844.37
97,1628553600000,1.848,1.8774,1.792,1.853,6029391.73
98,1628640000000,1.8526,2.06,1.8502,1.9054,10930697.8
99,1628726400000,1.9048,1.9809,1.7982,1.8133,4831749.41
