,time,Open,High,Low,Close,Volume
0,1620172800000,0.5893,0.7259,0.5853,0.6197,298742347.94
1,1620259200000,0.6195,0.6949,0.582,0.605,256256463.32
2,1620345600000,0.605,0.6519,0.4936,0.5272,214011497.85
3,1620432000000,0.5272,0.58,0.4959,0.5172,177976563.38
4,1620518400000,0.517,0.648,0.46,0.6238,432481107.88
5,1620604800000,0.6243,0.69,0.471,0.5004,379372276.67
6,1620691200000,0.5003,0.5426,0.475,0.5195,178962498.96
7,1620777600000,0.518,0.566,0.3724,0.3828,226727466.86
8,1620864000000,0.3847,0.4406,0.3377,0.3746,185329837.02
9,1620950400000,0.3746,0.4348,0.3687,0.4056,149210886.0
10,1621036800000,0.4053,0.413,0.3427,0.3508,116149633.27
11,1621123200000,0.3506,0.4089,0.326,0.3643,149071924.38
12,1621209600000,0.3646,0.419,0.3077,0.3539,214853412.66
13,1621296000000,0.3538,0.39,0.3334,0.3447,141373548.43
14,1621382400000,0.3448,0.3541,0.1842,0.2125,225508644.77
15,1621468800000,0.2129,0.275,0.192,0.2442,157860229.43
16,1621555200000,0.2436,0.2642,0.1693,0.2021,152937583.24
17,1621641600000,0.2022,0.2117,0.17,0.1829,116030455.28
18,1621728000000,0.1828,0.187,0.1121,0.1382,159257456.87
19,1621814400000,0.1381,0.1786,0.1357,0.1724,165920382.86
20,1621900800000,0.1724,0.185,0.1462,0.1782,181402388.44
21,1621987200000,0.1785,0.2745,0.1692,0.2541,344064050.2
22,1622073600000,0.2541,0.272,0.2081,0.2362,224017583.8
23,1622160000000,0.2365,0.2448,0.1888,0.2051,203312643.44
24,1622246400000,0.205,0.223,0.17,0.1835,130695474.23
25,1622332800000,0.1832,0.2063,0.167,0.1896,121641482.1
26,1622419200000,0.1898,0.2076,0.1752,0.2066,105776695.81
27,1622505600000,0.2066,0.2149,0.1866,0.1926,94858334.04
28,1622592000000,0.1927,0.2086,0.1865,0.1974,98407539.96
29,1622678400000,0.1973,0.2173,0.1921,0.2111,113102916.45
30,1622764800000,0.2112,0.2134,0.1722,0.1809,113831100.82
31,1622851200000,0.1809,0.195,0.1666,0.1718,87103225.7
32,1622937600000,0.1718,0.1796,0.1682,0.1751,58091649.57
