,time,Open,High,Low,Close,Volume
0,1620172800000,2.6802,3.0431,2.6539,2.8945,7489546.24
1,1620259200000,2.898,2.9596,2.71,2.8374,5414348.19
2,1620345600000,2.8374,3.08,2.7101,2.8377,7513381.42
3,1620432000000,2.8353,2.9243,2.7372,2.7762,3666533.63
4,1620518400000,2.7822,2.8023,2.5932,2.7196,3723949.01
5,1620604800000,2.7182,2.8249,2.2687,2.442,4267140.71
6,1620691200000,2.4408,2.5878,2.3628,2.5502,4019847.04
7,1620777600000,2.5517,2.6248,2.1,2.1537,4638806.68
8,1620864000000,2.1365,2.3188,2.0203,2.1437,5677170.48
9,1620950400000,2.1404,2.2521,2.0817,2.1962,3573167.12
10,1621036800000,2.2001,2.2229,1.9527,1.969,4229694.77
11,1621123200000,1.9641,2.1553,1.8334,1.9704,5061417.64
12,1621209600000,1.9721,1.9795,1.7399,1.8367,5213606.67
13,1621296000000,1.8405,1.9559,1.8022,1.9209,3417761.35
14,1621382400000,1.9188,1.959,0.9465,1.26,11409184.4
15,1621468800000,1.26,1.6348,1.1632,1.5697,8990000.71
16,1621555200000,1.5696,1.6195,1.202,1.3745,6400593.26
17,1621641600000,1.3715,1.5702,1.23,1.4241,7362119.29
18,1621728000000,1.429,1.4937,1.0036,1.2847,9109906.78
19,1621814400000,1.2847,1.65,1.2446,1.6227,11560513.57
20,1621900800000,1.6229,1.67,1.3857,1.5414,5362305.09
21,1621987200000,1.5394,1.614,1.4539,1.6023,5419348.85
22,1622073600000,1.5994,1.6365,1.4354,1.4931,4562431.49
23,1622160000000,1.4931,1.51,1.2567,1.3224,5612100.88
24,1622246400000,1.3247,1.437,1.2203,1.4086,4582478.81
25,1622332800000,1.4076,1.4932,1.3259,1.4492,4080813.82
26,1622419200000,1.4484,1.5344,1.3414,1.5135,3939393.54
27,1622505600000,1.51,1.743,1.433,1.7117,8814848.07
28,1622592000000,1.7117,1.7533,1.621,1.6858,5882889.69
29,1622678400000,1.6876,1.8277,1.6255,1.7886,4610558.89
30,1622764800000,1.7891,1.8171,1.5438,1.6846,3562214.58
31,1622851200000,1.685,1.7999,1.55,1.6142,4141134.37
32,1622937600000,1.6138,1.6657,1.5907,1.6586,1680737.54
33,1623024000000,1.6582,1.7268,1.5,1.5189,2774506.48
34,1623110400000,1.5189,1.5475,1.3214,1.47,4778341.55
35,1623196800000,1.468,1.5964,1.3671,1.595,3218433.09
36,1623283200000,1.5965,1.5991,1.465,1.4934,1976165.68
37,1623369600000,1.4957,1.5546,1.4215,1.4604,2519175.84
38,1623456000000,1.4656,1.5142,1.3382,1.4363,2625482.07
39,1623542400000,1.4378,1.5499,1.4137,1.5264,2933082.92
40,1623628800000,1.525,1.632,1.502,1.6176,2520472.85
41,1623715200000,1.619,1.8987,1.598,1.8156,6436745.73
42,1623801600000,1.8164,1.9391,1.7842,1.8307,6309146.32
43,1623888000000,1.8327,1.985,1.8056,1.9307,3641727.41
44,1623974400000,1.9308,1.977,1.733,1.8287,11342456.83
45,1624060800000,1.8295,1.8935,1.7326,1.7401,2414135.62
46,1624147200000,1.7391,1.7908,1.611,1.7834,2778752.0
47,1624233600000,1.7825,1.8175,1.465,1.4792,6017808.27
48,1624320000000,1.4768,1.5794,1.24,1.4452,5529138.79
49,1624406400000,1.4404,1.6207,1.3836,1.572,2892949.1
50,1624492800000,1.5724,1.59,1.4309,1.4522,4096412.23
51,1624579200000,1.4513,1.4699,1.3056,1.35,2937529.94
52,1624665600000,1.3475,1.4,1.2567,1.3333,3324971.5
53,1624752000000,1.3333,1.4357,1.315,1.4357,2365447.62
54,1624838400000,1.4337,1.525,1.4047,1.4601,1891151.49
55,1624924800000,1.462,1.7721,1.4554,1.7548,3297187.66
56,1625011200000,1.7559,1.8038,1.5952,1.6831,4024247.5
57,1625097600000,1.6842,1.7127,1.5629,1.6612,3084132.05
58,1625184000000,1.6603,1.7483,1.5843,1.7266,2243580.59
59,1625270400000,1.7245,1.7853,1.6839,1.7745,1328781.91
60,1625356800000,1.777,1.9549,1.6852,1.9068,3591141.01
61,1625443200000,1.9058,2.065,1.8184,1.8414,6428790.81
62,1625529600000,1.8411,2.218,1.8344,2.1681,5662618.22
63,1625616000000,2.1659,2.185,1.9951,2.0122,3294749.78
64,1625702400000,2.0125,2.3873,1.9187,2.2727,10473946.42
65,1625788800000,2.2792,2.3066,2.0885,2.2302,6511970.68
66,1625875200000,2.2339,2.5106,2.1625,2.4035,5808273.12
67,1625961600000,2.408,2.49,2.2611,2.461,3755135.66
68,1626048000000,2.4606,2.4643,2.1903,2.2307,2960159.97
69,1626134400000,2.2303,2.3875,2.1359,2.2887,3909225.14
70,1626220800000,2.2952,2.49,2.088,2.4743,3869144.66
71,1626307200000,2.4702,2.6,2.3432,2.4498,4968837.95
72,1626393600000,2.4545,2.7486,2.35,2.4917,5737140.39
73,1626480000000,2.4917,2.7531,2.3237,2.3407,4933151.7
74,1626566400000,2.3395,2.75,2.3073,2.4964,4868283.42
