,time,Open,High,Low,Close,Volume
0,1623369600000,71.89,87.55,60.18,61.5,393305.91
1,1623456000000,61.45,61.46,49.9,53.98,97423.53
2,1623542400000,53.98,58.4,50.5,57.55,36935.06
3,1623628800000,57.59,61.76,54.52,56.73,36375.21
4,1623715200000,56.84,60.0,55.56,56.04,19410.9
5,1623801600000,55.95,56.52,50.8,52.59,46149.87
6,1623888000000,52.3,54.59,50.01,51.37,12760.17
7,1623974400000,51.76,52.81,44.17,46.74,28429.11
8,1624060800000,46.68,72.2,45.3,51.64,204591.04
9,1624147200000,51.63,52.73,44.02,47.1,95485.91
10,1624233600000,47.03,48.39,34.28,34.56,64497.78
11,1624320000000,34.99,49.0,34.1,41.93,294084.14
12,1624406400000,42.0,45.85,41.11,44.9,61923.97
13,1624492800000,44.6,47.84,42.6,45.74,43240.91
14,1624579200000,45.82,48.43,38.17,38.98,28226.5
15,1624665600000,38.98,39.86,35.9,38.11,21212.76
16,1624752000000,38.14,41.5,35.81,40.65,29406.9
17,1624838400000,40.65,43.85,39.83,41.43,29198.29
18,1624924800000,41.43,45.9,40.9,44.51,16983.74
19,1625011200000,44.4,44.4,39.95,42.89,11129.36
20,1625097600000,42.89,43.43,37.0,38.54,35648.33
21,1625184000000,38.31,38.99,36.43,38.26,12027.36
22,1625270400000,38.3,39.95,37.78,38.75,9146.01
23,1625356800000,38.7,41.0,38.08,39.04,14645.29
24,1625443200000,39.04,40.77,36.3,36.93,31079.57
25,1625529600000,36.93,40.52,36.93,39.07,21373.34
26,1625616000000,39.07,41.31,38.58,39.05,19250.25
27,1625702400000,38.96,39.16,35.5,35.87,18574.27
28,1625788800000,35.88,38.93,34.83,36.43,13585.11
29,1625875200000,36.38,36.72,33.57,34.05,22623.86
30,1625961600000,34.23,35.34,34.02,34.93,11040.62
31,1626048000000,34.96,35.4,32.31,32.88,23254.46
32,1626134400000,32.68,33.2,30.68,30.79,19085.28
33,1626220800000,31.01,32.48,29.03,31.42,15297.42
34,1626307200000,31.44,35.99,30.98,31.63,41377.78
35,1626393600000,31.55,33.55,30.14,31.09,25260.62
36,1626480000000,31.09,31.46,30.15,30.56,8955.81
37,1626566400000,30.72,33.28,30.25,30.8,18775.28
38,1626652800000,30.78,31.42,27.86,28.11,16591.17
39,1626739200000,28.07,28.53,26.08,27.02,16875.11
40,1626825600000,26.77,34.4,26.55,29.76,44001.45
41,1626912000000,29.82,31.58,29.39,30.47,40735.53
42,1626998400000,30.46,31.61,28.61,30.7,23757.83
43,1627084800000,30.7,33.94,29.84,32.82,35179.65
44,1627171200000,32.65,38.85,30.4,32.63,51722.68
45,1627257600000,32.63,37.47,32.39,33.17,33711.07
46,1627344000000,33.17,34.03,31.55,33.47,12277.28
47,1627430400000,33.53,34.05,32.16,32.64,9551.89
48,1627516800000,32.48,33.17,31.66,32.68,10859.61
49,1627603200000,32.68,38.56,32.04,37.44,47758.8
50,1627689600000,37.16,37.77,34.78,36.14,23341.33
51,1627776000000,36.3,37.98,34.39,34.7,19200.15
52,1627862400000,34.65,35.46,33.97,34.73,8965.07
53,1627948800000,34.75,35.5,30.24,31.41,53418.52
54,1628035200000,31.5,32.97,30.86,32.85,22139.92
55,1628121600000,32.89,39.71,31.12,37.39,85697.93
56,1628208000000,37.39,38.2,33.62,36.76,63437.68
57,1628294400000,36.79,83.71,36.0,62.16,1365964.92
58,1628380800000,62.16,77.01,54.14,59.26,1410562.21
59,1628467200000,59.26,62.87,53.01,56.56,334478.35
60,1628553600000,56.56,59.05,54.17,55.32,149284.35
61,1628640000000,55.32,58.66,51.0,51.65,134629.79
62,1628726400000,51.51,54.04,49.01,50.57,84646.58
