,time,Open,High,Low,Close,Volume
0,1620172800000,123.178,135.161,114.262,121.118,571408.408
1,1620259200000,121.125,138.5,106.875,108.884,632668.472
2,1620345600000,108.856,116.115,98.8,104.525,338807.505
3,1620432000000,104.654,126.658,103.037,123.035,382688.409
4,1620518400000,123.342,149.192,111.666,146.167,887390.143
5,1620604800000,145.99,164.05,108.348,123.523,842614.063
6,1620691200000,123.307,127.798,115.0,121.364,364281.134
7,1620777600000,121.117,132.89,98.0,100.0,381874.349
8,1620864000000,100.872,110.583,92.111,100.638,313348.173
9,1620950400000,100.624,115.929,100.624,106.922,236148.059
10,1621036800000,107.075,109.341,92.5,93.385,186020.544
11,1621123200000,93.441,103.5,86.028,94.223,213450.62
12,1621209600000,94.182,94.725,81.0,85.406,199788.644
13,1621296000000,85.462,94.179,83.41,89.664,188473.539
14,1621382400000,89.532,93.0,40.0,53.859,521768.186
15,1621468800000,53.999,73.82,49.505,66.994,333776.712
16,1621555200000,66.893,72.66,47.671,56.36,268683.088
17,1621641600000,56.264,58.207,49.101,51.174,148515.858
18,1621728000000,51.163,53.407,33.773,41.78,298663.02
19,1621814400000,41.92,56.0,41.512,52.4,218265.582
20,1621900800000,52.399,56.946,46.45,52.669,232113.874
21,1621987200000,52.746,79.068,51.276,71.423,380410.715
22,1622073600000,71.439,74.378,61.282,64.81,322709.895
23,1622160000000,64.827,66.682,53.539,55.874,235313.619
24,1622246400000,55.874,59.387,48.119,52.484,158047.717
25,1622332800000,52.503,61.0,48.801,60.15,124634.992
26,1622419200000,60.161,63.5,53.556,62.772,187696.172
27,1622505600000,62.772,63.903,57.315,59.232,137565.049
28,1622592000000,59.327,68.332,57.962,64.363,212974.408
29,1622678400000,64.46,75.568,62.429,70.537,203987.711
30,1622764800000,70.536,70.845,58.834,63.107,183236.444
31,1622851200000,63.222,69.169,59.306,60.886,142771.384
32,1622937600000,60.71,65.926,60.591,64.447,78780.062
33,1623024000000,64.392,66.933,54.587,55.999,130606.364
34,1623110400000,56.0,57.103,48.5,54.564,175723.165
35,1623196800000,54.599,57.136,50.501,56.222,171973.441
36,1623283200000,56.222,56.945,49.6,49.673,116255.023
37,1623369600000,49.85,51.902,44.115,48.056,165655.276
38,1623456000000,48.056,48.395,42.522,44.974,122001.736
39,1623542400000,44.987,49.899,43.74,49.052,91793.259
40,1623628800000,49.157,52.179,47.6,51.054,111430.821
41,1623715200000,51.101,53.353,48.81,50.0,106281.742
42,1623801600000,50.0,52.444,45.794,46.445,122015.009
43,1623888000000,46.41,49.1,46.099,47.633,72664.664
44,1623974400000,47.724,49.0,43.153,44.336,136497.306
45,1624060800000,44.388,44.778,42.103,42.224,59683.966
46,1624147200000,42.263,43.314,37.899,43.046,169704.739
47,1624233600000,43.095,43.962,32.519,32.623,180063.104
48,1624320000000,32.731,36.183,27.456,31.636,219828.773
49,1624406400000,31.636,38.52,30.157,36.17,142201.361
50,1624492800000,36.171,39.1,34.857,38.22,121136.131
51,1624579200000,38.243,39.282,33.588,33.924,114817.147
52,1624665600000,33.895,36.7,31.48,34.686,109685.28
53,1624752000000,34.669,39.032,33.799,39.032,138840.135
54,1624838400000,38.993,39.9,37.746,38.482,109418.103
55,1624924800000,38.455,43.949,38.2,41.099,132838.318
56,1625011200000,41.095,41.777,37.538,40.291,89432.831
57,1625097600000,40.31,40.372,36.2,36.621,104343.305
58,1625184000000,36.621,37.451,34.45,37.128,90928.085
59,1625270400000,37.155,39.079,36.165,38.757,51751.617
60,1625356800000,38.755,40.977,36.846,39.337,84173.878
61,1625443200000,39.349,40.157,36.438,37.291,114548.959
62,1625529600000,37.317,42.785,37.317,39.946,166884.156
63,1625616000000,39.89,44.9,39.086,42.235,194553.647
64,1625702400000,42.207,42.58,36.962,38.081,131650.385
65,1625788800000,38.08,39.253,36.133,38.3,87892.27
66,1625875200000,38.295,42.775,37.5,41.549,177855.564
67,1625961600000,41.549,43.0,39.97,40.427,155062.965
68,1626048000000,40.428,41.872,38.01,38.97,104062.619
69,1626134400000,38.97,39.352,36.557,37.409,92636.231
70,1626220800000,37.348,37.575,33.28,36.579,136389.701
71,1626307200000,36.579,37.28,33.25,33.929,104476.846
72,1626393600000,33.956,34.48,31.554,32.194,85390.479
73,1626480000000,32.194,33.5,30.937,31.893,56140.052
74,1626566400000,31.902,33.634,31.691,32.353,71186.75
75,1626652800000,32.376,32.577,29.364,29.641,92596.0
76,1626739200000,29.642,31.056,27.2,29.742,161783.323
77,1626825600000,29.678,33.3,28.464,31.986,177900.39
78,1626912000000,32.034,34.509,31.183,31.834,162093.347
79,1626998400000,31.843,34.731,31.666,34.197,145667.722
80,1627084800000,34.235,35.429,33.253,34.262,134254.573
81,1627171200000,34.282,35.71,32.903,34.245,92428.72
82,1627257600000,34.264,38.419,34.023,34.6,200833.714
83,1627344000000,34.63,37.534,33.534,36.129,162151.981
84,1627430400000,36.087,37.128,34.963,36.187,118170.926
85,1627516800000,36.249,37.999,35.272,36.478,134551.219
86,1627603200000,36.517,41.0,36.118,40.685,385661.991
87,1627689600000,40.652,45.199,40.01,40.667,287173.607
88,1627776000000,40.68,43.629,38.0,38.794,207019.717
89,1627862400000,38.829,42.277,38.2,40.843,111839.224
90,1627948800000,40.807,42.745,37.772,41.16,237818.948
91,1628035200000,41.192,43.384,39.844,42.72,218904.692
92,1628121600000,42.766,46.785,41.067,45.961,242650.46
93,1628208000000,45.993,48.52,45.32,46.192,253188.4
94,1628294400000,46.219,48.097,44.832,46.027,162791.189
95,1628380800000,46.061,46.273,42.283,43.032,119755.402
96,1628467200000,43.037,48.238,41.148,45.4,220034.5
97,1628553600000,45.421,49.98,44.545,48.236,355445.625
98,1628640000000,48.231,51.628,47.503,47.537,209825.418
99,1628726400000,47.545,50.565,45.275,46.417,122038.266
