,time,Open,High,Low,Close,Volume
0,1620172800000,0.4217,0.4858,0.4134,0.4639,17791764.01
1,1620259200000,0.4636,0.4653,0.4131,0.423,11374486.5
2,1620345600000,0.4218,0.44,0.3921,0.417,17144304.26
3,1620432000000,0.4169,0.4627,0.4139,0.451,12453707.0
4,1620518400000,0.451,0.51,0.4212,0.4467,24354307.96
5,1620604800000,0.4468,0.4591,0.3807,0.3998,10237786.61
6,1620691200000,0.4003,0.4531,0.383,0.4478,11437414.68
7,1620777600000,0.4467,0.456,0.3853,0.3941,8809192.38
8,1620864000000,0.3909,0.4109,0.3433,0.3636,11285877.74
9,1620950400000,0.3638,0.3952,0.3528,0.3751,6434132.88
10,1621036800000,0.375,0.3805,0.3332,0.3367,7073961.16
11,1621123200000,0.3373,0.4228,0.32,0.3473,28495372.01
12,1621209600000,0.347,0.3499,0.2999,0.3219,7053394.38
13,1621296000000,0.3211,0.3598,0.3115,0.3195,5975575.12
14,1621382400000,0.3197,0.4779,0.2205,0.3468,75724368.67
15,1621468800000,0.3468,0.3943,0.2865,0.3113,54634170.2
16,1621555200000,0.3115,0.338,0.3049,0.3152,21714514.95
17,1621641600000,0.3144,0.44,0.3068,0.4054,94726962.43
18,1621728000000,0.4059,0.464,0.36,0.38,68040637.15
19,1621814400000,0.3801,0.4082,0.3679,0.3847,24544669.76
20,1621900800000,0.3847,0.3911,0.3378,0.3556,15142101.02
21,1621987200000,0.3552,0.3848,0.3505,0.3582,10956754.52
22,1622073600000,0.3582,0.359,0.321,0.3312,8245483.11
23,1622160000000,0.3312,0.3323,0.3048,0.3115,4674994.91
24,1622246400000,0.3116,0.331,0.278,0.2831,6485854.58
25,1622332800000,0.2831,0.3465,0.2732,0.3147,23535423.85
26,1622419200000,0.314,0.393,0.2906,0.3417,22700167.49
27,1622505600000,0.3418,0.3547,0.3238,0.3278,4802900.71
28,1622592000000,0.3272,0.4023,0.3138,0.3534,8605998.77
29,1622678400000,0.3533,0.3701,0.3467,0.3596,4664941.08
30,1622764800000,0.3599,0.401,0.325,0.3367,8870670.81
31,1622851200000,0.3361,0.3628,0.3171,0.3224,5925839.2
32,1622937600000,0.3224,0.347,0.3131,0.323,5674585.9
