,time,Open,High,Low,Close,Volume
0,1620172800000,11.679,17.465,11.36,17.45,616867.91
1,1620259200000,17.458,20.747,14.52,18.777,922802.8
2,1620345600000,18.737,24.276,14.857,17.201,951752.34
3,1620432000000,17.277,18.881,15.24,15.84,356814.58
4,1620518400000,15.795,16.613,13.501,15.636,402101.38
5,1620604800000,15.642,16.98,9.1,11.309,1047651.13
6,1620691200000,11.247,14.09,9.9,13.99,1003476.87
7,1620777600000,13.989,16.078,8.604,9.056,1211527.93
8,1620864000000,9.015,10.513,5.8,9.432,9009847.32
9,1620950400000,9.433,10.67,9.016,10.05,802074.71
10,1621036800000,10.03,10.5,8.888,9.291,614263.53
11,1621123200000,9.356,11.186,8.261,9.1,1065291.29
12,1621209600000,9.124,9.14,7.202,8.083,1064437.96
13,1621296000000,8.095,9.071,7.8,8.691,1635190.26
14,1621382400000,8.68,8.9,0.16,0.464,111561109.65
15,1621468800000,0.468,0.588,0.415,0.555,11041799.2
16,1621555200000,0.558,0.593,0.381,0.46,6243742.84
17,1621641600000,0.459,0.471,0.384,0.43,2465427.6
18,1621728000000,0.431,0.451,0.229,0.301,8916377.59
19,1621814400000,0.301,0.432,0.29,0.432,14581800.9
20,1621900800000,0.432,0.473,0.378,0.435,3749697.05
21,1621987200000,0.436,0.508,0.424,0.497,3376478.69
22,1622073600000,0.496,0.496,0.427,0.455,2118692.37
23,1622160000000,0.458,0.465,0.362,0.384,2637081.85
24,1622246400000,0.387,0.409,0.332,0.351,1358590.96
25,1622332800000,0.349,0.395,0.326,0.38,1256252.6
26,1622419200000,0.383,0.433,0.361,0.43,1620284.17
27,1622505600000,0.43,0.438,0.4,0.425,1338736.28
28,1622592000000,0.425,0.459,0.409,0.446,2052831.69
29,1622678400000,0.444,0.487,0.435,0.481,2331531.38
30,1622764800000,0.484,0.492,0.4,0.434,2744096.62
31,1622851200000,0.436,0.461,0.405,0.422,2263698.49
32,1622937600000,0.421,0.442,0.419,0.439,2346853.8
33,1623024000000,0.443,0.453,0.375,0.382,1793482.84
34,1623110400000,0.381,0.401,0.338,0.394,3490982.0
35,1623196800000,0.391,0.422,0.367,0.422,2663193.87
36,1623283200000,0.423,0.441,0.38,0.393,2620724.35
37,1623369600000,0.392,0.401,0.348,0.355,3643732.93
38,1623456000000,0.354,0.354,0.319,0.344,2798923.69
39,1623542400000,0.344,0.384,0.327,0.381,1713539.15
40,1623628800000,0.382,0.394,0.364,0.386,2173921.55
41,1623715200000,0.387,0.398,0.372,0.381,1224091.7
42,1623801600000,0.382,0.393,0.346,0.35,1141305.54
43,1623888000000,0.351,0.406,0.349,0.404,1810753.96
44,1623974400000,0.406,0.416,0.341,0.356,4234956.0
45,1624060800000,0.357,0.365,0.342,0.343,1123152.34
46,1624147200000,0.343,0.347,0.287,0.335,1926899.97
47,1624233600000,0.334,0.338,0.191,0.193,8403046.11
48,1624320000000,0.194,0.217,0.135,0.167,65194208.5
