,time,Open,High,Low,Close,Volume
0,1620172800000,0.9506,1.0935,0.9452,0.9937,32572315.18
1,1620259200000,0.9952,1.0136,0.91,0.944,27445091.45
2,1620345600000,0.9445,1.079,0.8934,0.9532,32723806.31
3,1620432000000,0.9516,1.0346,0.9379,0.966,19218848.41
4,1620518400000,0.9687,0.9727,0.909,0.9349,12180898.41
5,1620604800000,0.9351,0.9997,0.827,0.9066,22455445.74
6,1620691200000,0.9051,0.975,0.861,0.9717,12787774.22
7,1620777600000,0.9717,1.15,0.85,0.8676,42789572.93
8,1620864000000,0.8643,0.981,0.743,0.8033,32580534.43
9,1620950400000,0.8032,0.96,0.7951,0.8681,20036929.78
10,1621036800000,0.868,0.93,0.75,0.7854,17398399.57
11,1621123200000,0.786,0.8636,0.7186,0.7925,13930021.05
12,1621209600000,0.7937,0.7953,0.6888,0.7264,13901015.61
13,1621296000000,0.727,0.823,0.7119,0.7471,14330915.1
14,1621382400000,0.7483,0.7612,0.4068,0.5,35790581.95
15,1621468800000,0.5,0.6631,0.4489,0.5866,19467139.34
16,1621555200000,0.5836,0.6565,0.4431,0.541,19026776.52
17,1621641600000,0.5401,0.59,0.4776,0.4802,16349118.73
18,1621728000000,0.4818,0.55,0.33,0.4185,28721996.26
19,1621814400000,0.4181,0.5394,0.411,0.5309,17476689.19
20,1621900800000,0.5324,0.5676,0.462,0.5162,17248170.18
21,1621987200000,0.5172,0.6416,0.5042,0.61,20247018.25
22,1622073600000,0.61,0.63,0.537,0.5752,13504595.92
23,1622160000000,0.5738,0.5894,0.481,0.5175,10161071.77
24,1622246400000,0.5174,0.58,0.4633,0.4826,11526245.28
25,1622332800000,0.4837,0.5388,0.4613,0.5107,6515322.23
26,1622419200000,0.5095,0.5437,0.4878,0.5206,9482376.81
27,1622505600000,0.5204,0.57,0.4905,0.4992,20901808.32
28,1622592000000,0.4984,0.6977,0.4821,0.5228,41604789.23
29,1622678400000,0.5229,0.5668,0.5139,0.5309,27438809.82
30,1622764800000,0.5311,0.5336,0.4458,0.453,25198875.1
31,1622851200000,0.453,0.4872,0.4061,0.4194,24309466.92
32,1622937600000,0.4194,0.459,0.3565,0.3859,61215185.6
33,1623024000000,0.3859,0.4088,0.34,0.3431,76628445.35
34,1623110400000,0.3426,0.3541,0.2755,0.3207,127875229.64
35,1623196800000,0.3207,0.37,0.2935,0.3623,81631887.78
36,1623283200000,0.3617,0.3643,0.3333,0.3378,34411174.89
37,1623369600000,0.338,0.4035,0.325,0.3516,56205570.17
38,1623456000000,0.3511,0.3741,0.3201,0.351,27392179.92
39,1623542400000,0.3505,0.375,0.3381,0.3703,19580858.85
40,1623628800000,0.371,0.3971,0.3595,0.3884,20194062.22
41,1623715200000,0.3882,0.3907,0.3706,0.3726,17298141.17
42,1623801600000,0.373,0.3799,0.3503,0.3553,13894073.2
43,1623888000000,0.3545,0.3759,0.3411,0.348,12711089.71
44,1623974400000,0.3485,0.3577,0.3175,0.3283,14868576.29
45,1624060800000,0.3287,0.343,0.3185,0.3272,10568930.88
46,1624147200000,0.3274,0.3331,0.2973,0.3295,14804218.09
47,1624233600000,0.3295,0.3333,0.2607,0.2647,22968237.95
48,1624320000000,0.2648,0.3166,0.23,0.2745,34923393.9
49,1624406400000,0.2751,0.3219,0.2662,0.3015,17522888.4
50,1624492800000,0.3015,0.3239,0.28,0.3118,13582845.95
51,1624579200000,0.3118,0.3202,0.27,0.2733,18118388.81
52,1624665600000,0.2724,0.2821,0.255,0.2792,15173408.87
53,1624752000000,0.2798,0.3,0.275,0.2957,12215597.29
54,1624838400000,0.2965,0.333,0.2914,0.321,22674840.53
55,1624924800000,0.3212,0.3505,0.3196,0.3325,21308682.6
56,1625011200000,0.3331,0.3369,0.2981,0.3317,14762212.65
57,1625097600000,0.331,0.3317,0.3009,0.3142,14414768.9
58,1625184000000,0.3134,0.32,0.3018,0.316,6320716.27
59,1625270400000,0.3143,0.3411,0.31,0.3358,9767717.59
