,time,Open,High,Low,Close,Volume
0,1620172800000,24.773,27.598,24.55,26.977,318671.172
1,1620259200000,27.002,27.389,24.492,25.029,241790.486
2,1620345600000,25.036,26.229,23.76,24.778,379638.533
3,1620432000000,24.778,25.406,24.261,24.583,185635.51
4,1620518400000,24.598,24.712,22.295,24.068,263310.433
5,1620604800000,24.047,24.509,20.0,21.619,260098.946
6,1620691200000,21.684,23.015,20.767,22.859,206066.479
7,1620777600000,22.8,25.035,19.827,20.375,424400.482
8,1620864000000,20.375,21.977,18.8,20.178,419746.352
9,1620950400000,20.123,23.797,19.835,22.22,525273.248
10,1621036800000,22.219,22.543,19.494,19.662,296027.361
11,1621123200000,19.692,21.204,17.8,18.908,333944.486
12,1621209600000,18.915,18.955,16.723,17.31,280753.949
13,1621296000000,17.333,18.817,17.057,17.692,362443.877
14,1621382400000,17.69,17.982,7.672,9.827,1612775.417
15,1621468800000,9.82,11.908,8.746,10.58,1252102.671
16,1621555200000,10.605,11.199,7.264,8.646,1001021.027
17,1621641600000,8.616,8.986,7.431,7.845,554225.056
18,1621728000000,7.843,13.767,5.632,10.877,4007735.03
19,1621814400000,10.851,12.862,9.68,10.799,5708561.912
20,1621900800000,10.799,12.0,9.085,10.05,1969035.473
21,1621987200000,10.057,14.464,9.659,12.643,3053348.513
22,1622073600000,12.613,12.63,10.895,11.691,1133641.783
23,1622160000000,11.659,11.8,9.525,10.028,775631.096
24,1622246400000,10.007,10.425,8.299,8.867,570669.148
25,1622332800000,8.867,9.899,8.205,9.182,441403.179
26,1622419200000,9.173,11.225,8.676,11.086,789717.142
27,1622505600000,11.135,11.5,10.0,10.192,614887.187
28,1622592000000,10.192,11.34,9.857,10.838,577769.032
29,1622678400000,10.851,11.855,10.764,10.945,601790.621
30,1622764800000,10.945,10.997,9.255,9.704,623288.497
31,1622851200000,9.722,10.171,8.912,9.325,591705.937
32,1622937600000,9.358,9.76,9.268,9.511,241281.661
33,1623024000000,9.538,10.207,8.638,8.744,540235.355
34,1623110400000,8.739,8.884,7.418,8.589,656236.207
35,1623196800000,8.573,9.389,8.025,9.098,739304.33
36,1623283200000,9.111,9.691,8.557,8.835,651019.494
37,1623369600000,8.853,9.377,8.042,8.833,784462.72
38,1623456000000,8.851,9.249,7.533,8.129,1113267.105
39,1623542400000,8.126,8.735,7.9,8.682,487158.18
40,1623628800000,8.686,9.2,8.45,9.075,512226.941
41,1623715200000,9.074,10.892,8.664,10.665,1381775.493
42,1623801600000,10.67,10.691,9.173,9.261,911076.978
43,1623888000000,9.268,9.942,9.23,9.503,404740.165
44,1623974400000,9.494,9.494,7.976,8.359,497637.959
45,1624060800000,8.355,8.511,7.96,8.07,242170.143
46,1624147200000,8.05,8.214,7.346,8.008,282869.1
47,1624233600000,8.02,8.058,6.255,6.286,531939.356
48,1624320000000,6.305,7.021,5.311,6.032,574173.908
49,1624406400000,6.02,6.908,5.755,6.417,476974.356
50,1624492800000,6.405,6.603,6.0,6.527,415357.97
51,1624579200000,6.544,7.054,5.85,5.926,568740.468
52,1624665600000,5.898,6.132,5.507,5.803,474059.332
53,1624752000000,5.803,6.062,5.638,6.053,324840.929
54,1624838400000,6.068,6.381,5.902,6.283,424233.379
55,1624924800000,6.274,7.323,6.222,7.083,598939.801
56,1625011200000,7.075,7.158,6.109,6.589,660670.699
57,1625097600000,6.59,6.711,5.923,6.14,487547.892
58,1625184000000,6.145,6.3,5.642,5.922,700680.581
59,1625270400000,5.927,6.3,5.787,6.086,373688.544
60,1625356800000,6.085,6.7,5.736,6.233,1055691.459
61,1625443200000,6.231,6.243,5.599,5.835,1364303.693
62,1625529600000,5.817,7.185,5.815,7.123,1728466.602
63,1625616000000,7.123,7.542,6.787,6.87,2133368.549
64,1625702400000,6.867,6.928,5.953,6.102,1180228.649
65,1625788800000,6.117,6.404,5.836,6.19,715305.917
66,1625875200000,6.19,6.558,5.982,6.154,824524.073
67,1625961600000,6.151,7.119,6.09,6.771,2057851.202
68,1626048000000,6.777,7.189,6.3,6.499,1081390.405
69,1626134400000,6.5,8.0,6.399,7.677,1673433.822
70,1626220800000,7.681,8.966,6.871,8.421,3188943.95
71,1626307200000,8.415,9.7,7.563,7.805,2135958.167
72,1626393600000,7.821,8.34,6.529,6.558,1729280.333
73,1626480000000,6.555,6.849,6.252,6.62,894771.807
74,1626566400000,6.625,7.1,6.181,6.262,1424130.219
75,1626652800000,6.263,6.282,5.686,5.729,1312034.333
76,1626739200000,5.737,5.835,4.869,5.195,1258526.728
77,1626825600000,5.186,6.26,4.945,6.075,1917122.625
78,1626912000000,6.085,7.345,5.751,7.233,2171519.391
79,1626998400000,7.238,7.5,6.379,6.911,2236971.739
80,1627084800000,6.922,7.399,6.569,6.82,1695183.081
81,1627171200000,6.825,9.99,6.5,9.553,5525123.683
82,1627257600000,9.563,10.989,8.267,8.347,4627166.391
83,1627344000000,8.347,9.729,7.931,9.086,2386454.048
84,1627430400000,9.088,9.15,8.258,8.471,1306682.482
85,1627516800000,8.471,9.15,8.223,8.814,1311956.387
86,1627603200000,8.823,9.554,8.405,9.057,1309249.046
87,1627689600000,9.057,9.5,8.733,8.95,1200607.251
88,1627776000000,8.954,9.917,8.6,8.829,2197863.198
89,1627862400000,8.829,9.058,8.55,8.832,1146299.246
90,1627948800000,8.83,8.978,8.125,8.835,1421642.93
91,1628035200000,8.849,9.99,8.674,9.702,1915395.703
92,1628121600000,9.707,10.753,9.3,10.18,2058646.622
93,1628208000000,10.193,11.65,9.817,11.65,1293450.308
94,1628294400000,11.638,11.999,10.87,11.269,1424737.194
95,1628380800000,11.278,11.59,10.293,10.404,898872.66
96,1628467200000,10.414,12.8,10.075,12.154,1816523.641
97,1628553600000,12.147,12.75,11.476,11.946,1220411.78
98,1628640000000,11.944,13.8,11.908,12.75,1454169.806
99,1628726400000,12.751,13.513,11.857,12.329,628876.712
