,time,Open,High,Low,Close,Volume
0,1620172800000,43.357,46.756,39.644,41.997,275559.49
1,1620259200000,41.876,42.2,36.426,37.293,197220.69
2,1620345600000,37.293,39.333,32.911,36.309,156269.14
3,1620432000000,36.31,38.842,35.35,37.521,75343.31
4,1620518400000,37.542,37.9,32.5,35.557,119558.12
5,1620604800000,35.744,38.571,24.337,29.592,198805.8
6,1620691200000,29.565,33.35,28.095,33.35,129149.59
7,1620777600000,33.352,43.017,26.0,29.487,299429.68
8,1620864000000,29.554,34.713,23.763,30.442,278310.31
9,1620950400000,30.586,35.558,30.187,34.937,79685.96
10,1621036800000,35.0,37.841,28.857,28.931,93319.68
11,1621123200000,29.038,33.23,26.148,29.0,114483.86
12,1621209600000,29.0,29.048,22.236,24.409,151942.52
13,1621296000000,24.464,29.142,24.024,26.897,134747.51
14,1621382400000,26.897,27.688,4.203,12.344,2771697.63
15,1621468800000,12.336,17.18,9.574,15.22,197180.87
16,1621555200000,15.31,16.668,8.238,11.049,182072.3
17,1621641600000,11.024,11.535,7.797,9.551,249061.73
18,1621728000000,9.54,10.404,2.947,5.636,6937991.36
19,1621814400000,5.634,11.223,5.503,10.835,983726.82
20,1621900800000,10.884,13.69,8.879,11.197,698700.91
21,1621987200000,11.271,14.298,10.868,14.298,484882.8
22,1622073600000,14.244,14.808,12.0,13.609,318908.08
23,1622160000000,13.564,14.37,10.626,11.405,617529.01
24,1622246400000,11.448,12.929,8.163,9.196,571858.21
25,1622332800000,9.144,11.8,8.042,11.155,429098.66
26,1622419200000,11.122,13.182,9.377,13.074,552238.09
27,1622505600000,13.025,13.494,11.191,12.4,303348.47
28,1622592000000,12.425,13.561,11.53,12.566,266994.12
29,1622678400000,12.489,14.199,11.82,13.484,291394.63
30,1622764800000,13.5,13.5,9.661,10.964,368240.39
31,1622851200000,11.002,12.158,9.848,10.241,273102.6
32,1622937600000,10.24,10.984,10.015,10.416,132536.96
33,1623024000000,10.415,11.736,8.7,8.96,243239.91
34,1623110400000,8.882,9.277,6.087,8.152,674304.08
35,1623196800000,8.159,9.551,7.274,9.483,573624.68
36,1623283200000,9.499,9.578,7.845,8.248,229348.12
37,1623369600000,8.274,8.457,6.382,6.787,376794.72
38,1623456000000,6.767,7.5,5.533,6.343,544436.05
39,1623542400000,6.357,7.97,5.736,7.752,474233.27
40,1623628800000,7.738,8.148,7.2,8.135,795233.66
41,1623715200000,8.138,8.411,7.434,7.635,326487.59
42,1623801600000,7.592,7.81,6.461,6.581,163536.03
43,1623888000000,6.592,7.31,6.35,6.819,209704.77
