,time,Open,High,Low,Close,Volume
0,1620172800000,0.9996,1.0,0.9984,0.9988,197818534.65
1,1620259200000,0.9988,1.01,0.9983,0.9991,206161092.98
2,1620345600000,0.9992,0.9998,0.9984,0.999,215161560.85
3,1620432000000,0.9991,0.9991,0.9978,0.9987,178699263.94
4,1620518400000,0.9987,1.0029,0.9982,0.9988,351483273.34
5,1620604800000,0.9987,0.9999,0.9978,0.9989,263097717.4
6,1620691200000,0.9989,0.9999,0.9982,0.9988,176880437.17
7,1620777600000,0.9989,1.0002,0.997,1.0001,262103843.19
8,1620864000000,1.0001,1.0003,0.9973,0.9999,371228166.82
9,1620950400000,1.0,1.001,0.998,0.999,257060610.17
10,1621036800000,0.9991,1.0,0.9986,0.9997,204568743.1
11,1621123200000,0.9998,1.0099,0.9993,0.9997,268845092.78
12,1621209600000,0.9997,1.01,0.998,1.0,346186684.21
13,1621296000000,1.0,1.0,0.9987,0.9993,206678449.61
14,1621382400000,0.9994,1.0389,0.99,0.9983,776166386.22
15,1621468800000,0.9983,1.0001,0.9975,0.9978,414412060.99
16,1621555200000,0.9978,1.0079,0.9964,0.9987,449099364.49
17,1621641600000,0.9987,1.03,0.9985,0.9992,265374874.01
18,1621728000000,0.9992,1.0198,0.9975,0.9987,421619835.33
19,1621814400000,0.9987,0.9993,0.9977,0.9989,312955043.07
20,1621900800000,0.9989,0.9991,0.998,0.9988,196074187.42
21,1621987200000,0.9988,0.9993,0.9983,0.9988,155886649.63
22,1622073600000,0.9988,0.9993,0.9984,0.9991,108635701.03
23,1622160000000,0.9991,0.9999,0.9988,0.9995,184524625.11
24,1622246400000,0.9994,1.0,0.9991,0.9995,139086550.13
25,1622332800000,0.9995,1.0001,0.9988,0.9994,166205361.86
26,1622419200000,0.9994,1.0,0.9989,0.9999,153026557.0
27,1622505600000,0.9998,1.0003,0.9991,1.0,119284977.98
28,1622592000000,1.0,1.002,0.9996,1.0,106343653.87
29,1622678400000,1.0,1.0002,0.9995,0.9998,108206243.92
30,1622764800000,0.9999,1.0002,0.9992,0.9994,158304520.53
31,1622851200000,0.9994,1.0002,0.9993,0.9998,85434531.84
32,1622937600000,0.9997,1.0002,0.9993,0.9999,69066339.97
33,1623024000000,0.9998,1.0002,0.9991,0.9999,130507224.41
34,1623110400000,0.9999,1.0002,0.9992,0.9993,203506548.89
35,1623196800000,0.9994,1.0,0.9991,0.9993,164166713.32
36,1623283200000,0.9994,1.0,0.9993,0.9996,102867643.43
37,1623369600000,0.9997,1.0003,0.9994,1.0002,102152315.63
38,1623456000000,1.0001,1.0003,0.9996,1.0,97082203.74
39,1623542400000,0.9999,1.0003,0.9994,0.9999,94309559.75
40,1623628800000,1.0,1.0004,0.9994,0.9999,131487977.75
41,1623715200000,0.9998,1.001,0.9994,0.9999,143149400.44
42,1623801600000,1.0,1.001,0.9995,1.0003,120548178.87
43,1623888000000,1.0003,1.0009,0.9996,1.0,113196136.47
44,1623974400000,1.0001,1.0002,0.9994,0.9997,106503931.03
45,1624060800000,0.9996,1.0001,0.9992,0.9999,106891130.34
46,1624147200000,0.9999,1.0008,0.9997,1.0001,121128561.31
47,1624233600000,1.0001,1.0008,0.9991,1.0,272535973.64
48,1624320000000,1.0,1.001,0.9997,0.9998,255819249.46
49,1624406400000,0.9998,1.0,0.9993,0.9998,131264331.18
50,1624492800000,0.9998,1.0009,0.9997,1.0002,97684989.96
51,1624579200000,1.0002,1.001,0.9999,1.0,103698169.52
52,1624665600000,1.0,1.0004,0.9997,1.0002,111310242.32
53,1624752000000,1.0002,1.0003,0.9996,1.0,85831416.02
54,1624838400000,0.9999,1.0002,0.9994,0.9999,121087442.18
55,1624924800000,0.9999,1.0003,0.9993,0.9999,161669966.11
