,time,Open,High,Low,Close,Volume
0,1561334400000,0.9621,1.209,0.9621,0.9989,50457.88
1,1561420800000,0.9987,1.0067,0.9922,0.9971,22129.33
2,1561507200000,1.0054,1.016,0.9973,1.0088,14393.47
3,1561593600000,1.017,1.8,0.9957,1.012,41735.74
4,1561680000000,1.018,1.198,0.9915,1.0061,193547.56
5,1561766400000,0.9979,1.0325,0.9961,1.0,47296.3
6,1561852800000,1.0012,1.0078,0.9929,1.0071,38917.74
7,1561939200000,1.0057,1.0061,0.9941,1.0014,24715.54
8,1562025600000,1.0014,1.0043,0.9969,0.9975,8224.32
9,1562112000000,0.9975,1.0028,0.992,0.9955,18799.0
10,1562198400000,0.9947,0.9983,0.9813,0.9946,28017.52
11,1562284800000,0.9946,0.9973,0.992,0.9964,8195.58
12,1562371200000,0.9931,1.0,0.9842,0.9981,6864.23
13,1562457600000,0.9951,1.0025,0.992,0.9955,14382.35
14,1562544000000,0.9955,1.0,0.9905,0.9974,11455.79
15,1562630400000,0.9974,0.9974,0.9855,0.9963,11871.94
16,1562716800000,0.9924,0.9999,0.9924,0.9999,6507.02
17,1562803200000,0.9999,1.0076,0.9923,0.999,11743.71
18,1562889600000,0.9957,1.002,0.9945,0.995,4862.53
19,1562976000000,0.995,1.0014,0.9932,1.0014,2737.01
20,1563062400000,1.0014,1.0059,0.991,0.9967,10681.3
21,1563148800000,0.9967,1.0542,0.9967,0.9989,17349.94
22,1563235200000,0.997,1.0005,0.9936,0.9995,6915.56
23,1563321600000,0.9989,1.003,0.9928,0.995,21416.48
24,1563408000000,0.9957,1.48,0.9912,0.9977,23190.34
25,1563494400000,0.9997,1.0054,0.99,0.9986,27332.97
26,1563580800000,0.997,1.007,0.9935,0.9994,3495.03
27,1563667200000,0.9994,1.0,0.9947,0.9989,6096.07
28,1563753600000,0.9976,1.0069,0.9974,1.0053,7713.52
29,1563840000000,1.0063,1.0063,0.9978,0.9982,6051.01
30,1563926400000,0.9978,1.004,0.9974,0.9974,3870.07
31,1564012800000,1.0018,1.3,0.9961,0.9975,45434.89
32,1564099200000,0.9977,1.0075,0.9968,0.9988,14509.04
33,1564185600000,0.9973,1.003,0.9973,0.9978,8456.63
34,1564272000000,1.0009,1.0056,0.9995,0.9995,6802.43
35,1564358400000,1.0033,1.0048,0.9994,0.9999,1690.98
36,1564444800000,1.0045,1.035,0.9971,0.9972,16786.54
37,1564531200000,0.9972,1.0008,0.997,0.9999,5654.86
38,1564617600000,0.9972,1.0,0.9955,0.9957,16385.12
39,1564704000000,0.9958,1.004,0.9958,0.9985,21435.09
40,1564790400000,0.9992,1.0013,0.996,0.9974,17156.53
41,1564876800000,0.9961,0.9974,0.995,0.995,5798.77
42,1564963200000,0.9973,0.9991,0.9942,0.9954,7491.04
43,1565049600000,0.9987,1.0,0.996,0.9989,3630.05
44,1565136000000,0.9989,1.0019,0.9965,0.998,28856.96
45,1565222400000,1.0,1.003,0.998,0.9984,11564.98
46,1565308800000,1.0009,1.0019,0.9983,1.0019,1432.43
47,1565395200000,0.9986,1.0028,0.9984,1.0028,3460.66
48,1565481600000,1.0028,1.0032,0.9989,1.0,2666.59
49,1565568000000,0.9987,1.0,0.9985,1.0,2509.47
50,1565654400000,0.9986,1.003,0.9986,0.9987,9690.07
51,1565740800000,1.0025,1.003,0.9985,0.9985,29490.6
52,1565827200000,0.9986,1.0024,0.9986,1.0005,2057.03
53,1565913600000,1.0005,1.0005,0.9971,0.9982,12384.66
54,1566000000000,0.9982,0.9982,0.9971,0.9971,2681.4
55,1566086400000,0.9999,1.001,0.9967,1.001,910.75
56,1566172800000,0.9969,1.0005,0.9968,0.9985,1031.6
57,1566259200000,1.0002,1.0002,0.997,0.997,119.45
58,1566345600000,1.0002,1.0019,0.9971,1.0017,2211.86
59,1566432000000,1.0017,1.0019,0.9975,0.9978,1485.15
60,1566518400000,0.9978,1.0008,0.9974,1.0008,1489.06
61,1566604800000,1.0008,1.0009,0.996,0.9986,2369.15
62,1566691200000,0.9974,0.9988,0.9952,0.9988,999.51
