,time,Open,High,Low,Close,Volume
0,1584403200000,0.9927,0.9979,0.9856,0.9923,7327.18
1,1584489600000,0.9943,0.9975,0.9875,0.9937,4708.69
2,1584576000000,0.9943,1.0009,0.9876,0.995,12968.63
3,1584662400000,0.9955,0.9972,0.9766,0.9962,24910.0
4,1584748800000,0.9964,0.999,0.9957,0.9957,3049.58
5,1584835200000,0.9974,0.999,0.9901,0.9969,4650.92
6,1584921600000,0.9973,0.9986,0.994,0.9973,2031.17
7,1585008000000,0.9941,0.9986,0.9928,0.9928,6135.48
8,1585094400000,0.9965,0.9986,0.9897,0.9946,10635.4
9,1585180800000,0.9938,0.9969,0.9908,0.9908,10182.26
10,1585267200000,0.9908,0.9959,0.988,0.9901,6840.69
11,1585353600000,0.99,0.9944,0.9848,0.994,9565.06
12,1585440000000,0.9941,0.9942,0.99,0.9905,19874.9
13,1585526400000,0.994,0.994,0.9816,0.9922,14073.41
14,1585612800000,0.9871,0.9949,0.9817,0.9912,11953.65
15,1585699200000,0.9912,0.9913,0.9879,0.9912,10305.17
16,1585785600000,0.9912,0.9945,0.9912,0.9943,17239.51
17,1585872000000,0.9943,0.9947,0.994,0.9946,19973.19
18,1585958400000,0.9946,1.0,0.991,0.9951,29983.61
19,1586044800000,0.995,0.9972,0.9816,0.9816,52352.99
20,1586131200000,0.9818,0.9954,0.97,0.9818,43741.13
21,1586217600000,0.985,0.9954,0.985,0.9933,53450.87
22,1586304000000,0.9933,0.997,0.993,0.9958,26143.44
23,1586390400000,0.996,0.9979,0.9934,0.995,30395.95
24,1586476800000,0.995,0.9959,0.9902,0.9949,33371.44
25,1586563200000,0.9949,0.9959,0.994,0.9954,24355.99
26,1586649600000,0.9954,0.9966,0.9916,0.9944,15013.39
27,1586736000000,0.9944,0.9945,0.9862,0.9888,14263.03
28,1586822400000,0.9908,0.995,0.9885,0.9885,30886.89
29,1586908800000,0.989,0.995,0.9886,0.991,63826.14
30,1586995200000,0.991,0.9933,0.9874,0.9933,32512.13
31,1587081600000,0.9933,0.994,0.9924,0.9937,29795.51
32,1587168000000,0.9937,0.995,0.9908,0.9947,20199.2
33,1587254400000,0.9947,0.9948,0.9912,0.9947,26038.05
34,1587340800000,0.9947,0.9966,0.9944,0.9947,54983.05
35,1587427200000,0.9947,0.9984,0.9947,0.9984,22041.25
36,1587513600000,0.9957,0.9977,0.9948,0.9973,28783.38
37,1587600000000,0.9976,0.9983,0.9953,0.9959,15272.4
38,1587686400000,0.9959,0.9982,0.995,0.9969,26319.05
39,1587772800000,0.9969,0.998,0.9923,0.9965,25049.08
40,1587859200000,0.9965,0.9982,0.995,0.9955,18397.7
41,1587945600000,0.9957,0.9975,0.9922,0.9922,7811.6
42,1588032000000,0.9922,0.9954,0.9851,0.9891,23602.88
43,1588118400000,0.9891,0.9952,0.9876,0.9876,24423.71
44,1588204800000,0.9919,0.9946,0.9879,0.9939,32769.13
45,1588291200000,0.9939,0.9944,0.9899,0.9899,25209.17
46,1588377600000,0.9899,0.992,0.9875,0.9911,28204.99
47,1588464000000,0.9916,0.9934,0.9916,0.9933,41058.4
48,1588550400000,0.9933,0.9936,0.99,0.9902,37619.67
49,1588636800000,0.9904,0.9929,0.99,0.9901,1687.66
50,1588723200000,0.9904,0.9935,0.9889,0.9934,88240.79
51,1588809600000,0.9934,0.9939,0.9934,0.9935,30608.03
52,1588896000000,0.9935,0.9939,0.9935,0.9938,11446.93
53,1588982400000,0.9938,0.998,0.9938,0.9977,11230.27
54,1589068800000,0.9955,0.9977,0.9857,0.988,11532.42
55,1589155200000,0.9897,0.9962,0.9897,0.9962,5706.76
56,1589241600000,0.9962,0.9971,0.9939,0.9971,5182.73
57,1589328000000,0.9971,0.9982,0.9958,0.9981,2907.29
58,1589414400000,0.9978,0.9978,0.9959,0.9977,5002.31
59,1589500800000,0.9969,0.9985,0.9967,0.9985,2639.65
60,1589587200000,0.9985,0.9998,0.9985,0.9995,2178.91
61,1589673600000,0.9995,0.9999,0.9973,0.9973,1498.21
62,1589760000000,0.9973,0.9999,0.9973,0.9973,4962.3
63,1589846400000,0.9996,0.9999,0.9943,0.9983,3939.66
64,1589932800000,0.997,0.9983,0.9943,0.995,6517.24
65,1590019200000,0.9972,0.9999,0.9943,0.9999,7326.98
66,1590105600000,0.9997,0.9999,0.9975,0.9999,1392.26
67,1590192000000,0.9999,1.0,0.9976,0.9999,10391.82
68,1590278400000,0.9978,1.0,0.9977,1.0,2352.06
69,1590364800000,0.9999,1.0,0.9976,0.9981,5799.35
70,1590451200000,0.9977,0.9999,0.9977,0.9977,2843.41
71,1590537600000,0.9998,1.0,0.9973,0.9973,7430.45
72,1590624000000,0.9996,1.0001,0.9973,0.9974,5223.35
73,1590710400000,0.9974,1.0001,0.9974,1.0001,2450.01
74,1590796800000,0.9976,1.0007,0.9976,1.0007,2443.32
75,1590883200000,1.0007,1.0007,0.9974,0.9974,1980.25
76,1590969600000,0.9975,0.9985,0.995,0.995,3246.11
77,1591056000000,0.9951,1.0001,0.9951,0.9983,6463.49
78,1591142400000,0.9982,0.9983,0.998,0.998,1613.08
79,1591228800000,0.9983,0.9999,0.998,0.9999,910.62
80,1591315200000,0.998,0.9999,0.998,0.9999,968.15
81,1591401600000,0.9999,0.9999,0.998,0.998,1205.7
82,1591488000000,0.9999,0.9999,0.9953,0.9966,4746.04
83,1591574400000,0.9966,0.9996,0.9966,0.9996,1769.72
84,1591660800000,0.9988,0.9996,0.9982,0.9982,745.41
85,1591747200000,0.9982,0.9996,0.9982,0.9995,917.11
86,1591833600000,0.9995,0.9996,0.9953,0.9996,2235.59
87,1591920000000,0.9996,1.0002,0.9954,1.0002,2432.36
88,1592006400000,1.0002,1.0005,0.9979,0.9979,4805.16
89,1592092800000,0.9979,1.001,0.9959,0.9992,3371.94
90,1592179200000,0.9967,0.9995,0.9967,0.9995,846.11
91,1592265600000,0.9995,0.9995,0.9967,0.9995,1307.0
92,1592352000000,0.9995,1.001,0.9951,0.9951,9401.52
93,1592438400000,0.9985,1.0006,0.9973,0.9973,1993.84
94,1592524800000,0.9973,1.0005,0.9973,1.0004,385.33
95,1592611200000,1.0004,1.001,0.9974,1.0005,2441.33
96,1592697600000,0.9998,1.001,0.9981,1.0009,1811.79
97,1592784000000,0.9981,1.0009,0.9978,0.9979,5747.72
98,1592870400000,1.0008,1.0008,0.9978,0.998,1410.46
99,1592956800000,0.998,0.998,0.9963,0.9968,3817.02
