,time,Open,High,Low,Close,Volume
0,1620172800000,0.6689,1.065,0.6512,0.8964,196730049.12
1,1620259200000,0.8972,1.0,0.7946,0.8094,112368865.67
2,1620345600000,0.8085,0.8799,0.75,0.7722,78617298.05
3,1620432000000,0.7725,0.849,0.7617,0.7787,44161157.35
4,1620518400000,0.7787,0.7972,0.7194,0.7397,32907679.17
5,1620604800000,0.7397,0.795,0.621,0.6768,47977011.07
6,1620691200000,0.6781,0.7962,0.65,0.7261,48403479.55
7,1620777600000,0.7262,0.7499,0.5746,0.5858,33041503.65
8,1620864000000,0.5858,0.6464,0.5384,0.5723,26719430.77
9,1620950400000,0.5723,0.6354,0.5672,0.608,22568138.88
10,1621036800000,0.6066,0.6159,0.5116,0.5213,21868791.9
11,1621123200000,0.521,0.657,0.5009,0.5468,41611969.22
12,1621209600000,0.5461,0.59,0.4712,0.5483,21781244.68
13,1621296000000,0.5482,0.6133,0.5425,0.5765,14599934.19
14,1621382400000,0.5759,0.6045,0.2517,0.3569,38158813.0
15,1621468800000,0.3587,0.4988,0.3004,0.4095,26238849.34
16,1621555200000,0.4098,0.4307,0.2702,0.3308,23180139.9
17,1621641600000,0.3294,0.3448,0.2787,0.2926,15393253.63
18,1621728000000,0.2903,0.306,0.177,0.2486,26827229.79
19,1621814400000,0.2484,0.34,0.2393,0.3207,19478335.74
20,1621900800000,0.3207,0.3371,0.2663,0.3004,16993332.82
21,1621987200000,0.3017,0.4069,0.2925,0.3862,21372107.14
22,1622073600000,0.3862,0.4479,0.3425,0.3715,23542937.92
23,1622160000000,0.3715,0.3851,0.3,0.312,23386255.85
24,1622246400000,0.3138,0.3329,0.2721,0.2925,13834733.08
25,1622332800000,0.2924,0.3187,0.2664,0.2932,14673081.17
26,1622419200000,0.294,0.334,0.276,0.3313,10878154.23
27,1622505600000,0.3312,0.339,0.3081,0.3128,9240990.74
28,1622592000000,0.3142,0.3364,0.3055,0.3304,9735553.92
29,1622678400000,0.3304,0.42,0.3233,0.4021,35770884.63
30,1622764800000,0.401,0.4036,0.3181,0.352,24510845.11
31,1622851200000,0.3522,0.38,0.3167,0.3322,15165153.5
32,1622937600000,0.3322,0.3492,0.3281,0.3421,8106025.25
33,1623024000000,0.342,0.3558,0.2878,0.2992,12028469.76
34,1623110400000,0.2999,0.3091,0.2539,0.2895,17257375.72
35,1623196800000,0.2891,0.3238,0.271,0.3125,15482177.39
36,1623283200000,0.314,0.3174,0.2804,0.2906,8994706.14
37,1623369600000,0.2922,0.3341,0.2725,0.2828,41002758.25
38,1623456000000,0.2829,0.3947,0.2676,0.299,165543685.94
39,1623542400000,0.2992,0.3271,0.286,0.3109,41020562.93
40,1623628800000,0.311,0.34,0.3019,0.3189,16676869.42
41,1623715200000,0.3181,0.33,0.2993,0.305,12088463.47
42,1623801600000,0.3054,0.3113,0.2837,0.2867,9404239.96
43,1623888000000,0.2867,0.3014,0.28,0.2888,5482845.95
44,1623974400000,0.2887,0.3425,0.2729,0.2963,67594289.74
45,1624060800000,0.2963,0.3079,0.2731,0.2764,25134526.57
46,1624147200000,0.2767,0.2853,0.2437,0.2732,16124377.69
47,1624233600000,0.2735,0.2763,0.2113,0.2123,14481421.63
48,1624320000000,0.2123,0.229,0.1724,0.2057,20176270.37
49,1624406400000,0.2061,0.2347,0.1961,0.2173,11180399.19
50,1624492800000,0.2178,0.2332,0.2057,0.225,7857642.93
51,1624579200000,0.225,0.2327,0.195,0.1962,9232581.85
52,1624665600000,0.1962,0.2039,0.1843,0.2009,7108175.72
53,1624752000000,0.2003,0.229,0.197,0.2178,13476959.5
54,1624838400000,0.2184,0.2262,0.2104,0.2217,9538413.59
55,1624924800000,0.2215,0.251,0.2189,0.228,12545764.22
56,1625011200000,0.228,0.2339,0.2138,0.2311,10079435.32
57,1625097600000,0.2313,0.2388,0.2181,0.2241,15404982.37
58,1625184000000,0.224,0.2286,0.21,0.2193,7855404.67
59,1625270400000,0.2193,0.2282,0.2142,0.223,5766666.19
60,1625356800000,0.2231,0.2344,0.2169,0.2264,8440953.31
61,1625443200000,0.2257,0.2258,0.2102,0.2168,5464736.09
62,1625529600000,0.2166,0.2313,0.2163,0.2254,35407370.63
63,1625616000000,0.2254,0.245,0.2217,0.2269,32984422.24
64,1625702400000,0.2267,0.2281,0.2105,0.2134,20768294.54
65,1625788800000,0.2137,0.22,0.2023,0.215,11202169.82
66,1625875200000,0.215,0.2271,0.2087,0.2136,6058916.0
