,time,Open,High,Low,Close,Volume
0,1529625600000,3.1498,3.1499,2.4,2.7412,1567922.02
1,1529712000000,2.7409,2.8771,2.688,2.7876,1778679.61
2,1529798400000,2.7877,2.82,2.2185,2.4409,3095295.5
3,1529884800000,2.4403,2.766,2.4402,2.7273,2545400.42
4,1529971200000,2.7273,2.76,2.4841,2.5044,1394247.6
5,1530057600000,2.4912,2.67,2.4401,2.6302,1877480.24
6,1530144000000,2.6302,2.6686,2.299,2.3619,1977290.62
7,1530230400000,2.3654,2.6553,2.3374,2.5605,2102084.83
8,1530316800000,2.5696,2.7301,2.553,2.5911,2295403.05
9,1530403200000,2.5957,2.6546,2.47,2.5578,2206891.96
10,1530489600000,2.5662,2.81,2.5024,2.7533,2515960.94
11,1530576000000,2.7575,2.8822,2.601,2.6404,2712194.39
12,1530662400000,2.6404,2.79,2.601,2.6459,1523047.59
13,1530748800000,2.6409,2.7145,2.43,2.5064,1804103.02
14,1530835200000,2.5064,2.5784,2.38,2.5172,1545613.38
15,1530921600000,2.5285,2.54,2.395,2.5267,1422827.18
16,1531008000000,2.5267,2.6097,2.5004,2.5015,1508000.63
17,1531094400000,2.507,2.54,2.4185,2.4237,1736762.38
18,1531180800000,2.4237,2.4399,2.2,2.214,2003541.8
19,1531267200000,2.214,2.2817,2.103,2.2089,1734265.23
20,1531353600000,2.2199,2.2274,2.0285,2.0896,1815729.51
21,1531440000000,2.0859,2.15,2.0404,2.0897,1633496.44
22,1531526400000,2.0888,2.103,1.78,1.8802,3305703.16
23,1531612800000,1.8861,1.9709,1.8196,1.9193,3201906.97
24,1531699200000,1.9212,1.9606,1.6,1.922,8466204.91
25,1531785600000,1.9255,2.09,1.799,1.9938,5428231.55
26,1531872000000,1.99,2.0834,1.82,1.9169,5893367.96
27,1531958400000,1.912,1.9656,1.7777,1.8032,4337420.66
28,1532044800000,1.8032,1.8081,1.5633,1.6795,6161440.06
29,1532131200000,1.686,1.9026,1.6551,1.865,5353100.58
30,1532217600000,1.8639,1.91,1.7568,1.7955,3106011.12
31,1532304000000,1.7963,1.862,1.7909,1.8319,578711.51
32,1539907200000,0.0001,0.0001,0.0001,0.0001,1224.0
