,time,Open,High,Low,Close,Volume
0,1620172800000,0.18752,0.20888,0.186,0.20705,1859705729.5
1,1620259200000,0.20706,0.2236,0.20074,0.21584,2327072959.7
2,1620345600000,0.21574,0.25,0.21328,0.2306,3948011812.2
3,1620432000000,0.2305,0.23666,0.21858,0.2234,1258764406.0
4,1620518400000,0.2233,0.23744,0.208,0.23386,1659540511.6
5,1620604800000,0.2338,0.23943,0.1875,0.20262,1748580413.6
6,1620691200000,0.20278,0.21354,0.19521,0.21269,1434142949.5
7,1620777600000,0.21269,0.21496,0.16161,0.1666,1788810247.6
8,1620864000000,0.16697,0.18999,0.15571,0.18222,3429911605.6
9,1620950400000,0.18225,0.19287,0.17728,0.18674,1359413440.3
10,1621036800000,0.18663,0.18813,0.16972,0.17254,1506771797.5
11,1621123200000,0.17254,0.19272,0.16019,0.17646,2266154448.2
12,1621209600000,0.17652,0.17752,0.14888,0.15775,2666779589.8
13,1621296000000,0.15773,0.17144,0.15603,0.16183,1913643240.2
14,1621382400000,0.16185,0.16448,0.052,0.10533,8296040530.8
15,1621468800000,0.10533,0.146,0.09,0.13077,5532101820.0
16,1621555200000,0.13074,0.13923,0.09,0.10813,5337110951.8
17,1621641600000,0.1082,0.11182,0.0928,0.09944,3500176289.0
18,1621728000000,0.09953,0.10564,0.0656,0.08638,6261832023.4
19,1621814400000,0.08626,0.11783,0.085,0.1124,5282694200.8
20,1621900800000,0.11244,0.12054,0.10431,0.11267,3441286725.9
21,1621987200000,0.1126,0.1412,0.1096,0.13306,4144591085.2
22,1622073600000,0.13298,0.13595,0.11866,0.1238,2659115741.5
23,1622160000000,0.1238,0.12545,0.10213,0.10815,3457240118.9
24,1622246400000,0.10812,0.114,0.0925,0.09896,2641195002.7
25,1622332800000,0.09896,0.11475,0.0923,0.10752,2592725414.6
26,1622419200000,0.10741,0.12626,0.10203,0.12588,2486990006.3
27,1622505600000,0.12592,0.12973,0.11775,0.12068,2135264727.9
28,1622592000000,0.12063,0.13199,0.11703,0.12573,1643652027.8
