,time,Open,High,Low,Close,Volume
0,1620172800000,1.5629,1.7683,1.55,1.7493,3232229.15
1,1620259200000,1.7482,1.8705,1.7278,1.825,4309077.97
2,1620345600000,1.8273,2.0854,1.7171,1.8618,8837629.52
3,1620432000000,1.8613,2.05,1.8211,1.9347,5487052.01
4,1620518400000,1.9346,2.01,1.774,2.0012,5369132.38
5,1620604800000,1.9989,2.5783,1.9495,2.1364,28506658.25
6,1620691200000,2.1325,2.4651,2.0293,2.2898,11056744.75
7,1620777600000,2.2838,2.3044,1.8,1.8093,6025138.3
8,1620864000000,1.8067,1.9854,1.6371,1.8047,5883627.44
9,1620950400000,1.7914,1.9805,1.7855,1.8978,3344963.6
10,1621036800000,1.8978,1.9356,1.6178,1.642,3582159.76
11,1621123200000,1.6461,1.7976,1.45,1.6022,4650210.84
12,1621209600000,1.6016,1.6578,1.4082,1.4536,5136269.46
13,1621296000000,1.454,1.6,1.4259,1.4648,5072232.35
14,1621382400000,1.4648,1.4916,0.7343,0.9628,9926084.46
15,1621468800000,0.9643,1.1652,0.86,1.0845,7417552.4
16,1621555200000,1.0878,1.1417,0.8149,0.9574,6123549.49
17,1621641600000,0.9585,0.9709,0.8322,0.8654,3931302.04
18,1621728000000,0.8619,0.8976,0.601,0.7146,6347127.61
19,1621814400000,0.7161,1.0,0.6907,0.8998,4119307.92
20,1621900800000,0.8998,0.9623,0.8234,0.9192,3243449.5
21,1621987200000,0.9197,1.0355,0.8988,0.9959,3230651.3
22,1622073600000,0.9946,1.0664,0.8969,0.9994,4515594.05
23,1622160000000,0.9994,1.0243,0.8266,0.8624,3783741.74
24,1622246400000,0.8605,0.8994,0.7708,0.8112,2175011.73
25,1622332800000,0.811,0.8862,0.7679,0.8517,1503924.29
26,1622419200000,0.8512,0.9375,0.8102,0.9272,1864316.1
27,1622505600000,0.9256,0.9433,0.8628,0.8826,1453669.63
28,1622592000000,0.8802,0.9673,0.8623,0.931,2595494.45
29,1622678400000,0.9325,0.9857,0.9212,0.9613,2105912.3
30,1622764800000,0.9633,0.9634,0.8157,0.8624,1977324.07
31,1622851200000,0.8629,0.9019,0.817,0.845,1601353.31
