,time,Open,High,Low,Close,Volume
0,1620172800000,41.595,48.5,41.359,45.531,131341.47
1,1620259200000,45.516,47.999,42.59,44.503,126392.667
2,1620345600000,44.555,46.938,42.686,44.18,116558.378
3,1620432000000,44.181,45.387,42.947,44.128,76089.135
4,1620518400000,44.287,46.5,40.777,42.74,125999.285
5,1620604800000,42.721,44.5,35.501,39.069,172636.043
6,1620691200000,39.054,44.249,37.387,41.436,170974.778
7,1620777600000,41.473,42.658,33.6,34.332,86756.615
8,1620864000000,34.331,37.225,31.3,34.399,84568.429
9,1620950400000,34.399,36.145,33.201,34.769,72846.586
10,1621036800000,34.771,35.466,31.76,31.772,54762.536
11,1621123200000,31.9,43.465,31.76,34.643,428147.172
12,1621209600000,34.645,43.243,31.8,36.329,390586.959
13,1621296000000,36.32,38.25,33.63,34.967,110744.377
14,1621382400000,34.968,36.38,16.51,20.067,203723.832
15,1621468800000,20.023,24.9,17.571,22.645,199296.487
16,1621555200000,22.599,37.5,18.943,22.428,1037903.594
17,1621641600000,22.483,24.781,20.192,21.699,153065.335
18,1621728000000,21.699,22.165,14.155,17.979,170942.259
19,1621814400000,18.002,23.839,17.7,23.056,177342.251
20,1621900800000,23.064,24.0,19.579,22.029,95912.538
21,1621987200000,22.066,24.368,21.327,23.664,112600.563
22,1622073600000,23.664,27.0,21.19,23.168,203551.289
23,1622160000000,23.145,24.155,18.679,19.376,108456.713
24,1622246400000,19.378,20.797,17.159,18.188,76654.555
25,1622332800000,18.177,19.825,17.128,18.927,54862.401
26,1622419200000,18.838,21.987,17.536,21.174,144607.2
27,1622505600000,21.155,21.399,19.385,20.0,76376.41
28,1622592000000,20.09,21.5,19.5,20.952,64964.452
29,1622678400000,20.946,27.089,20.838,23.385,463093.14
30,1622764800000,23.386,23.48,19.079,20.913,157312.869
31,1622851200000,20.873,25.74,20.654,21.613,426913.651
32,1622937600000,21.615,23.5,21.0,21.592,157210.312
33,1623024000000,21.67,22.75,19.0,19.233,103796.568
34,1623110400000,19.233,19.741,16.8,19.33,95982.7
35,1623196800000,19.331,23.795,17.861,23.0,329644.557
36,1623283200000,22.943,23.695,21.063,23.047,172765.514
37,1623369600000,23.048,27.451,20.359,20.633,371337.455
38,1623456000000,20.635,24.0,19.5,21.242,365660.946
39,1623542400000,21.297,22.758,20.216,22.093,104328.607
40,1623628800000,22.113,23.065,21.53,21.99,107568.935
41,1623715200000,21.94,22.998,21.792,22.267,71865.139
42,1623801600000,22.26,23.929,21.625,22.83,147898.517
43,1623888000000,22.874,25.5,21.934,22.349,138907.953
44,1623974400000,22.331,22.436,19.706,20.17,72165.18
45,1624060800000,20.166,20.58,19.283,20.0,59297.176
46,1624147200000,20.075,20.291,17.644,19.442,75252.807
47,1624233600000,19.498,19.637,14.686,14.861,142297.612
48,1624320000000,14.821,17.332,11.5,13.54,238231.251
49,1624406400000,13.583,16.17,13.047,15.614,112647.85
50,1624492800000,15.608,17.19,14.5,15.409,250052.268
51,1624579200000,15.42,15.691,13.1,13.298,84021.586
52,1624665600000,13.256,14.271,12.05,12.821,170540.295
53,1624752000000,12.821,14.5,12.72,13.899,130463.313
54,1624838400000,13.899,14.322,13.466,13.899,75130.113
55,1624924800000,13.922,16.4,13.738,14.885,177613.935
56,1625011200000,14.925,15.273,13.624,14.644,84674.598
57,1625097600000,14.644,14.689,13.219,13.836,62081.779
58,1625184000000,13.725,13.95,12.909,13.824,49663.3
59,1625270400000,13.824,14.229,13.532,13.938,98060.776
60,1625356800000,13.932,14.463,13.606,14.088,37545.914
61,1625443200000,14.085,14.572,13.291,14.118,63184.638
62,1625529600000,14.119,15.25,13.995,15.182,74650.091
63,1625616000000,15.193,16.331,14.898,15.127,90070.557
64,1625702400000,15.072,15.126,13.795,14.014,48103.326
65,1625788800000,14.051,14.688,13.458,14.355,39790.733
66,1625875200000,14.453,14.589,13.567,13.835,21402.647
67,1625961600000,13.835,18.0,13.715,16.679,277073.479
68,1626048000000,16.713,21.5,16.168,19.119,1173715.954
69,1626134400000,19.121,23.3,18.665,19.848,1030468.037
70,1626220800000,19.848,19.901,16.623,17.692,552683.959
71,1626307200000,17.652,19.9,15.798,16.237,237006.393
72,1626393600000,16.237,17.432,14.409,14.734,163705.222
73,1626480000000,14.734,18.9,14.438,16.987,631956.13
74,1626566400000,16.969,17.2,15.551,15.886,168017.967
75,1626652800000,15.886,15.898,14.121,14.515,217742.553
76,1626739200000,14.515,14.659,13.022,13.385,155303.152
77,1626825600000,13.351,15.518,13.157,14.543,206892.479
78,1626912000000,14.497,15.48,14.26,14.936,86136.999
79,1626998400000,14.895,15.484,14.229,14.996,74470.281
80,1627084800000,15.001,16.594,14.852,15.461,135996.379
81,1627171200000,15.433,17.787,15.083,17.536,226125.613
82,1627257600000,17.536,19.4,16.146,16.433,241093.761
83,1627344000000,16.433,17.501,15.6,17.105,209794.839
84,1627430400000,17.127,17.961,16.45,17.121,132992.108
85,1627516800000,17.147,18.61,16.862,17.482,244440.663
86,1627603200000,17.479,17.919,16.437,17.49,91555.174
87,1627689600000,17.5,17.786,17.149,17.282,102619.217
88,1627776000000,17.313,18.387,16.691,16.879,175747.606
89,1627862400000,16.867,17.299,16.47,16.854,81237.572
90,1627948800000,16.832,17.835,16.176,17.284,106684.402
91,1628035200000,17.345,18.127,16.88,17.546,75687.607
92,1628121600000,17.559,19.803,17.444,18.814,184287.728
93,1628208000000,18.884,21.2,18.48,19.51,202616.211
94,1628294400000,19.554,22.898,19.38,21.7,346758.792
95,1628380800000,21.665,24.596,20.254,21.944,406902.202
96,1628467200000,21.936,24.601,20.634,23.064,370415.434
97,1628553600000,23.101,23.994,21.932,23.0,141887.809
98,1628640000000,23.018,24.8,22.197,22.736,209750.337
99,1628726400000,22.728,23.877,21.255,21.45,80967.696
