,time,Open,High,Low,Close,Volume
0,1620172800000,92.639,103.01,91.208,101.712,68659.1
1,1620259200000,101.71,110.584,96.287,102.993,89429.264
2,1620345600000,102.993,102.993,93.567,97.524,41908.685
3,1620432000000,97.524,112.48,96.704,106.702,47690.549
4,1620518400000,107.256,124.36,106.1,118.113,117057.444
5,1620604800000,118.209,123.0,99.102,107.666,62842.818
6,1620691200000,107.694,115.326,102.95,112.755,45986.743
7,1620777600000,112.717,134.2,104.8,106.262,121599.076
8,1620864000000,106.262,116.993,95.505,105.072,86113.207
9,1620950400000,104.725,115.447,99.603,108.51,42896.244
10,1621036800000,108.401,111.156,92.111,94.719,67958.013
11,1621123200000,94.718,104.799,91.1,99.996,53741.265
12,1621209600000,99.996,100.14,89.005,93.9,47748.435
13,1621296000000,93.797,104.9,90.907,93.799,36286.228
14,1621382400000,94.087,95.406,43.102,76.283,100920.992
15,1621468800000,76.183,93.894,64.5,91.741,111014.284
16,1621555200000,91.769,95.603,67.866,77.604,102846.458
17,1621641600000,77.339,81.054,63.4,64.852,58454.533
18,1621728000000,65.222,67.707,49.75,59.163,41659.341
19,1621814400000,59.162,72.589,58.809,72.486,36424.025
20,1621900800000,72.24,76.545,68.0,74.404,40640.444
21,1621987200000,74.412,83.498,73.175,82.394,52485.264
22,1622073600000,83.119,86.854,77.0,81.544,32002.296
23,1622160000000,81.302,82.309,71.02,72.858,53931.055
24,1622246400000,72.858,74.151,63.673,67.015,49633.055
25,1622332800000,67.016,75.601,65.767,73.181,27263.415
26,1622419200000,73.181,74.261,64.711,72.13,58011.734
27,1622505600000,72.461,73.756,69.449,73.103,23365.47
28,1622592000000,73.102,76.601,70.317,76.0,31116.729
29,1622678400000,76.001,78.681,74.875,78.681,12525.077
30,1622764800000,78.681,78.7,69.378,75.573,14673.924
31,1622851200000,75.572,78.867,70.069,72.321,24798.255
32,1622937600000,72.321,77.532,72.182,76.981,25926.992
33,1623024000000,76.983,85.0,71.671,72.665,47593.728
34,1623110400000,72.665,75.764,63.665,72.567,44899.052
35,1623196800000,72.567,73.374,65.76,68.82,59468.939
36,1623283200000,68.819,68.892,63.923,64.869,55731.083
37,1623369600000,64.869,66.783,58.669,60.211,23022.387
38,1623456000000,60.211,64.037,57.544,59.679,25751.092
39,1623542400000,59.8,65.104,58.461,63.377,8739.831
40,1623628800000,63.303,66.128,62.152,65.16,19959.748
41,1623715200000,65.163,69.009,63.602,64.743,13668.555
42,1623801600000,64.59,66.542,60.225,60.451,14677.578
43,1623888000000,60.459,63.011,59.59,60.691,7438.723
44,1623974400000,60.523,64.77,55.601,56.878,63414.905
45,1624060800000,57.052,58.383,55.325,55.852,6119.779
46,1624147200000,55.842,59.183,52.473,58.325,7908.309
47,1624233600000,58.448,58.554,45.972,48.694,19761.594
48,1624320000000,48.912,49.673,41.019,44.854,29049.786
49,1624406400000,44.815,62.34,43.823,54.863,220825.429
