,time,Open,High,Low,Close,Volume
0,1620172800000,2.3054,2.6022,2.275,2.3816,21530961.8
1,1620259200000,2.38,2.4983,2.1878,2.2885,23283426.54
2,1620345600000,2.2844,2.7,2.2001,2.459,29709022.47
3,1620432000000,2.4538,2.867,2.3741,2.5334,34452634.65
4,1620518400000,2.5328,2.5634,2.292,2.467,14117461.93
5,1620604800000,2.4669,2.5415,2.1907,2.2799,13488333.93
6,1620691200000,2.2766,2.5,2.188,2.3166,15014845.81
7,1620777600000,2.3189,2.43,1.9,1.9111,14370270.67
8,1620864000000,1.9066,2.183,1.7607,2.0007,19760272.92
9,1620950400000,2.0062,2.23,1.972,2.1193,10595809.37
10,1621036800000,2.1195,2.185,1.89,1.9086,10411082.22
11,1621123200000,1.9085,2.4687,1.893,2.1039,24815765.56
12,1621209600000,2.1041,2.1258,1.823,1.9852,16269350.58
13,1621296000000,1.9906,2.1046,1.9301,1.9767,10548085.05
14,1621382400000,1.9755,2.0053,0.8,1.2825,34553141.18
15,1621468800000,1.2761,1.5658,1.101,1.3932,20449045.92
16,1621555200000,1.3973,1.5124,1.01,1.2323,19063131.63
17,1621641600000,1.2347,1.28,1.0105,1.0626,14950820.53
18,1621728000000,1.0655,1.0992,0.675,0.8757,29447964.33
19,1621814400000,0.8798,1.9499,0.825,1.5474,64269058.89
20,1621900800000,1.5474,1.7805,1.3508,1.5817,53447826.18
21,1621987200000,1.5789,1.7488,1.497,1.6035,19960318.54
22,1622073600000,1.6036,1.6074,1.4156,1.4533,14714931.13
23,1622160000000,1.4533,1.4708,1.1959,1.2726,18193270.09
24,1622246400000,1.2731,1.523,1.205,1.3342,22096189.35
25,1622332800000,1.3342,1.39,1.2362,1.3144,11661289.03
26,1622419200000,1.3167,2.3582,1.2601,1.8353,119532976.11
27,1622505600000,1.8345,2.29,1.8014,1.8295,116487515.25
28,1622592000000,1.8258,1.91,1.7531,1.7949,30659457.82
29,1622678400000,1.7949,2.183,1.7558,1.9732,43681190.19
30,1622764800000,1.9732,1.9747,1.64,1.7603,28422800.72
31,1622851200000,1.7602,1.946,1.6524,1.7133,19157458.71
32,1622937600000,1.7175,1.7758,1.6869,1.7439,7948880.76
33,1623024000000,1.7422,1.8299,1.5205,1.5544,14482384.14
34,1623110400000,1.5512,1.5964,1.3,1.542,23641288.04
35,1623196800000,1.542,1.71,1.4044,1.6647,17836602.03
36,1623283200000,1.665,2.0763,1.5285,1.7563,55939888.28
37,1623369600000,1.751,1.9489,1.5139,1.553,38679878.18
38,1623456000000,1.5579,1.6058,1.4381,1.5636,16010447.65
39,1623542400000,1.5636,1.6904,1.5236,1.6398,13742891.85
40,1623628800000,1.6392,1.7,1.6125,1.6429,11282917.87
41,1623715200000,1.6443,1.6739,1.5928,1.603,9978684.49
42,1623801600000,1.6017,1.6288,1.5201,1.5697,8902231.81
43,1623888000000,1.5705,1.6079,1.5,1.5353,5891991.98
44,1623974400000,1.5349,1.55,1.4,1.4327,7860093.76
45,1624060800000,1.4325,1.4875,1.4024,1.406,5721272.92
46,1624147200000,1.4049,1.4441,1.2937,1.4205,11165827.84
47,1624233600000,1.4182,1.4324,1.0747,1.0913,18039627.77
48,1624320000000,1.0888,1.2238,0.9034,1.0808,25473744.11
49,1624406400000,1.0808,1.2969,1.0351,1.2234,14397271.68
50,1624492800000,1.2234,1.25,1.1484,1.211,9584555.9
51,1624579200000,1.2112,1.25,1.1048,1.1135,9313333.06
52,1624665600000,1.1128,1.1433,1.0334,1.113,9719903.64
53,1624752000000,1.1133,1.1609,1.0748,1.1586,6426440.33
54,1624838400000,1.1588,1.1878,1.12,1.1677,6803292.52
55,1624924800000,1.1681,1.32,1.1638,1.2107,9931852.52
56,1625011200000,1.2092,1.2232,1.1209,1.1998,7766332.95
57,1625097600000,1.1996,1.1997,1.1162,1.1253,6414515.24
58,1625184000000,1.124,1.143,1.082,1.1314,4571884.95
59,1625270400000,1.1293,1.1786,1.1101,1.15,3142881.84
60,1625356800000,1.15,1.2877,1.1022,1.1848,15562147.89
61,1625443200000,1.185,1.1935,1.121,1.1284,7861159.64
62,1625529600000,1.1284,1.1953,1.1284,1.1516,7119575.21
63,1625616000000,1.1528,1.19,1.1367,1.1488,8617135.46
64,1625702400000,1.1493,1.1555,1.06,1.0694,8825615.26
65,1625788800000,1.0675,1.1149,1.021,1.1003,4940920.25
66,1625875200000,1.1003,1.1171,1.0552,1.0699,2627927.27
67,1625961600000,1.0704,1.145,1.0601,1.123,4429989.02
68,1626048000000,1.124,1.1346,1.055,1.0737,3888608.44
69,1626134400000,1.0712,1.14,1.0251,1.0405,8360191.97
70,1626220800000,1.0396,1.0633,0.9648,1.0348,6670758.11
71,1626307200000,1.0348,1.0533,0.975,0.9911,6415858.87
72,1626393600000,0.9893,1.0189,0.9043,0.96,7270622.32
73,1626480000000,0.9624,0.9893,0.915,0.9419,3869551.09
74,1626566400000,0.9412,1.01,0.9333,0.972,5660171.93
75,1626652800000,0.9717,0.9717,0.9071,0.9095,3387018.33
76,1626739200000,0.9095,0.9237,0.8069,0.8504,7594243.17
77,1626825600000,0.8521,0.9586,0.8258,0.9134,6163257.54
78,1626912000000,0.9132,0.948,0.8921,0.9212,3650545.76
79,1626998400000,0.9212,0.9675,0.9017,0.9505,4554271.93
80,1627084800000,0.9501,1.0185,0.9352,0.9771,6688656.24
81,1627171200000,0.9766,0.9881,0.9253,0.9689,4498660.6
82,1627257600000,0.9668,1.1039,0.965,1.002,14313744.43
83,1627344000000,1.0018,1.0331,0.958,1.0172,7034824.22
84,1627430400000,1.0174,1.28,1.0008,1.1558,43116664.27
85,1627516800000,1.1544,1.1566,1.0956,1.13,9703300.57
86,1627603200000,1.13,1.15,1.068,1.1374,8687183.89
87,1627689600000,1.1369,1.1421,1.0951,1.1251,5060340.99
88,1627776000000,1.1267,1.1619,1.0756,1.0855,7480466.41
89,1627862400000,1.0855,1.1299,1.0653,1.0869,5760626.4
90,1627948800000,1.0881,1.0926,1.0329,1.0512,4097806.32
91,1628035200000,1.0516,1.1069,1.03,1.0926,4394360.5
92,1628121600000,1.0916,1.1148,1.052,1.1085,5822572.04
93,1628208000000,1.1104,1.1799,1.0812,1.1661,12910713.7
94,1628294400000,1.1669,1.27,1.1371,1.2095,17031372.0
95,1628380800000,1.2095,1.245,1.125,1.1425,8790512.13
96,1628467200000,1.1438,1.4797,1.111,1.4022,46572434.64
97,1628553600000,1.4005,1.4355,1.3296,1.3696,17777797.72
98,1628640000000,1.3692,1.59,1.3678,1.446,21901280.91
99,1628726400000,1.4461,1.5205,1.38,1.388,7468463.55
