,time,Open,High,Low,Close,Volume
0,1620172800000,1.5675,1.7423,1.538,1.7087,4378207.03
1,1620259200000,1.7094,1.975,1.6211,1.8788,8174260.88
2,1620345600000,1.8771,2.4159,1.8403,1.948,33155255.42
3,1620432000000,1.948,2.32,1.8819,2.1434,16554256.27
4,1620518400000,2.1418,2.2323,1.9319,1.9648,10476261.87
5,1620604800000,1.9662,2.092,1.6611,1.7714,9299075.57
6,1620691200000,1.769,1.9356,1.675,1.8622,6809366.32
7,1620777600000,1.8651,2.1,1.6146,1.6332,10759152.6
8,1620864000000,1.6297,1.7978,1.5138,1.6476,5014413.94
9,1620950400000,1.6476,1.9848,1.6357,1.8785,8203712.65
10,1621036800000,1.8796,1.909,1.6028,1.6239,6321836.36
11,1621123200000,1.6279,1.7905,1.499,1.6398,7081872.37
12,1621209600000,1.6398,1.6447,1.389,1.4438,6225898.7
13,1621296000000,1.4472,1.5736,1.42,1.4554,4865947.4
14,1621382400000,1.4592,1.485,0.76,0.9301,10552586.74
15,1621468800000,0.9353,1.1395,0.8227,1.0648,4575545.77
16,1621555200000,1.065,1.1165,0.7374,0.8782,5525517.62
17,1621641600000,0.8852,0.9184,0.7633,0.833,3600290.54
18,1621728000000,0.8386,0.8843,0.53,0.661,6861487.97
19,1621814400000,0.6603,0.8462,0.6387,0.8238,4439472.27
20,1621900800000,0.8195,0.8999,0.7458,0.8846,3720575.59
21,1621987200000,0.8882,0.9897,0.8727,0.9858,3890861.66
22,1622073600000,0.9838,0.9859,0.858,0.9245,4018806.28
23,1622160000000,0.9239,0.9381,0.7328,0.7877,3574602.67
24,1622246400000,0.7866,0.8679,0.7081,0.7516,3837522.68
25,1622332800000,0.7498,0.8447,0.7012,0.8043,2808793.25
26,1622419200000,0.8044,0.8624,0.7501,0.8603,2789398.26
27,1622505600000,0.8558,0.8778,0.8022,0.8198,2048823.17
28,1622592000000,0.8197,0.9265,0.7946,0.8895,4175569.39
29,1622678400000,0.891,0.9295,0.8742,0.9076,3994433.84
30,1622764800000,0.9075,0.9076,0.7633,0.7956,4554386.12
31,1622851200000,0.7971,0.8452,0.729,0.7587,3545252.8
32,1622937600000,0.7577,0.8193,0.7517,0.7859,2907602.9
33,1623024000000,0.786,0.82,0.69,0.7003,2575115.06
34,1623110400000,0.7015,0.7321,0.6288,0.7228,3397383.16
35,1623196800000,0.7178,0.9047,0.6876,0.8476,9916056.42
36,1623283200000,0.8477,0.8593,0.7404,0.7673,4695216.39
37,1623369600000,0.7676,0.7818,0.7006,0.7051,2338123.27
38,1623456000000,0.7032,0.7427,0.6564,0.6935,2717512.47
39,1623542400000,0.6967,0.745,0.67,0.74,3426976.02
40,1623628800000,0.7393,0.7768,0.7153,0.7545,2694246.28
41,1623715200000,0.7545,0.7651,0.7191,0.7417,2690440.94
42,1623801600000,0.7408,0.8116,0.7184,0.7559,5952295.44
43,1623888000000,0.7559,0.795,0.7283,0.7556,2852034.75
44,1623974400000,0.7567,0.8239,0.6638,0.7523,11192192.58
45,1624060800000,0.7528,0.8124,0.7051,0.7061,6921239.88
46,1624147200000,0.7055,0.725,0.6488,0.6964,4178729.49
47,1624233600000,0.6979,0.7027,0.5195,0.5208,6230760.14
48,1624320000000,0.5199,0.5544,0.4211,0.4899,5853604.11
49,1624406400000,0.4909,0.5627,0.475,0.5299,3987896.79
50,1624492800000,0.53,0.5816,0.5026,0.5582,3167027.66
51,1624579200000,0.5608,0.5699,0.4791,0.49,3882916.55
52,1624665600000,0.4869,0.4998,0.455,0.4888,2753672.11
53,1624752000000,0.4877,0.535,0.4657,0.4991,9897581.81
54,1624838400000,0.4974,0.5499,0.4864,0.5268,3022139.99
55,1624924800000,0.5279,0.5984,0.5269,0.5924,4406983.54
56,1625011200000,0.5922,0.5923,0.5256,0.5793,2691207.91
57,1625097600000,0.5791,0.585,0.5279,0.5525,2736443.03
58,1625184000000,0.5499,0.5712,0.5061,0.5708,2290793.42
59,1625270400000,0.5693,0.7099,0.557,0.6405,9925936.59
60,1625356800000,0.6423,0.6423,0.5925,0.6058,4625276.38
61,1625443200000,0.6051,0.6084,0.5643,0.5713,2282789.09
62,1625529600000,0.5701,0.6118,0.5701,0.5912,11734840.49
63,1625616000000,0.591,0.6249,0.5781,0.5809,5195630.22
64,1625702400000,0.5792,0.5828,0.5166,0.5272,2225049.62
65,1625788800000,0.5255,0.5435,0.5044,0.5416,1587087.61
66,1625875200000,0.5408,0.5478,0.5128,0.5206,1029391.88
67,1625961600000,0.5219,0.5633,0.518,0.5513,1108478.32
68,1626048000000,0.5513,0.5544,0.53,0.5381,1420859.08
69,1626134400000,0.5381,0.5405,0.5063,0.5123,1350926.04
70,1626220800000,0.5119,0.5472,0.4891,0.5367,2254921.13
71,1626307200000,0.5368,0.5467,0.4957,0.5108,2224440.9
72,1626393600000,0.5108,0.5259,0.4856,0.4912,1280142.4
73,1626480000000,0.4901,0.5013,0.4807,0.4868,1001412.2
74,1626566400000,0.4849,0.5029,0.4819,0.4911,865559.96
75,1626652800000,0.4901,0.491,0.4493,0.4536,756374.14
76,1626739200000,0.455,0.4589,0.4074,0.4307,1910408.38
77,1626825600000,0.4316,0.588,0.4231,0.5006,11225989.2
78,1626912000000,0.5006,0.5355,0.4821,0.4917,3335117.81
79,1626998400000,0.4935,0.587,0.4914,0.5221,8206700.64
80,1627084800000,0.5225,0.5399,0.5144,0.5234,1911376.9
81,1627171200000,0.5231,0.5689,0.5018,0.5385,3769676.19
82,1627257600000,0.5398,0.5803,0.5263,0.531,3318640.74
83,1627344000000,0.5311,0.5548,0.515,0.5462,2807533.83
84,1627430400000,0.5447,0.5812,0.535,0.5558,6111165.44
85,1627516800000,0.5579,0.586,0.5534,0.5723,5168793.99
86,1627603200000,0.5727,0.5837,0.5439,0.5729,1813633.65
87,1627689600000,0.5745,0.6049,0.5663,0.5866,2232545.22
88,1627776000000,0.5874,0.6188,0.5622,0.5667,4525180.94
89,1627862400000,0.5672,0.577,0.5508,0.569,1834350.44
90,1627948800000,0.569,0.5782,0.5275,0.5361,3950033.74
91,1628035200000,0.5373,0.5771,0.5296,0.5715,1627189.19
92,1628121600000,0.5712,0.6222,0.5616,0.6197,2909491.79
93,1628208000000,0.62,0.67,0.6011,0.6544,3072998.34
94,1628294400000,0.6545,0.7174,0.6361,0.6864,5351857.02
95,1628380800000,0.6856,0.74,0.638,0.6587,3984395.75
96,1628467200000,0.659,0.7093,0.6338,0.684,6845429.96
97,1628553600000,0.684,0.75,0.6483,0.6906,9367272.48
98,1628640000000,0.6907,0.745,0.6799,0.7069,5892871.9
99,1628726400000,0.7069,0.7394,0.6861,0.6916,1844712.74
