,time,Open,High,Low,Close,Volume
0,1620172800000,0.3094,0.39,0.305,0.3714,289010933.41
1,1620259200000,0.3715,0.4078,0.356,0.3878,363770985.5
2,1620345600000,0.3878,0.4313,0.3589,0.3972,362971967.75
3,1620432000000,0.397,0.4056,0.3771,0.3811,138512750.74
4,1620518400000,0.3815,0.3942,0.348,0.3767,159382367.54
5,1620604800000,0.3765,0.387,0.3136,0.3337,198915470.83
6,1620691200000,0.3337,0.3635,0.3214,0.3593,132945215.29
7,1620777600000,0.3594,0.3708,0.2895,0.3,174118938.24
8,1620864000000,0.2997,0.3244,0.2808,0.3093,199004159.45
9,1620950400000,0.3092,0.3289,0.3038,0.3194,96743624.85
10,1621036800000,0.3194,0.3248,0.2952,0.2971,104972079.99
11,1621123200000,0.2969,0.3264,0.2813,0.2993,125835959.34
12,1621209600000,0.2993,0.2998,0.2576,0.2754,137509660.68
13,1621296000000,0.2754,0.2928,0.2726,0.2886,104017645.47
14,1621382400000,0.2885,0.292,0.15,0.1917,330785009.62
15,1621468800000,0.1918,0.2489,0.171,0.2235,170320496.04
16,1621555200000,0.2233,0.2389,0.1785,0.2026,135816972.93
17,1621641600000,0.2026,0.216,0.1825,0.1933,99715247.34
18,1621728000000,0.1933,0.1986,0.1355,0.1625,126432398.2
19,1621814400000,0.1626,0.1937,0.1555,0.1924,149984363.19
20,1621900800000,0.1925,0.1974,0.1695,0.1888,115421174.0
21,1621987200000,0.1886,0.2145,0.1853,0.2143,111176920.52
22,1622073600000,0.2144,0.218,0.195,0.2044,86591156.7
23,1622160000000,0.2044,0.2076,0.1739,0.1803,96376493.04
24,1622246400000,0.1805,0.1894,0.1687,0.1757,58352479.4
25,1622332800000,0.1756,0.1875,0.1662,0.182,55272697.46
26,1622419200000,0.182,0.198,0.1721,0.1951,59866842.86
27,1622505600000,0.1952,0.1973,0.181,0.1884,60850512.99
28,1622592000000,0.1884,0.1976,0.184,0.1948,45036970.68
29,1622678400000,0.1948,0.207,0.191,0.2069,64157833.94
30,1622764800000,0.207,0.207,0.1784,0.1872,76745789.09
31,1622851200000,0.1874,0.1954,0.1758,0.1807,73195949.44
32,1622937600000,0.1808,0.1903,0.1795,0.1876,53319764.05
33,1623024000000,0.1876,0.1928,0.1691,0.1713,61688905.32
34,1623110400000,0.1713,0.1731,0.1536,0.1645,63005287.26
35,1623196800000,0.1646,0.1756,0.1579,0.1743,65650167.05
36,1623283200000,0.1744,0.1775,0.166,0.1701,49442915.54
37,1623369600000,0.1703,0.1735,0.1618,0.1641,49821480.5
38,1623456000000,0.1641,0.1641,0.1527,0.1573,50550524.08
39,1623542400000,0.1575,0.1676,0.1535,0.1656,35171576.89
40,1623628800000,0.1656,0.1741,0.1622,0.1734,56961730.46
41,1623715200000,0.1733,0.1809,0.1685,0.1761,55772418.35
42,1623801600000,0.1761,0.1768,0.1631,0.165,55647119.17
43,1623888000000,0.165,0.1701,0.1589,0.1627,27381539.73
44,1623974400000,0.1628,0.1632,0.1467,0.1522,51764051.87
45,1624060800000,0.1522,0.1531,0.1468,0.147,36043559.49
46,1624147200000,0.1469,0.1476,0.1326,0.1422,74217451.53
47,1624233600000,0.1423,0.1437,0.1063,0.1065,139445827.0
48,1624320000000,0.1066,0.1118,0.0852,0.0962,183067450.59
49,1624406400000,0.0963,0.1176,0.0914,0.1128,110312236.12
50,1624492800000,0.1128,0.1183,0.1059,0.1169,59309730.86
51,1624579200000,0.1169,0.1198,0.1053,0.1057,82045134.01
52,1624665600000,0.1057,0.1101,0.1016,0.1081,64455359.18
53,1624752000000,0.1081,0.1141,0.1055,0.1127,53168123.04
54,1624838400000,0.1129,0.118,0.11,0.117,63655659.87
55,1624924800000,0.1171,0.1351,0.1164,0.1285,104108020.55
56,1625011200000,0.1284,0.136,0.1192,0.1348,115725648.24
57,1625097600000,0.1348,0.1363,0.1237,0.1279,67993378.84
58,1625184000000,0.1279,0.1316,0.1232,0.1315,46044698.9
59,1625270400000,0.1314,0.1366,0.1281,0.1347,33211829.07
60,1625356800000,0.1348,0.1403,0.1298,0.1376,39997418.76
61,1625443200000,0.1376,0.1376,0.1253,0.1305,66620882.16
62,1625529600000,0.1305,0.138,0.1285,0.1335,57228260.3
63,1625616000000,0.1335,0.1358,0.1307,0.1324,50447683.38
64,1625702400000,0.1324,0.1325,0.1206,0.1221,45152617.48
65,1625788800000,0.122,0.1246,0.1151,0.1238,37787923.85
66,1625875200000,0.1237,0.1253,0.1185,0.1211,30118273.49
67,1625961600000,0.1211,0.124,0.1183,0.1225,40167587.33
68,1626048000000,0.1226,0.1249,0.1171,0.1197,30927794.95
69,1626134400000,0.1197,0.1206,0.1133,0.1162,29847042.27
70,1626220800000,0.1162,0.1179,0.1074,0.1148,40449816.29
71,1626307200000,0.1149,0.1251,0.1124,0.1219,93222948.09
72,1626393600000,0.122,0.1509,0.1193,0.1396,515207936.16
73,1626480000000,0.1395,0.17,0.1385,0.1582,457226982.04
74,1626566400000,0.1583,0.1627,0.1408,0.1424,224639772.27
75,1626652800000,0.1424,0.1557,0.1276,0.13,219930347.49
76,1626739200000,0.1299,0.1354,0.112,0.1292,226876620.63
77,1626825600000,0.1293,0.1417,0.1202,0.1386,133186605.79
78,1626912000000,0.1387,0.1481,0.1334,0.1434,121533299.39
79,1626998400000,0.1434,0.1477,0.1357,0.144,84953737.92
80,1627084800000,0.1441,0.1487,0.1411,0.1456,80404942.43
81,1627171200000,0.1454,0.1535,0.1399,0.1486,119514669.28
82,1627257600000,0.1486,0.1724,0.1476,0.1515,131021672.73
83,1627344000000,0.1514,0.1652,0.1494,0.1597,118288574.47
84,1627430400000,0.1597,0.167,0.155,0.1612,66935457.48
85,1627516800000,0.1612,0.1693,0.1564,0.1681,62018009.7
86,1627603200000,0.1682,0.1737,0.1575,0.1735,60494159.26
87,1627689600000,0.1734,0.179,0.1669,0.1761,57256786.73
88,1627776000000,0.1761,0.1854,0.1676,0.1694,61098673.72
89,1627862400000,0.1691,0.1736,0.1648,0.1696,35715604.11
90,1627948800000,0.1696,0.172,0.1578,0.1624,32696934.51
91,1628035200000,0.1625,0.1682,0.1573,0.1659,27536379.22
92,1628121600000,0.166,0.17,0.1594,0.1687,36176796.08
93,1628208000000,0.1688,0.1744,0.1649,0.1727,36959853.09
94,1628294400000,0.1727,0.1871,0.1711,0.1862,71541509.75
95,1628380800000,0.1863,0.189,0.1728,0.1752,45351478.26
96,1628467200000,0.1754,0.1876,0.1692,0.183,44086469.07
97,1628553600000,0.1829,0.1922,0.1774,0.189,67505677.75
98,1628640000000,0.1889,0.205,0.188,0.1953,100157750.85
99,1628726400000,0.1952,0.2043,0.1861,0.1882,41836465.63
