,time,Open,High,Low,Close,Volume
0,1620172800000,7.923,11.546,7.743,11.546,1097149.09
1,1620259200000,11.485,15.193,10.579,13.267,2103801.91
2,1620345600000,13.271,14.98,11.077,12.252,1258151.17
3,1620432000000,12.251,12.679,10.995,11.449,368025.97
4,1620518400000,11.4,12.197,9.6,11.953,882912.95
5,1620604800000,11.901,18.821,10.406,12.569,3513321.22
6,1620691200000,12.582,16.334,10.894,15.961,1891362.11
7,1620777600000,15.964,16.101,7.896,8.729,2687540.09
8,1620864000000,8.729,9.722,6.0,9.563,4568964.62
9,1620950400000,9.564,10.7,9.149,9.876,2066979.07
10,1621036800000,9.876,11.444,9.427,9.995,2206164.31
11,1621123200000,10.008,12.622,9.239,10.472,2179091.08
12,1621209600000,10.473,10.691,8.102,8.71,2031950.27
13,1621296000000,8.733,10.228,8.43,8.788,1428959.07
14,1621382400000,8.82,9.054,0.04,0.322,162979431.67
15,1621468800000,0.321,0.418,0.266,0.373,21528992.65
16,1621555200000,0.374,0.395,0.234,0.291,12749693.52
17,1621641600000,0.29,0.292,0.227,0.255,6181498.84
18,1621728000000,0.254,0.269,0.147,0.216,22531241.36
19,1621814400000,0.216,0.295,0.212,0.283,33921527.48
20,1621900800000,0.282,0.306,0.249,0.272,14109348.39
21,1621987200000,0.274,0.316,0.263,0.287,11743785.46
22,1622073600000,0.286,0.292,0.251,0.261,10828172.44
23,1622160000000,0.26,0.268,0.207,0.239,21991689.89
24,1622246400000,0.239,0.25,0.188,0.208,11557326.9
25,1622332800000,0.21,0.237,0.193,0.216,9072417.4
26,1622419200000,0.215,0.245,0.207,0.239,8989945.04
27,1622505600000,0.239,0.279,0.223,0.253,21568103.79
28,1622592000000,0.254,0.269,0.241,0.254,15798770.73
29,1622678400000,0.253,0.269,0.247,0.26,15751395.01
30,1622764800000,0.26,0.26,0.202,0.217,13476264.3
31,1622851200000,0.219,0.241,0.195,0.208,14902826.23
32,1622937600000,0.208,0.225,0.204,0.216,4461528.32
33,1623024000000,0.216,0.229,0.169,0.174,7305910.82
34,1623110400000,0.174,0.183,0.131,0.176,18055628.14
35,1623196800000,0.175,0.192,0.147,0.192,17510996.85
36,1623283200000,0.192,0.193,0.157,0.164,11177082.16
37,1623369600000,0.165,0.169,0.139,0.143,8702614.34
38,1623456000000,0.143,0.169,0.125,0.154,35610157.59
39,1623542400000,0.155,0.171,0.139,0.168,28534002.41
40,1623628800000,0.168,0.172,0.151,0.165,50662883.22
41,1623715200000,0.166,0.172,0.153,0.158,30003403.92
42,1623801600000,0.157,0.165,0.139,0.142,31434533.34
43,1623888000000,0.142,0.153,0.134,0.14,15674983.98
44,1623974400000,0.14,0.141,0.113,0.123,30589009.59
45,1624060800000,0.122,0.131,0.116,0.116,21031473.12
46,1624147200000,0.115,0.125,0.099,0.124,29393130.0
47,1624233600000,0.124,0.128,0.065,0.067,154543859.98
48,1624320000000,0.067,0.083,0.041,0.062,427910224.74
49,1624406400000,0.062,0.086,0.056,0.075,172543649.23
50,1624492800000,0.076,0.088,0.067,0.084,87480044.54
51,1624579200000,0.085,0.088,0.063,0.064,125227343.58
52,1624665600000,0.064,0.07,0.055,0.07,156490677.29
53,1624752000000,0.07,0.077,0.063,0.075,70233787.25
54,1624838400000,0.076,0.084,0.074,0.08,52299832.6
55,1624924800000,0.08,0.103,0.078,0.094,62943619.34
56,1625011200000,0.094,0.097,0.081,0.095,52331328.62
57,1625097600000,0.095,0.096,0.076,0.084,54713718.61
58,1625184000000,0.084,0.087,0.07,0.079,32676583.75
59,1625270400000,0.079,0.084,0.075,0.079,17964669.08
60,1625356800000,0.079,0.085,0.075,0.082,22119003.76
61,1625443200000,0.081,0.081,0.069,0.071,33373438.1
62,1625529600000,0.072,0.082,0.07,0.075,41145311.22
63,1625616000000,0.076,0.08,0.073,0.073,27605763.27
64,1625702400000,0.073,0.074,0.061,0.063,88013632.47
65,1625788800000,0.063,0.068,0.056,0.065,95288310.47
66,1625875200000,0.065,0.07,0.06,0.064,44031044.79
67,1625961600000,0.065,0.067,0.061,0.065,27859068.05
68,1626048000000,0.065,0.069,0.058,0.061,30330187.44
69,1626134400000,0.06,0.063,0.053,0.056,46981113.97
70,1626220800000,0.056,0.063,0.048,0.06,91408302.64
71,1626307200000,0.061,0.062,0.052,0.061,57691551.43
72,1626393600000,0.061,0.071,0.055,0.056,134059884.62
73,1626480000000,0.057,0.059,0.052,0.056,71886435.47
74,1626566400000,0.056,0.06,0.051,0.054,38150286.08
75,1626652800000,0.053,0.055,0.042,0.043,70903705.63
