,time,Open,High,Low,Close,Volume
0,1620172800000,16.999,21.884,16.6,21.659,2349503.27
1,1620259200000,21.561,24.673,19.318,21.13,3223230.13
2,1620345600000,21.231,22.88,19.092,20.607,1803667.63
3,1620432000000,20.607,21.511,19.708,20.216,1060254.43
4,1620518400000,20.136,20.869,17.1,19.462,1719012.3
5,1620604800000,19.534,21.509,12.541,16.121,3058136.42
6,1620691200000,16.169,18.195,15.401,17.946,2289713.04
7,1620777600000,17.942,19.384,12.755,13.496,2746448.9
8,1620864000000,13.485,15.956,11.9,15.401,3057150.44
9,1620950400000,15.407,17.0,14.544,16.074,1806605.78
10,1621036800000,16.035,19.768,14.514,17.916,3461875.58
11,1621123200000,17.835,20.116,14.99,17.084,3518162.42
12,1621209600000,17.065,19.54,14.736,17.841,3319991.29
13,1621296000000,17.901,21.641,17.438,19.57,4416723.89
14,1621382400000,19.54,20.691,4.5,8.4,43538382.44
15,1621468800000,8.365,9.689,6.05,8.843,20057477.25
16,1621555200000,8.863,9.268,4.765,6.499,7838990.94
17,1621641600000,6.467,6.587,4.208,5.002,6930783.8
18,1621728000000,5.017,5.516,3.0,4.03,12074623.74
19,1621814400000,4.039,5.576,3.782,5.556,5004153.53
20,1621900800000,5.521,6.083,4.6,5.384,4094143.63
21,1621987200000,5.383,6.208,5.157,5.857,2801157.32
22,1622073600000,5.859,5.98,5.042,5.4,1988263.49
23,1622160000000,5.4,5.484,4.302,4.77,3034926.13
24,1622246400000,4.754,5.121,3.875,4.19,2072924.01
25,1622332800000,4.194,5.047,3.9,4.824,1813481.85
26,1622419200000,4.815,5.981,4.608,5.919,4136735.12
27,1622505600000,5.908,6.38,5.4,5.678,2575312.7
28,1622592000000,5.678,5.987,5.43,5.784,1667063.36
29,1622678400000,5.781,6.215,5.607,5.945,1587389.2
30,1622764800000,5.95,5.958,4.93,5.348,2301151.33
31,1622851200000,5.333,5.588,4.656,4.941,1731600.68
32,1622937600000,4.955,5.199,4.899,5.162,1022914.69
33,1623024000000,5.162,5.437,4.152,4.398,2171607.03
34,1623110400000,4.375,4.607,3.633,4.488,3349101.11
35,1623196800000,4.49,4.974,4.071,4.974,2253739.09
36,1623283200000,4.977,5.055,4.287,4.462,1800371.61
37,1623369600000,4.46,5.0,4.11,4.235,1395986.51
38,1623456000000,4.244,4.247,3.821,4.091,1291253.79
39,1623542400000,4.101,4.617,3.951,4.572,806843.21
40,1623628800000,4.572,5.0,4.386,4.629,1383414.55
41,1623715200000,4.634,4.739,4.336,4.42,1333038.15
42,1623801600000,4.418,4.49,4.061,4.117,1046967.74
43,1623888000000,4.123,4.375,4.043,4.195,827332.3
44,1623974400000,4.195,4.228,3.55,3.799,1862354.86
45,1624060800000,3.813,3.886,3.412,3.47,1316726.03
46,1624147200000,3.47,3.67,2.91,3.581,3084328.35
47,1624233600000,3.599,3.633,2.123,2.16,6386702.64
48,1624320000000,2.163,2.49,1.436,1.702,18497720.15
49,1624406400000,1.707,2.531,1.52,2.336,12951482.99
50,1624492800000,2.335,2.743,2.182,2.601,6970230.55
51,1624579200000,2.601,2.708,2.071,2.138,7631959.15
52,1624665600000,2.135,2.297,1.906,2.175,6495821.95
53,1624752000000,2.175,2.446,2.023,2.415,5160984.03
54,1624838400000,2.417,2.48,2.232,2.386,3882566.81
55,1624924800000,2.385,3.2,2.365,2.864,10274381.51
56,1625011200000,2.871,2.94,2.403,2.85,5116583.89
57,1625097600000,2.858,2.859,2.385,2.5,4462285.23
58,1625184000000,2.499,2.558,2.3,2.468,2626319.64
59,1625270400000,2.467,2.681,2.371,2.597,2551544.05
60,1625356800000,2.591,2.915,2.537,2.766,2369210.68
61,1625443200000,2.761,2.774,2.369,2.426,4059675.65
62,1625529600000,2.425,2.637,2.42,2.521,3974698.44
63,1625616000000,2.52,2.591,2.406,2.42,1893358.73
64,1625702400000,2.422,2.439,2.112,2.19,4390687.03
65,1625788800000,2.187,2.37,1.974,2.3,3040845.35
66,1625875200000,2.3,2.391,2.121,2.22,1382193.32
67,1625961600000,2.227,2.36,2.153,2.294,1725253.7
68,1626048000000,2.299,2.45,2.158,2.242,2988939.31
69,1626134400000,2.241,2.352,2.095,2.173,2741825.39
70,1626220800000,2.17,2.208,1.928,2.173,3255674.11
71,1626307200000,2.172,2.218,1.945,2.016,2202751.0
72,1626393600000,2.016,2.163,1.939,1.951,2458882.89
73,1626480000000,1.947,2.01,1.735,1.901,3459889.06
74,1626566400000,1.899,2.036,1.825,1.936,1809767.1
75,1626652800000,1.931,1.945,1.701,1.731,3522685.4
76,1626739200000,1.734,1.813,1.452,1.537,5045606.09
77,1626825600000,1.534,1.896,1.478,1.818,3891854.25
78,1626912000000,1.819,2.02,1.751,1.951,3429843.36
79,1626998400000,1.951,2.0665,1.84,2.0599,1790815.55
80,1627084800000,2.0599,2.1307,1.9947,2.0539,1492770.83
81,1627171200000,2.053,2.077,1.9344,2.0431,1427901.63
82,1627257600000,2.0431,2.534,2.0322,2.1551,3612727.1
83,1627344000000,2.155,2.3536,2.0756,2.3002,2319024.9
84,1627430400000,2.3019,3.052,2.2001,2.9256,7771464.46
85,1627516800000,2.934,3.2118,2.6209,3.062,2124220.29
86,1627603200000,3.0582,3.2459,2.745,3.099,1907405.93
87,1627689600000,3.1023,3.1666,2.9656,3.0328,886699.09
88,1627776000000,3.0438,3.3258,2.6463,2.8352,1318654.03
89,1627862400000,2.8426,3.2799,2.7513,2.96,1069073.34
90,1627948800000,2.9555,3.0285,2.6112,2.7306,1272905.85
91,1628035200000,2.7306,2.9746,2.568,2.89,1007468.97
