,time,Open,High,Low,Close,Volume
0,1620172800000,1.3878,1.624,1.366,1.6133,1261641294.96
1,1620259200000,1.6137,1.7658,1.521,1.6028,1507415092.61
2,1620345600000,1.6028,1.695,1.505,1.5793,894697893.67
3,1620432000000,1.5795,1.6277,1.5404,1.5611,514586255.38
4,1620518400000,1.5611,1.5968,1.4249,1.5345,726954201.32
5,1620604800000,1.5343,1.627,1.214,1.3906,1154086820.05
6,1620691200000,1.391,1.4905,1.3555,1.4786,724101053.89
7,1620777600000,1.4788,1.547,1.235,1.2691,1028881609.0
8,1620864000000,1.269,1.389,1.2,1.364,1308704814.37
9,1620950400000,1.3644,1.4488,1.321,1.4,772801586.76
10,1621036800000,1.3998,1.5869,1.3211,1.4904,1495464769.52
11,1621123200000,1.4911,1.6131,1.3373,1.4496,1498147985.65
12,1621209600000,1.4496,1.565,1.3242,1.4946,1560737399.7
13,1621296000000,1.4952,1.705,1.4698,1.5889,1813933407.63
14,1621382400000,1.5893,1.6448,0.85,1.0568,3180237280.29
15,1621468800000,1.0565,1.2664,0.9,1.1795,1974341688.46
16,1621555200000,1.1802,1.2194,0.8641,1.0062,1813489499.17
17,1621641600000,1.0062,1.0162,0.816,0.9052,1478148766.91
18,1621728000000,0.9052,0.9679,0.65,0.7898,1976494217.2
19,1621814400000,0.7899,0.997,0.7537,0.993,1613054853.94
20,1621900800000,0.9934,1.07,0.8791,0.9746,1654728049.91
21,1621987200000,0.9747,1.0698,0.9461,1.0316,1160288119.63
22,1622073600000,1.0316,1.0423,0.9322,0.9747,997129594.42
23,1622160000000,0.9747,0.9847,0.8445,0.8985,1220369622.06
24,1622246400000,0.8985,0.9413,0.7911,0.8318,980984330.42
25,1622332800000,0.8319,0.9337,0.7974,0.9058,837581783.3
26,1622419200000,0.9058,1.0495,0.8789,1.0409,1221688769.45
27,1622505600000,1.0409,1.1,0.9742,1.0108,1130390772.85
28,1622592000000,1.0108,1.0498,0.9793,1.0241,673790276.52
29,1622678400000,1.0241,1.0789,1.0069,1.045,701176435.11
30,1622764800000,1.0453,1.0466,0.9156,0.9683,814525376.26
31,1622851200000,0.9683,0.9973,0.8921,0.923,621966894.8
32,1622937600000,0.923,0.9493,0.917,0.947,395443235.74
33,1623024000000,0.9469,0.976,0.838,0.8618,673906993.46
34,1623110400000,0.8619,0.8861,0.7838,0.8731,989287175.65
35,1623196800000,0.873,0.9218,0.83,0.9218,798994471.7
36,1623283200000,0.9218,0.9298,0.8522,0.8686,592646634.43
37,1623369600000,0.8686,0.88,0.8335,0.8471,384826199.07
38,1623456000000,0.8469,0.8479,0.8054,0.8326,375425465.13
39,1623542400000,0.8325,0.8883,0.817,0.8832,344882480.06
40,1623628800000,0.8833,0.93,0.8628,0.8906,441724628.58
41,1623715200000,0.8905,0.9017,0.8551,0.8663,367733719.97
42,1623801600000,0.8663,0.8733,0.8259,0.832,380134518.73
43,1623888000000,0.8319,0.8612,0.8234,0.8419,315642616.21
44,1623974400000,0.8419,0.845,0.7687,0.7972,389494745.89
45,1624060800000,0.7971,0.8055,0.7557,0.7582,317290687.13
46,1624147200000,0.7583,0.785,0.6968,0.7741,589364804.52
47,1624233600000,0.7741,0.7803,0.6037,0.6067,1073284195.87
48,1624320000000,0.6068,0.65,0.509,0.5468,1611548012.73
49,1624406400000,0.5468,0.6655,0.5203,0.6383,1167774271.66
50,1624492800000,0.6383,0.6928,0.6163,0.6731,633338243.16
51,1624579200000,0.6731,0.6889,0.6019,0.6111,795450033.45
52,1624665600000,0.611,0.6329,0.5814,0.6162,548990505.59
53,1624752000000,0.6163,0.6523,0.5963,0.6484,472483880.77
54,1624838400000,0.6483,0.6583,0.6238,0.6444,460033268.3
55,1624924800000,0.6444,0.734,0.6417,0.7063,718445315.27
56,1625011200000,0.7062,0.7145,0.6477,0.7063,634287485.15
57,1625097600000,0.7062,0.7064,0.644,0.6591,463328799.28
58,1625184000000,0.6592,0.6676,0.6329,0.6556,387562387.59
59,1625270400000,0.6557,0.6849,0.6433,0.6732,329367273.74
60,1625356800000,0.6733,0.7091,0.6655,0.696,334071078.78
61,1625443200000,0.696,0.697,0.6444,0.6526,407839477.88
62,1625529600000,0.6526,0.68,0.6511,0.6648,356111895.89
63,1625616000000,0.6648,0.674,0.65,0.6522,284356433.42
64,1625702400000,0.6521,0.6545,0.6108,0.6215,430925669.18
65,1625788800000,0.6214,0.6457,0.5917,0.6369,358836803.69
66,1625875200000,0.6369,0.6489,0.612,0.6246,279711260.06
67,1625961600000,0.6246,0.6449,0.6169,0.6364,201320995.42
68,1626048000000,0.6363,0.6575,0.6172,0.6288,356848391.96
69,1626134400000,0.6288,0.6426,0.6086,0.6192,315648113.8
70,1626220800000,0.6193,0.625,0.5851,0.6197,352306488.76
71,1626307200000,0.6196,0.6269,0.5874,0.5979,339655984.05
72,1626393600000,0.5979,0.6211,0.5874,0.5893,282511701.89
73,1626480000000,0.5893,0.5977,0.56,0.5821,263418042.14
74,1626566400000,0.5822,0.6016,0.571,0.5866,241849135.65
75,1626652800000,0.5867,0.5889,0.5533,0.557,294780945.07
76,1626739200000,0.557,0.5699,0.5157,0.5284,393704657.61
77,1626825600000,0.5284,0.584,0.5193,0.5719,493423679.61
78,1626912000000,0.5718,0.6033,0.5609,0.592,409238764.36
79,1626998400000,0.592,0.6101,0.5753,0.6091,359561806.43
80,1627084800000,0.6092,0.6205,0.5996,0.6085,319684922.3
81,1627171200000,0.6085,0.6118,0.5906,0.6069,259034501.15
82,1627257600000,0.6069,0.6793,0.6048,0.6234,803413949.18
83,1627344000000,0.6234,0.6528,0.6121,0.6451,427078091.95
84,1627430400000,0.645,0.7549,0.6308,0.7327,1172622702.04
85,1627516800000,0.7327,0.7665,0.697,0.7488,513356476.87
86,1627603200000,0.7488,0.7697,0.7115,0.7521,604445794.9
87,1627689600000,0.7522,0.7591,0.7367,0.746,377281828.25
88,1627776000000,0.7461,0.7778,0.7042,0.7242,469477766.36
89,1627862400000,0.7242,0.774,0.715,0.738,410656081.94
90,1627948800000,0.738,0.745,0.7008,0.7136,398158150.61
91,1628035200000,0.7136,0.7398,0.6952,0.731,330543019.03
92,1628121600000,0.731,0.7389,0.701,0.7327,331894003.59
93,1628208000000,0.7327,0.753,0.7219,0.7474,304988991.92
94,1628294400000,0.7474,0.8189,0.7411,0.8162,589624594.72
95,1628380800000,0.8163,0.8413,0.7717,0.7788,556138875.77
96,1628467200000,0.7788,0.8279,0.7596,0.817,474908832.08
97,1628553600000,0.8169,0.8622,0.8,0.8511,503252613.21
98,1628640000000,0.8511,1.0906,0.848,1.0105,1131344973.99
99,1628726400000,1.0106,1.045,0.9518,0.9988,536066802.04
