,time,Open,High,Low,Close,Volume
0,1620172800000,0.663,1.002,0.639,0.973,10944630.52
1,1620259200000,0.976,1.404,0.929,1.251,16780797.62
2,1620345600000,1.256,1.504,1.005,1.104,13091870.4
3,1620432000000,1.102,1.169,1.003,1.046,22924306.69
4,1620518400000,1.045,1.103,0.898,1.081,4984305.51
5,1620604800000,1.085,1.135,0.69,0.791,8118970.35
6,1620691200000,0.793,1.09,0.71,1.049,24780637.51
7,1620777600000,1.046,1.096,0.628,0.653,47957488.61
8,1620864000000,0.651,0.78,0.612,0.709,32936128.17
9,1620950400000,0.707,0.8,0.69,0.793,20376651.22
10,1621036800000,0.79,0.804,0.603,0.613,12134352.6
11,1621123200000,0.616,0.725,0.505,0.584,10831687.0
12,1621209600000,0.583,0.583,0.438,0.462,33922151.18
13,1621296000000,0.465,0.615,0.448,0.574,21725062.56
14,1621382400000,0.576,0.599,0.012,0.113,607841546.22
15,1621468800000,0.113,0.171,0.083,0.152,250649940.9
16,1621555200000,0.151,0.167,0.076,0.112,298602017.38
17,1621641600000,0.112,0.117,0.081,0.095,292710647.44
18,1621728000000,0.095,0.107,0.036,0.055,522043850.17
19,1621814400000,0.056,0.085,0.052,0.081,50286335.86
20,1621900800000,0.081,0.092,0.066,0.087,39954423.43
21,1621987200000,0.087,0.103,0.082,0.099,37203270.94
22,1622073600000,0.099,0.112,0.082,0.097,25704383.07
23,1622160000000,0.097,0.1,0.069,0.076,48063578.19
24,1622246400000,0.076,0.082,0.058,0.065,308884944.21
25,1622332800000,0.065,0.077,0.058,0.069,177256563.43
26,1622419200000,0.068,0.084,0.063,0.083,186229901.1
27,1622505600000,0.082,0.088,0.075,0.087,120331427.98
28,1622592000000,0.087,0.096,0.082,0.093,82161438.43
29,1622678400000,0.092,0.102,0.088,0.096,67423422.79
30,1622764800000,0.095,0.097,0.07,0.079,150333235.87
31,1622851200000,0.079,0.086,0.065,0.073,136911775.76
32,1622937600000,0.073,0.095,0.072,0.093,103534091.79
33,1623024000000,0.092,0.108,0.07,0.073,173564146.83
34,1623110400000,0.072,0.077,0.055,0.068,333254647.03
35,1623196800000,0.068,0.071,0.06,0.069,182902426.29
36,1623283200000,0.07,0.071,0.058,0.062,140020051.63
37,1623369600000,0.062,0.065,0.054,0.056,140197557.47
38,1623456000000,0.056,0.06,0.049,0.056,178113684.35
39,1623542400000,0.057,0.063,0.051,0.062,158777202.82
40,1623628800000,0.063,0.064,0.058,0.063,96884557.37
41,1623715200000,0.064,0.066,0.058,0.061,97786161.31
42,1623801600000,0.06,0.063,0.053,0.055,124689632.1
43,1623888000000,0.055,0.067,0.055,0.064,136625737.42
44,1623974400000,0.064,0.065,0.049,0.053,158024232.91
45,1624060800000,0.053,0.056,0.05,0.05,106093558.22
46,1624147200000,0.05,0.054,0.045,0.052,129052864.24
47,1624233600000,0.052,0.052,0.032,0.033,461839785.59
48,1624320000000,0.032,0.038,0.023,0.03,3431232751.43
49,1624406400000,0.03,0.042,0.027,0.038,164859748.81
50,1624492800000,0.038,0.044,0.035,0.043,88437004.43
51,1624579200000,0.042,0.045,0.031,0.033,135060525.7
52,1624665600000,0.032,0.036,0.028,0.033,489010666.43
53,1624752000000,0.033,0.036,0.03,0.036,89493625.1
54,1624838400000,0.035,0.039,0.033,0.038,66258848.53
55,1624924800000,0.038,0.048,0.037,0.047,95721584.76
56,1625011200000,0.047,0.05,0.038,0.049,96572699.42
57,1625097600000,0.05,0.051,0.041,0.046,75463302.41
58,1625184000000,0.045,0.047,0.038,0.047,70114837.58
59,1625270400000,0.046,0.049,0.043,0.048,32833686.39
60,1625356800000,0.048,0.052,0.044,0.049,33653470.04
61,1625443200000,0.049,0.049,0.039,0.04,68907296.96
62,1625529600000,0.041,0.047,0.039,0.042,106001844.35
63,1625616000000,0.042,0.046,0.04,0.042,740596687.77
64,1625702400000,0.042,0.043,0.032,0.036,115236687.0
65,1625788800000,0.036,0.039,0.031,0.037,69352559.36
66,1625875200000,0.037,0.04,0.035,0.038,63933520.92
67,1625961600000,0.038,0.042,0.036,0.039,49711456.36
68,1626048000000,0.04,0.044,0.037,0.038,43753522.72
69,1626134400000,0.038,0.043,0.037,0.038,67302723.8
70,1626220800000,0.039,0.039,0.029,0.034,82131555.48
71,1626307200000,0.034,0.036,0.028,0.03,75880589.54
72,1626393600000,0.03,0.032,0.025,0.025,820779520.78
73,1626480000000,0.026,0.027,0.024,0.026,1342816673.49
74,1626566400000,0.026,0.027,0.024,0.025,545022330.01
75,1626652800000,0.026,0.026,0.021,0.022,1199635182.78
