,time,Open,High,Low,Close,Volume
0,1620172800000,5.4864,6.7085,5.4012,6.6003,18478301.04
1,1620259200000,6.602,8.05,6.4389,7.5746,32905884.96
2,1620345600000,7.5797,8.42,6.75,7.0856,26110790.18
3,1620432000000,7.084,7.32,6.8087,6.9758,12534318.54
4,1620518400000,6.9701,7.16,6.4913,7.0954,8394378.25
5,1620604800000,7.0961,7.254,5.8646,6.1917,11542377.44
6,1620691200000,6.1861,7.2677,5.9123,7.1247,16604535.85
7,1620777600000,7.1256,7.3415,5.85,5.9392,18003156.55
8,1620864000000,5.9392,6.4163,5.6762,6.1252,16367212.86
9,1620950400000,6.1252,6.5132,6.0333,6.4737,8641125.42
10,1621036800000,6.4744,6.5179,5.7271,5.7784,8510113.3
11,1621123200000,5.7839,6.24,5.3446,5.6737,11231652.84
12,1621209600000,5.6737,5.6752,5.0373,5.1689,14145176.5
13,1621296000000,5.1736,5.9881,5.0901,5.7408,13189092.47
14,1621382400000,5.7408,5.8377,2.6898,3.607,39395572.48
15,1621468800000,3.6169,4.478,3.15,4.1826,23540169.16
16,1621555200000,4.1824,4.3961,3.0919,3.6721,19521821.51
17,1621641600000,3.67,3.745,3.192,3.434,13558489.71
18,1621728000000,3.4373,3.6038,2.4296,2.9071,21959557.01
19,1621814400000,2.9066,3.6166,2.8308,3.5426,14112500.3
20,1621900800000,3.5427,3.757,3.2382,3.6601,12314817.23
21,1621987200000,3.6625,3.9792,3.5757,3.9246,9990300.07
22,1622073600000,3.9267,4.1731,3.5696,3.8744,10758061.89
23,1622160000000,3.8744,3.9327,3.251,3.3882,12539225.95
24,1622246400000,3.391,3.5704,3.0,3.2038,8946892.49
25,1622332800000,3.2087,3.4534,3.0197,3.2857,6339616.87
26,1622419200000,3.2842,3.6127,3.144,3.606,7187097.29
27,1622505600000,3.605,3.7002,3.4329,3.6663,8793804.16
28,1622592000000,3.6668,3.8749,3.5713,3.8125,7505803.87
29,1622678400000,3.8149,3.99,3.7235,3.8787,5228255.31
30,1622764800000,3.8791,3.9229,3.3654,3.5529,6455360.13
31,1622851200000,3.5499,3.6912,3.2565,3.4293,4682008.56
32,1622937600000,3.429,3.9,3.4046,3.8324,8327581.96
33,1623024000000,3.8372,4.1387,3.4375,3.4872,15222713.23
34,1623110400000,3.484,3.5849,3.0743,3.4473,12433538.01
35,1623196800000,3.4467,3.5369,3.2241,3.5106,8824433.51
36,1623283200000,3.5106,3.5478,3.1788,3.2774,5820386.77
37,1623369600000,3.2772,3.3714,3.0826,3.1373,4903353.58
38,1623456000000,3.1345,3.2253,2.92,3.143,5151566.71
39,1623542400000,3.1429,3.324,3.0014,3.3136,4524852.38
40,1623628800000,3.314,3.355,3.1856,3.3485,4241280.52
41,1623715200000,3.351,3.3934,3.2108,3.271,3401392.16
42,1623801600000,3.2717,3.3281,3.0883,3.115,3273488.92
43,1623888000000,3.1171,3.439,3.1074,3.3695,9662019.88
44,1623974400000,3.373,3.3852,2.9928,3.0976,6030213.87
45,1624060800000,3.0977,3.1792,3.018,3.038,3325355.02
46,1624147200000,3.0293,3.1177,2.8755,3.077,3735237.45
47,1624233600000,3.0757,3.0996,2.48,2.4855,7957343.19
48,1624320000000,2.4861,2.6583,2.1175,2.3749,12562747.59
49,1624406400000,2.375,2.7897,2.2774,2.6887,6436856.7
50,1624492800000,2.6886,2.85,2.5706,2.8308,3727231.62
51,1624579200000,2.8321,2.882,2.483,2.5225,5812029.0
52,1624665600000,2.521,2.6225,2.3851,2.5395,3987792.66
53,1624752000000,2.5433,2.63,2.4521,2.6224,3401022.56
54,1624838400000,2.6261,2.7384,2.5625,2.7057,2625301.43
55,1624924800000,2.7038,2.993,2.6958,2.9776,5531031.31
56,1625011200000,2.9752,3.046,2.7511,3.0432,4565709.6
57,1625097600000,3.0464,3.0661,2.8367,2.9419,3692539.69
58,1625184000000,2.9419,2.9822,2.7481,2.9529,3166121.73
59,1625270400000,2.9521,3.0285,2.8736,3.0285,2010905.16
60,1625356800000,3.0273,3.1108,2.9101,3.0408,2404361.88
61,1625443200000,3.0392,3.0392,2.7913,2.829,4447300.67
62,1625529600000,2.8291,2.9838,2.8018,2.8647,3371905.85
63,1625616000000,2.8619,2.9671,2.8141,2.878,3891847.4
64,1625702400000,2.875,2.8999,2.6172,2.6916,4046666.03
65,1625788800000,2.6935,2.8,2.5779,2.7503,2763472.09
66,1625875200000,2.7503,2.8401,2.6939,2.7832,2481562.75
67,1625961600000,2.786,2.8913,2.732,2.8441,3049014.09
68,1626048000000,2.848,2.9515,2.7593,2.8066,3743404.79
69,1626134400000,2.8069,2.9187,2.7649,2.8094,4705804.92
70,1626220800000,2.8105,2.8207,2.5345,2.716,5380495.74
71,1626307200000,2.7154,2.7512,2.5219,2.5761,3237208.82
72,1626393600000,2.5775,2.6433,2.4,2.4088,4531095.36
73,1626480000000,2.4089,2.4838,2.3694,2.4049,3728017.42
74,1626566400000,2.407,2.4944,2.3811,2.4291,2921612.38
75,1626652800000,2.4276,2.4514,2.2618,2.2872,4038299.93
76,1626739200000,2.2887,2.3356,2.0989,2.1514,5374059.71
77,1626825600000,2.1537,2.4406,2.1028,2.3976,4843999.69
78,1626912000000,2.3976,2.5097,2.3335,2.5013,3564101.93
79,1626998400000,2.5003,2.6933,2.4951,2.6852,4661222.26
80,1627084800000,2.6883,2.8208,2.6475,2.8169,5273691.16
81,1627171200000,2.8171,2.9064,2.7177,2.8919,4821090.34
82,1627257600000,2.8894,3.1174,2.8229,2.8375,9654469.5
83,1627344000000,2.8393,2.9297,2.74,2.8623,5145738.38
84,1627430400000,2.8616,2.9012,2.7575,2.8133,4190241.65
85,1627516800000,2.8108,2.8661,2.7363,2.8509,2975922.84
86,1627603200000,2.8512,2.97,2.762,2.967,4001550.43
87,1627689600000,2.967,3.1052,2.9069,3.0355,4706904.62
88,1627776000000,3.0362,3.1808,2.9,2.9505,5994904.68
89,1627862400000,2.949,3.3127,2.8862,3.125,8863482.93
90,1627948800000,3.1266,3.2065,2.9724,3.0547,5346797.03
91,1628035200000,3.0572,3.1899,2.9931,3.1769,3094495.66
