,time,Open,High,Low,Close,Volume
0,1620172800000,109.288,124.375,108.248,118.72,646110.791
1,1620259200000,118.696,129.958,108.952,110.267,962113.58
2,1620345600000,110.217,116.014,104.464,110.784,540393.452
3,1620432000000,110.775,136.398,108.801,133.202,821333.171
4,1620518400000,133.219,145.0,123.0,139.086,1094705.267
5,1620604800000,139.084,147.634,118.186,124.647,940810.64
6,1620691200000,124.647,136.27,115.205,134.166,806336.059
7,1620777600000,134.166,136.355,96.0,99.149,898755.798
8,1620864000000,99.204,117.0,90.0,109.33,1396874.119
9,1620950400000,109.33,134.8,102.88,124.764,1257946.887
10,1621036800000,124.827,127.288,106.0,112.539,970764.159
11,1621123200000,112.559,127.38,104.6,116.0,1087844.189
12,1621209600000,115.846,120.0,78.35,84.092,2822191.244
13,1621296000000,84.045,144.54,70.0,79.657,7541533.875
14,1621382400000,79.699,83.936,31.798,45.8,13283685.231
15,1621468800000,45.784,59.0,38.0,49.499,4160833.14
16,1621555200000,49.404,53.5,34.0,40.09,3263001.21
17,1621641600000,40.089,40.748,33.222,34.498,2185203.21
18,1621728000000,34.459,36.0,19.8,25.233,4682460.272
19,1621814400000,25.234,42.503,25.195,38.864,4269162.264
20,1621900800000,38.864,44.65,31.133,36.113,3383619.32
21,1621987200000,36.051,41.877,34.653,38.287,2413893.779
22,1622073600000,38.284,42.2,33.62,39.087,2297341.491
23,1622160000000,39.164,40.0,30.514,31.656,1860162.789
24,1622246400000,31.611,33.298,27.514,29.207,1219882.998
25,1622332800000,29.256,31.94,27.21,29.949,1068725.511
26,1622419200000,29.92,33.556,29.184,33.178,1552458.026
27,1622505600000,33.202,34.494,30.928,31.834,1183565.796
28,1622592000000,31.793,35.312,30.267,33.145,1372461.951
29,1622678400000,33.117,35.8,32.26,35.183,1286242.186
30,1622764800000,35.224,35.482,28.65,30.345,1340091.762
31,1622851200000,30.345,32.71,27.849,28.902,901551.941
32,1622937600000,28.901,29.842,28.201,29.02,507016.826
33,1623024000000,29.042,30.028,25.011,25.339,785411.792
34,1623110400000,25.299,26.238,22.02,24.912,1344276.327
35,1623196800000,24.904,27.144,23.413,27.024,1098037.443
36,1623283200000,27.047,28.751,25.307,25.506,1347952.89
37,1623369600000,25.511,25.75,22.175,22.756,794398.171
38,1623456000000,22.706,23.427,21.376,22.686,634979.777
39,1623542400000,22.691,26.115,22.401,25.23,687023.873
40,1623628800000,25.241,26.7,24.5,25.745,574853.477
41,1623715200000,25.752,28.295,24.895,27.3,670774.05
42,1623801600000,27.334,29.5,26.0,28.273,1333569.798
43,1623888000000,28.278,34.799,28.135,30.027,1932714.83
44,1623974400000,30.0,30.13,25.61,26.575,807577.905
45,1624060800000,26.597,28.3,25.617,25.723,510171.386
46,1624147200000,25.702,26.9,23.51,26.315,640738.175
47,1624233600000,26.347,26.619,18.709,19.132,1249552.433
48,1624320000000,19.068,20.92,15.528,17.585,2033944.923
49,1624406400000,17.61,21.383,16.968,20.151,1149874.855
50,1624492800000,20.189,20.596,18.768,19.928,574812.245
51,1624579200000,19.968,20.405,17.68,17.872,600934.298
52,1624665600000,17.866,18.462,16.524,17.539,664221.108
53,1624752000000,17.542,18.653,17.067,18.644,442054.144
54,1624838400000,18.651,19.65,17.829,18.953,610285.316
55,1624924800000,18.969,20.881,18.7,19.831,697146.951
56,1625011200000,19.797,19.971,18.32,19.487,553587.539
57,1625097600000,19.489,19.82,17.56,18.135,387561.816
58,1625184000000,18.123,18.338,17.061,17.841,278592.539
59,1625270400000,17.818,19.537,17.662,19.233,331899.051
60,1625356800000,19.233,21.692,18.691,20.75,599809.524
61,1625443200000,20.749,21.199,19.018,20.429,661353.931
62,1625529600000,20.429,22.982,20.337,21.601,1102525.15
63,1625616000000,21.631,22.939,21.007,21.057,672415.815
64,1625702400000,21.058,21.295,18.5,18.942,660871.39
65,1625788800000,18.924,19.701,18.25,19.376,292052.996
66,1625875200000,19.394,19.74,18.597,18.88,257443.35
67,1625961600000,18.879,20.115,18.5,19.572,322777.792
68,1626048000000,19.574,20.14,18.1,18.606,345854.774
69,1626134400000,18.633,19.221,18.0,18.156,311077.821
70,1626220800000,18.157,18.716,16.728,18.181,444249.748
71,1626307200000,18.207,18.539,16.67,17.1,467346.924
72,1626393600000,17.116,17.342,15.895,15.93,317152.367
73,1626480000000,15.95,16.245,15.461,15.957,312204.436
74,1626566400000,15.969,17.19,15.801,16.578,329183.313
75,1626652800000,16.551,16.587,14.758,15.025,370209.14
76,1626739200000,15.055,15.28,13.363,14.525,503907.879
77,1626825600000,14.514,16.849,14.105,16.234,405325.137
78,1626912000000,16.268,17.45,15.691,16.811,343376.685
79,1626998400000,16.841,17.32,15.829,17.112,331147.361
80,1627084800000,17.147,18.4,16.616,17.502,487797.05
81,1627171200000,17.502,18.35,17.1,18.349,465062.739
82,1627257600000,18.349,32.18,18.255,25.322,6036532.201
83,1627344000000,25.346,29.8,23.586,27.415,3755857.542
84,1627430400000,27.453,29.109,25.75,26.633,1307669.371
85,1627516800000,26.634,28.439,25.0,26.587,935319.268
86,1627603200000,26.62,27.61,24.286,27.567,691625.257
87,1627689600000,27.589,30.85,26.488,29.781,1256043.257
88,1627776000000,29.781,32.364,27.376,27.569,1182832.619
89,1627862400000,27.556,29.609,26.529,27.799,656223.279
90,1627948800000,27.801,28.254,26.21,27.233,508791.952
91,1628035200000,27.22,28.704,26.443,27.713,509508.464
92,1628121600000,27.706,28.5,26.6,28.319,591679.438
93,1628208000000,28.325,31.484,27.3,29.368,822035.623
94,1628294400000,29.368,35.0,29.03,33.981,1497987.498
95,1628380800000,33.989,34.41,29.218,30.19,998251.292
96,1628467200000,30.205,33.0,29.0,31.2,827077.92
97,1628553600000,31.199,32.69,30.237,31.191,589001.389
98,1628640000000,31.234,35.0,31.188,32.506,1047765.117
99,1628726400000,32.536,34.55,31.8,32.694,586482.367
