,time,Open,High,Low,Close,Volume
0,1602979200000,3.888,4.0,3.873,3.974,22253.511
1,1603065600000,3.973,3.975,3.821,3.881,29802.107
2,1603152000000,3.88,3.985,3.704,3.717,48810.755
3,1603238400000,3.717,4.0,3.697,3.769,55999.378
4,1603324800000,3.776,4.139,3.776,4.049,61720.81
5,1603411200000,4.072,4.28,4.005,4.07,86147.127
6,1603497600000,4.073,4.278,4.053,4.112,57223.426
7,1603584000000,4.112,4.6,4.086,4.245,76087.255
8,1603670400000,4.257,4.314,3.772,3.876,138422.819
9,1603756800000,3.899,4.164,3.732,3.782,173636.174
10,1603843200000,3.789,3.85,3.5,3.537,107217.282
11,1603929600000,3.524,3.617,3.351,3.415,46927.231
12,1604016000000,3.395,3.432,3.0,3.223,123507.681
13,1604102400000,3.222,3.31,3.01,3.025,44386.522
14,1604188800000,3.025,3.135,3.0,3.06,33213.417
15,1604275200000,3.061,3.387,3.0,3.048,159147.03
16,1604361600000,3.048,3.066,2.75,2.79,111800.695
17,1604448000000,2.785,2.888,2.704,2.832,53335.428
18,1604534400000,2.848,3.011,2.772,2.998,74752.338
19,1604620800000,2.997,3.299,2.97,3.28,78659.001
20,1604707200000,3.292,3.647,3.179,3.277,167095.981
21,1604793600000,3.284,3.357,3.212,3.285,38937.647
22,1604880000000,3.284,3.388,3.142,3.302,64196.839
23,1604966400000,3.302,3.35,3.184,3.301,54121.942
24,1605052800000,3.3,3.489,3.266,3.284,89433.736
25,1605139200000,3.277,3.329,3.147,3.179,57436.55
26,1605225600000,3.179,3.271,3.166,3.22,34128.655
27,1605312000000,3.22,3.308,3.08,3.292,68027.932
28,1605398400000,3.292,3.427,3.2,3.268,82678.179
29,1605484800000,3.269,3.3,3.169,3.252,77764.944
30,1605571200000,3.253,3.391,3.253,3.337,85133.489
31,1605657600000,3.337,3.343,3.021,3.172,123973.815
32,1605744000000,3.173,3.191,3.024,3.11,48872.602
33,1605830400000,3.114,3.32,3.086,3.259,65843.349
34,1605916800000,3.259,3.7,3.242,3.661,131282.775
35,1606003200000,3.657,3.718,3.3,3.431,122016.207
36,1606089600000,3.43,4.36,3.385,4.099,346277.105
37,1606176000000,4.084,4.97,3.84,4.676,420209.008
38,1606262400000,4.675,4.913,4.144,4.236,283790.484
39,1606348800000,4.236,4.399,3.424,3.702,297597.776
40,1606435200000,3.702,4.049,3.6,3.872,133644.829
41,1606521600000,3.889,4.86,3.889,4.317,595984.533
42,1606608000000,4.317,4.701,4.24,4.459,208126.031
43,1606694400000,4.443,4.665,4.03,4.33,303196.125
44,1606780800000,4.33,4.6,3.925,4.112,176558.483
45,1606867200000,4.119,4.265,4.05,4.115,56140.42
46,1606953600000,4.115,4.6,4.093,4.262,174301.494
47,1607040000000,4.259,4.346,4.015,4.041,69992.481
48,1607126400000,4.041,4.201,3.98,4.2,49822.564
49,1607212800000,4.184,4.234,3.919,3.963,67267.233
50,1607299200000,3.97,4.093,3.82,3.849,78726.116
51,1607385600000,3.843,3.878,3.588,3.588,82788.531
52,1607472000000,3.588,3.747,3.492,3.705,67812.161
53,1607558400000,3.709,3.709,3.419,3.476,74690.476
54,1607644800000,3.476,3.476,3.171,3.29,78379.077
55,1607731200000,3.289,3.416,3.28,3.337,74677.103
56,1607817600000,3.336,3.48,3.282,3.425,79235.052
57,1607904000000,3.425,3.49,3.351,3.37,31083.651
58,1607990400000,3.357,4.0,3.351,3.564,249150.121
59,1608076800000,3.58,4.1,3.516,3.723,367992.149
60,1608163200000,3.723,3.966,3.55,3.607,647892.459
61,1608249600000,3.606,3.801,3.55,3.684,107843.137
62,1608336000000,3.695,3.998,3.63,3.749,193676.335
63,1608422400000,3.749,3.85,3.601,3.672,96673.749
64,1608508800000,3.661,3.875,3.41,3.492,127586.871
65,1608595200000,3.497,3.57,3.351,3.538,93675.499
66,1608681600000,3.531,3.537,2.768,2.87,341640.996
67,1608768000000,2.87,3.362,2.847,3.332,235428.307
68,1608854400000,3.34,3.392,3.179,3.251,80040.371
69,1608940800000,3.242,3.365,3.142,3.337,76466.674
70,1609027200000,3.337,3.865,3.288,3.569,250712.702
71,1609113600000,3.562,3.699,3.359,3.393,123322.9
72,1609200000000,3.387,3.446,3.142,3.223,134127.139
73,1609286400000,3.223,3.339,3.146,3.213,70320.113
74,1609372800000,3.213,3.44,3.1,3.374,84759.262
75,1609459200000,3.374,3.436,3.0,3.046,175746.387
76,1609545600000,3.059,3.067,2.9,3.026,220527.688
77,1609632000000,3.027,3.095,2.851,2.879,194607.112
78,1609718400000,2.91,3.079,2.75,2.916,272030.846
79,1609804800000,2.934,3.059,2.8,2.965,195561.531
80,1609891200000,2.949,3.206,2.931,3.144,220912.376
81,1609977600000,3.155,4.046,3.11,3.448,409000.058
82,1610064000000,3.449,4.0,3.11,3.811,595281.32
83,1610150400000,3.827,4.076,3.512,3.997,281505.292
84,1610236800000,3.996,4.74,3.777,4.138,760753.136
85,1610323200000,4.128,4.7,3.49,3.964,673634.307
86,1610409600000,3.972,4.386,3.7,3.771,303375.324
87,1610496000000,3.772,4.51,3.666,4.218,251491.854
88,1610582400000,4.218,4.303,3.864,4.004,207167.623
89,1610668800000,4.028,4.31,3.71,4.044,383180.233
90,1610755200000,4.045,4.729,3.9,4.657,377590.101
91,1610841600000,4.622,6.979,4.33,6.261,1530140.921
92,1610928000000,6.287,9.677,5.695,6.301,1817262.86
93,1611014400000,6.301,6.664,5.24,5.445,2206024.769
94,1611100800000,5.44,5.49,4.644,5.1,901454.604
95,1611187200000,5.101,5.196,4.117,4.22,381304.663
96,1611273600000,4.22,4.573,3.9,4.28,326491.372
97,1611360000000,4.258,4.607,4.21,4.326,194421.774
98,1611446400000,4.347,4.468,4.17,4.348,201677.775
99,1611532800000,4.347,4.481,4.284,4.446,44584.572
