,time,Open,High,Low,Close,Volume
0,1620172800000,0.000664,0.000676,0.000524,0.000532,5319687652.41
1,1620259200000,0.000532,0.000589,0.000445,0.000578,6634641719.41
2,1620345600000,0.000581,0.000641,0.00052,0.000543,4637281211.96
3,1620432000000,0.000546,0.000583,0.00048,0.000516,4181753796.68
4,1620518400000,0.000516,0.000583,0.00049,0.000534,3432832324.65
5,1620604800000,0.000534,0.000643,0.000335,0.000342,12168305073.86
6,1620691200000,0.000343,0.000409,0.000162,0.000163,56996518609.83
7,1620777600000,0.000163,0.000237,0.0001,0.000229,112914662033.73
8,1620864000000,0.000229,0.000263,0.000141,0.000192,51801493620.84
9,1620950400000,0.000192,0.000198,0.000102,0.000113,55470379103.41
10,1621036800000,0.000112,0.000159,0.000106,0.000155,41431003601.55
11,1621123200000,0.000155,0.000198,0.000133,0.00016,24518798115.18
12,1621209600000,0.00016,0.000212,0.000134,0.000162,43664240510.13
13,1621296000000,0.000162,0.000167,8.3e-05,9.8e-05,81169834787.21
14,1621382400000,0.0001,0.000548,1.5e-05,0.000104,158239967047.91
15,1621468800000,0.000103,0.00015,4e-05,5.3e-05,146380559912.68
16,1621555200000,5.3e-05,0.000114,4.7e-05,6.2e-05,124395069660.69
17,1621641600000,6.1e-05,8.7e-05,5.8e-05,7.9e-05,100396023998.17
18,1621728000000,7.9e-05,0.000226,7e-05,8.2e-05,215845881603.08
19,1621814400000,8.1e-05,8.6e-05,2.3e-05,2.6e-05,334632094276.06
20,1621900800000,2.6e-05,3.3e-05,2.3e-05,2.7e-05,265144563537.46
21,1621987200000,2.6e-05,2.8e-05,2e-05,2.1e-05,175029672650.52
22,1622073600000,2.2e-05,2.9e-05,2.2e-05,2.6e-05,117650781299.55
23,1622160000000,2.6e-05,3.7e-05,2.5e-05,3.3e-05,165939337959.8
24,1622246400000,3.3e-05,4e-05,3e-05,3.7e-05,109527568053.32
25,1622332800000,3.6e-05,4e-05,2.7e-05,3.1e-05,137678673782.67
26,1622419200000,3.1e-05,3.4e-05,2.9e-05,3.4e-05,14552299898.95
27,1622505600000,2.7,4.29,1.8,2.3601,1269810.26
28,1622592000000,2.375,2.5156,2.2199,2.3547,963422.3
29,1622678400000,2.3738,2.44,2.1639,2.2891,908519.69
30,1622764800000,2.2891,2.99,2.2891,2.6026,1386081.42
31,1622851200000,2.5809,2.82,2.3737,2.6379,833768.3
32,1622937600000,2.638,2.6714,2.39,2.5439,820329.83
33,1623024000000,2.538,2.8499,2.435,2.8205,453339.21
34,1623110400000,2.8109,3.555,2.7246,2.8913,775240.24
35,1623196800000,2.8743,3.16,2.7109,2.7776,352602.85
36,1623283200000,2.7775,3.215,2.7775,3.1193,225999.4
37,1623369600000,3.1236,3.36,3.0222,3.2401,150868.3
38,1623456000000,3.2401,3.58,3.18,3.3034,169542.17
39,1623542400000,3.338,3.516,2.9221,2.9923,156084.42
40,1623628800000,2.9645,3.0932,2.6905,2.868,124372.66
41,1623715200000,2.8551,3.0,2.7121,2.9109,102342.56
42,1623801600000,2.9349,3.4,2.9273,3.3369,85995.99
43,1623888000000,3.3136,3.8,3.127,3.33,129830.73
44,1623974400000,3.34,4.0108,3.3139,3.6936,173202.04
45,1624060800000,3.6759,3.8643,3.5058,3.8525,107836.76
46,1624147200000,3.8634,3.9506,3.0,3.2643,430387.66
47,1624233600000,3.2423,4.7377,3.2061,4.62,281617.84
48,1624320000000,4.625,5.9188,4.0,4.3672,335820.59
49,1624406400000,4.3407,4.8354,3.1653,3.4962,219993.41
50,1624492800000,3.5021,3.9126,3.2251,3.4119,149857.51
51,1624579200000,3.4163,4.2501,3.2908,4.1813,307250.14
52,1624665600000,4.1916,4.6,3.9453,4.0265,227179.25
53,1624752000000,4.0265,4.4,3.5784,3.5784,153996.03
54,1624838400000,3.5733,3.6972,2.8695,3.1927,343183.69
55,1624924800000,3.1756,3.2193,2.5101,2.7113,340704.43
56,1625011200000,2.7071,3.15,2.6498,2.6774,326205.65
57,1625097600000,2.6855,3.0429,2.614,2.9895,175702.57
58,1625184000000,2.9895,3.2483,2.8895,2.961,148148.42
59,1625270400000,2.9609,3.057,2.6,2.8153,151154.76
60,1625356800000,2.8072,2.99,2.4403,2.6337,188735.81
61,1625443200000,2.6387,3.0986,2.6387,2.827,222092.36
62,1625529600000,2.8269,2.8269,1.974,2.1459,660925.04
63,1625616000000,2.179,2.2731,1.9112,2.2371,448734.66
64,1625702400000,2.2371,2.6568,2.21,2.5657,502574.12
65,1625788800000,2.576,2.8001,2.37,2.4814,250387.16
66,1625875200000,2.4893,2.675,2.3682,2.5401,200459.34
67,1625961600000,2.5445,2.61,2.3275,2.4176,183557.75
68,1626048000000,2.416,2.68,2.3178,2.5624,187997.98
69,1626134400000,2.585,2.7443,2.405,2.6861,190055.12
70,1626220800000,2.6661,3.101,2.649,2.8124,215634.35
71,1626307200000,2.8414,3.1786,2.6648,3.1266,146239.54
72,1626393600000,3.1195,3.7755,2.9975,3.6999,176248.78
73,1626480000000,3.7196,3.9318,3.566,3.7118,108544.34
74,1626566400000,3.7065,3.9,3.3783,3.6311,98601.03
75,1626652800000,3.6517,4.0649,3.5212,3.9958,217875.85
76,1626739200000,3.9836,4.6819,3.8613,4.2786,98666.55
77,1626825600000,4.2786,4.4999,2.7938,3.277,230524.84
78,1626912000000,3.2729,3.5187,3.1013,3.1944,175154.67
79,1626998400000,3.1757,3.3835,2.92,2.9356,169903.27
