,time,Open,High,Low,Close,Volume
0,1620172800000,6.766,8.024,6.693,7.929,406959.96
1,1620259200000,7.909,8.819,7.244,7.318,523077.37
2,1620345600000,7.307,7.753,6.735,7.573,374843.23
3,1620432000000,7.523,8.075,7.084,7.726,471570.38
4,1620518400000,7.726,7.953,7.128,7.491,142313.62
5,1620604800000,7.53,9.85,6.326,9.773,1448400.93
6,1620691200000,9.76,15.426,8.613,15.337,1685498.27
7,1620777600000,15.258,18.937,10.009,10.252,1156878.4
8,1620864000000,10.383,12.79,9.194,10.586,716222.94
9,1620950400000,10.581,13.928,10.427,13.068,473479.04
10,1621036800000,13.068,13.439,10.36,10.654,293124.0
11,1621123200000,10.657,11.489,9.055,10.155,493697.07
12,1621209600000,10.156,10.864,8.746,9.723,483991.15
13,1621296000000,9.795,13.456,9.62,12.101,501725.77
14,1621382400000,12.137,12.576,1.409,2.32,56431380.4
15,1621468800000,2.322,2.675,1.155,1.963,16065807.83
16,1621555200000,1.952,2.133,1.012,1.434,2735908.39
17,1621641600000,1.434,1.485,1.097,1.162,1510100.29
18,1621728000000,1.16,1.257,0.508,0.8,9533530.54
19,1621814400000,0.799,1.537,0.775,1.378,7856908.82
20,1621900800000,1.378,1.508,1.07,1.304,6749967.35
21,1621987200000,1.318,1.556,1.241,1.484,4466228.53
22,1622073600000,1.485,1.485,1.181,1.277,2881306.3
23,1622160000000,1.292,1.32,0.901,0.98,3773955.9
24,1622246400000,0.984,1.071,0.835,0.908,3080644.54
25,1622332800000,0.906,1.12,0.829,1.026,2391343.33
26,1622419200000,1.026,1.265,0.945,1.241,6181486.57
27,1622505600000,1.228,1.288,1.057,1.126,2370799.26
28,1622592000000,1.13,1.214,1.055,1.135,1710483.8
29,1622678400000,1.135,1.248,1.095,1.162,2298317.43
30,1622764800000,1.168,1.168,0.904,0.988,3465223.13
31,1622851200000,0.992,1.081,0.899,0.972,2136031.43
32,1622937600000,0.968,1.09,0.948,1.008,2413469.02
33,1623024000000,1.012,1.068,0.852,0.871,2011143.18
34,1623110400000,0.876,0.906,0.666,0.827,3034400.97
35,1623196800000,0.825,0.883,0.745,0.856,2282494.99
36,1623283200000,0.86,0.865,0.712,0.735,1466284.13
37,1623369600000,0.746,0.767,0.669,0.701,836124.52
38,1623456000000,0.704,0.72,0.606,0.679,754748.85
39,1623542400000,0.681,0.791,0.632,0.774,750282.47
40,1623628800000,0.776,0.861,0.753,0.809,781745.35
41,1623715200000,0.813,0.85,0.764,0.793,463332.69
42,1623801600000,0.79,0.791,0.655,0.671,890528.45
43,1623888000000,0.673,0.724,0.623,0.666,939908.82
44,1623974400000,0.666,0.671,0.505,0.571,1686954.52
45,1624060800000,0.571,0.604,0.532,0.535,869080.52
46,1624147200000,0.533,0.695,0.516,0.643,2266680.11
47,1624233600000,0.648,0.655,0.376,0.396,3766409.18
48,1624320000000,0.394,0.453,0.253,0.352,7113132.29
49,1624406400000,0.353,0.468,0.322,0.422,2540028.78
